number,start_tick,start_frame,freezetime_end_tick,freezetime_end_frame,end_tick,end_frame,end_officially_tick,end_officially_frame,team_a_name,team_b_name,score_team_a,score_team_b,team_a_side,team_b_side,team_a_start_money,team_b_start_money,team_a_equipment_value,team_b_equipment_value,team_a_money_spent,team_b_money_spent,team_a_economy_type,team_b_economy_type,duration,end_reason,winner_name,winner_side,overtime_number,match_checksum
1,208,310,4803,6561,8463,11014,8911,11560,Team Spirit,The Huns,0,1,3,2,4000,4000,4950,4400,3550,3400,pistol,pistol,131365,9,The Huns,2,0,73ebc2487132b57f
2,8911,11560,10191,13522,17695,22371,18143,22910,Team Spirit,The Huns,0,2,3,2,10850,18650,1200,19450,200,18450,eco,semi,132678,1,The Huns,2,0,73ebc2487132b57f
3,18143,22910,19423,24882,24527,31035,24975,31560,Team Spirit,The Huns,1,2,3,2,22650,20700,23800,21850,22300,4400,full,full,99714,7,Team Spirit,3,0,73ebc2487132b57f
4,24975,31560,26255,33543,31349,39616,31797,40169,Team Spirit,The Huns,1,3,3,2,19650,27800,23300,24900,17000,23900,full,full,98867,1,The Huns,2,0,73ebc2487132b57f
5,33781,42993,35061,44814,41824,53270,42272,53807,Team Spirit,The Huns,2,3,3,2,13350,22900,7400,25400,2950,15900,semi,full,126124,8,Team Spirit,3,0,73ebc2487132b57f
6,42272,53807,43552,55655,48180,61297,48628,61824,Team Spirit,The Huns,3,3,3,2,28150,14600,28900,13300,18350,13000,full,force-buy,91921,7,Team Spirit,3,0,73ebc2487132b57f
7,48628,61824,49908,63705,55265,70237,55713,70773,Team Spirit,The Huns,4,3,3,2,29100,14500,30050,10650,22100,10450,full,semi,103248,7,Team Spirit,3,0,73ebc2487132b57f
8,58933,75070,60213,76889,65109,82895,65557,83418,Team Spirit,The Huns,4,4,3,2,26100,20200,31050,21000,17700,17300,full,full,96032,9,The Huns,2,0,73ebc2487132b57f
9,65557,83418,66837,85508,70567,90073,71015,90605,Team Spirit,The Huns,4,5,3,2,16600,18850,16800,23900,16000,16650,force-buy,full,81673,9,The Huns,2,0,73ebc2487132b57f
10,71015,90605,72295,92522,75287,96136,75735,96683,Team Spirit,The Huns,4,6,3,2,11100,20250,1900,26200,1300,14250,eco,full,67879,9,The Huns,2,0,73ebc2487132b57f
11,77719,99296,78999,101086,81439,104151,81887,104686,Team Spirit,The Huns,5,6,3,2,17650,24650,23500,26000,22200,12000,full,full,59583,8,Team Spirit,3,0,73ebc2487132b57f
12,81887,104686,83167,106680,88228,112958,89188,114068,Team Spirit,The Huns,5,7,3,2,19150,20350,28450,20050,17450,19850,full,full,101518,9,The Huns,2,0,73ebc2487132b57f
13,89188,114068,102036,130368,106750,135841,107198,136390,Team Spirit,The Huns,6,7,2,3,4000,4000,5450,4250,3550,3450,pistol,pistol,267209,9,Team Spirit,2,0,73ebc2487132b57f
14,107198,136390,108478,138261,114732,145661,115180,146209,Team Spirit,The Huns,7,7,2,3,18500,10350,19800,1000,18250,0,semi,eco,113778,9,Team Spirit,2,0,73ebc2487132b57f
15,115180,146209,116460,148176,118912,151342,119360,151906,Team Spirit,The Huns,8,7,2,3,19500,23250,22900,24200,11600,23200,full,full,62994,9,Team Spirit,2,0,73ebc2487132b57f
16,122617,156231,123897,158117,130225,165694,130673,166275,Team Spirit,The Huns,9,7,2,3,25950,14850,25800,6400,7300,5600,full,semi,116135,9,Team Spirit,2,0,73ebc2487132b57f
17,130673,166275,131953,168174,136020,173222,136468,173802,Team Spirit,The Huns,10,7,2,3,36700,26550,27750,27250,10450,26250,full,full,85257,9,Team Spirit,2,0,73ebc2487132b57f
18,136468,173802,137748,175743,143962,183220,144410,183759,Team Spirit,The Huns,10,8,2,3,43600,17600,28250,11600,7700,10800,full,semi,115582,8,The Huns,3,0,73ebc2487132b57f
19,144410,183759,145690,185662,151564,193026,152012,193595,Team Spirit,The Huns,11,8,2,3,43500,25450,27350,29900,26850,16650,full,full,113729,9,Team Spirit,2,0,73ebc2487132b57f
20,154529,197047,155809,198908,163128,207852,163576,208409,Team Spirit,The Huns,12,8,2,3,34500,23600,28150,24700,9700,23200,full,full,132604,9,Team Spirit,2,0,73ebc2487132b57f
21,163576,208409,164856,210274,168123,214355,168123,214355,Team Spirit,The Huns,13,8,2,3,46900,17200,27850,18600,13500,17600,full,force-buy,72972,9,Team Spirit,2,0,73ebc2487132b57f
1,221,325,6525,8771,12079,15196,12527,15732,The Huns,Team Spirit,1,0,3,2,4000,4000,4400,4250,3400,3450,pistol,pistol,186126,8,The Huns,3,0,f84ce6cea7bfec37
2,12527,15732,13807,17495,21052,26207,21500,26748,The Huns,Team Spirit,1,1,3,2,18350,10350,20150,2650,17650,1350,semi,eco,131105,9,Team Spirit,2,0,f84ce6cea7bfec37
3,21500,26748,22780,28517,27898,34721,28346,35257,The Huns,Team Spirit,1,2,3,2,8300,27050,7850,26200,7850,18900,force-buy,full,99790,9,Team Spirit,2,0,f84ce6cea7bfec37
4,28346,35257,29626,37160,31476,39444,31924,40005,The Huns,Team Spirit,1,3,3,2,10550,26200,1700,24350,900,10550,eco,full,52404,9,Team Spirit,2,0,f84ce6cea7bfec37
5,31924,40005,33204,41848,42153,52468,42601,53017,The Huns,Team Spirit,1,4,3,2,21650,34600,21350,28550,20350,6850,force-buy,full,155987,1,Team Spirit,2,0,f84ce6cea7bfec37
6,42601,53017,43881,54816,52155,64959,52603,65485,The Huns,Team Spirit,1,5,3,2,16100,45750,25700,28650,12150,9300,full,full,149466,9,Team Spirit,2,0,f84ce6cea7bfec37
7,55629,69304,56909,71006,64186,79688,64634,80202,The Huns,Team Spirit,1,6,3,2,22150,54300,22550,27150,21550,21250,full,full,129966,9,Team Spirit,2,0,f84ce6cea7bfec37
8,64634,80202,65914,81992,69627,86467,70075,87034,The Huns,Team Spirit,1,7,3,2,18500,51100,9300,27650,9100,17200,semi,full,78413,9,Team Spirit,2,0,f84ce6cea7bfec37
9,72658,90467,73938,92234,83013,103376,83461,103915,The Huns,Team Spirit,1,8,3,2,27000,51950,26300,27950,25600,12000,full,full,161569,9,Team Spirit,2,0,f84ce6cea7bfec37
10,83461,103915,84741,105686,87422,108965,87870,109588,The Huns,Team Spirit,1,9,3,2,18700,57600,8300,28250,8100,17400,semi,full,63206,9,Team Spirit,2,0,f84ce6cea7bfec37
11,87870,109588,89150,111635,94982,118703,95430,119247,The Huns,Team Spirit,1,10,3,2,27600,57750,27350,29050,26350,1550,full,full,114083,1,Team Spirit,2,0,f84ce6cea7bfec37
12,98172,123183,99452,124968,102395,128646,103355,129793,The Huns,Team Spirit,1,11,3,2,18750,71000,25550,34600,18050,33500,full,full,68375,9,Team Spirit,2,0,f84ce6cea7bfec37
13,103355,129793,117259,147523,121704,152691,122152,153243,The Huns,Team Spirit,1,12,2,3,4000,4000,4650,4350,3450,3350,pistol,pistol,286592,8,Team Spirit,3,0,f84ce6cea7bfec37
14,122152,153243,123432,155045,129513,162324,129961,162852,The Huns,Team Spirit,2,12,2,3,10350,18400,10400,20250,10200,17900,force-buy,semi,113658,9,The Huns,2,0,f84ce6cea7bfec37
15,129961,162852,131241,164688,137706,172365,138154,172884,The Huns,Team Spirit,3,12,2,3,18200,9300,21400,9600,15700,9100,full,force-buy,119065,9,The Huns,2,0,f84ce6cea7bfec37
16,138154,172884,139434,174571,140951,176114,141399,176609,The Huns,Team Spirit,4,12,2,3,19950,10600,22800,1000,17200,0,full,eco,40426,9,The Huns,2,0,f84ce6cea7bfec37
17,141399,176609,142679,178621,149285,186657,149285,186657,The Huns,Team Spirit,4,13,2,3,15550,17750,27550,23400,12250,22400,full,full,125761,8,Team Spirit,3,0,f84ce6cea7bfec37
1,245,346,11337,14455,16999,20973,17447,21503,MOUZ,Falcons,1,0,3,2,4000,4000,4500,5550,3400,3350,pistol,pistol,259034,7,MOUZ,3,0,2dd0dab3d12aa679
2,17447,21503,18727,23445,24584,30422,25032,30969,MOUZ,Falcons,2,0,3,2,19900,14350,21650,4700,19400,4700,semi,eco,112005,8,MOUZ,3,0,2dd0dab3d12aa679
3,25032,30969,26312,32920,35098,43342,35546,43946,MOUZ,Falcons,2,1,3,2,18250,22250,25650,22500,13450,21500,full,full,155380,1,Falcons,2,0,2dd0dab3d12aa679
4,35546,43946,36826,45874,43866,54248,44314,54800,MOUZ,Falcons,2,2,3,2,11800,19150,25750,24300,11300,5100,full,full,129372,9,Falcons,2,0,2dd0dab3d12aa679
5,44314,54800,45594,56689,49821,61711,50269,62282,MOUZ,Falcons,2,3,3,2,10300,32100,1000,25500,0,8400,eco,full,86788,9,Falcons,2,0,2dd0dab3d12aa679
6,50269,62282,51549,64305,57243,70965,57691,71509,MOUZ,Falcons,3,3,3,2,22300,41750,22850,25300,21850,5950,full,full,109041,8,MOUZ,3,0,2dd0dab3d12aa679
