name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
sh1ro,76561198081484775,65,Team Spirit,23,7,16,5,21,1.437500,86.666664,79.400002,0.766667,0.533333,4.300000,4,-1,0,0,0,3,2,0,2382,301,129,10,15,15,16,10,1,4,1,1,1,9,11,14,15,9,2,0,8,1,0,0,11,5,1,0,0,1.349885,1.186563,CSGO-9vc2t-THGUY-Sf8QP-hMYOK-HzQRO,4,0,59e5b2c76e05bce0
XANTARES,76561198044118796,61,Eternal Fire,23,10,21,14,60,1.095238,76.666664,94.766670,0.766667,0.700000,1.333333,3,-1,0,0,0,0,1,0,2843,397,40,5,10,10,11,5,0,3,0,0,0,5,7,10,11,5,6,4,3,7,0,1,8,4,1,1,0,1.247204,1.137264,CSGO-Zwh2K-kGAt3-9txk7-rqbm6-8LhWA,3,0,59e5b2c76e05bce0
woxic,76561198083485506,61,Eternal Fire,25,6,11,10,40,2.272727,86.666664,80.800003,0.833333,0.366667,6.533333,2,-1,0,0,0,1,1,0,2424,262,196,9,14,14,15,9,2,5,2,2,2,7,9,12,13,7,1,1,3,1,0,0,12,5,1,0,0,1.497483,1.368904,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,0,0,59e5b2c76e05bce0
chopper,76561198045898864,49,Team Spirit,18,5,23,12,66,0.782609,70.000000,60.599998,0.600000,0.766667,1.566667,1,-1,0,0,0,2,0,0,1818,417,47,3,8,8,9,3,0,3,0,0,0,3,5,8,9,3,5,5,3,6,0,2,9,3,1,0,0,0.893017,0.808143,CSGO-DDMKA-7f8Le-z3na4-y3N5v-BWRZQ,0,0,59e5b2c76e05bce0
Wicadia,76561198812513923,49,Eternal Fire,20,4,22,10,50,0.909091,56.666668,65.866669,0.666667,0.733333,6.600000,4,-1,0,0,0,2,0,0,1976,369,198,4,9,9,10,4,0,3,0,0,0,4,6,9,10,4,2,5,3,3,0,1,6,4,2,0,0,0.884602,0.968446,CSGO-6pOpF-xdjGY-EF69i-LRLJ6-OAtKG,2,0,59e5b2c76e05bce0
magixx,76561199063238565,48,Team Spirit,18,6,19,7,38,0.947368,70.000000,75.400002,0.600000,0.633333,10.033334,4,-1,0,0,0,0,1,0,2262,294,301,9,14,14,15,9,0,3,0,0,0,9,11,14,15,9,0,3,3,4,0,2,8,2,2,0,0,1.014751,0.955860,CSGO-9vKLy-OAOok-Yrj2D-6t3oQ-7T8SA,1,0,59e5b2c76e05bce0
donk,76561198386265483,43,Team Spirit,16,7,24,9,56,0.666667,76.666664,58.666668,0.533333,0.800000,3.533333,2,-1,0,0,0,1,0,0,1760,306,106,5,10,10,11,5,0,3,0,0,0,5,7,10,11,5,2,2,5,8,0,2,9,2,1,0,0,0.866753,0.705846,CSGO-EvvTA-D6U88-mXTHk-acm3G-bkMHA,2,0,59e5b2c76e05bce0
jottAAA,76561198410750263,62,Eternal Fire,20,7,21,13,65,0.952381,66.666672,70.566666,0.666667,0.700000,3.633333,4,-1,0,0,0,4,1,0,2117,400,109,6,11,11,12,6,0,3,0,0,0,6,8,11,12,6,2,1,5,1,0,0,12,4,0,0,0,1.000368,0.879695,CSGO-hvZ4i-4S8Mt-3e4vy-xcofo-Kj5BO,4,0,59e5b2c76e05bce0
zont1x,76561198995880877,55,Team Spirit,24,9,22,7,29,1.090909,76.666664,89.599998,0.800000,0.733333,10.900000,3,-1,0,0,0,0,0,0,2688,481,327,5,10,10,11,5,0,3,0,0,0,5,7,10,11,5,6,5,3,8,0,2,9,4,1,1,0,1.238397,1.137852,CSGO-YRxPX-pKo3w-qZ2eU-GFa9n-biaAB,3,0,59e5b2c76e05bce0
MAJ3R,76561197967432889,41,Eternal Fire,15,11,25,8,53,0.600000,63.333332,66.800003,0.500000,0.833333,4.000000,3,-1,0,0,0,1,0,0,2004,321,120,5,10,10,11,5,0,3,0,0,0,5,7,10,11,5,4,4,3,6,0,0,10,1,1,0,0,0.762155,0.631398,CSGO-sueKV-WM8YR-HZ9MS-N7k4K-8MeFO,1,0,59e5b2c76e05bce0
