frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
850,715,1,76561198386265483,2,donk,Kevlar Vest,equipment,01JM6CYWE7ZFP39ADZS47S5HTC,0,2a4c3f36d8d46afa
887,747,1,76561198812513923,3,Wicadia,Kevlar Vest,equipment,01JM6CYWE7ZFP39ADZS6BYHHJ1,0,2a4c3f36d8d46afa
994,841,1,76561198083485506,3,woxic,Kevlar Vest,equipment,01JM6CYWE9QXS9W3E2B9GFV2RJ,0,2a4c3f36d8d46afa
1085,919,1,76561198081484775,2,sh1ro,Kevlar Vest,equipment,01JM6CYWEAVEHEB64THH0H5ZM3,0,2a4c3f36d8d46afa
1103,934,1,76561197967432889,3,MAJ3R,Flashbang,grenade,01JM6CYWEAVEHEB64THJTPF5S1,0,2a4c3f36d8d46afa
1502,1277,1,76561198812513923,3,Wicadia,Dual Berettas,pistol,01JM6CYWEAVEHEB64THGNZDJ7X,0,2a4c3f36d8d46afa
1619,1365,1,76561198995880877,2,zont1x,Kevlar Vest,equipment,01JM6CYWEJS40R6JHTNQZR7Y8G,0,2a4c3f36d8d46afa
1641,1385,1,76561198410750263,3,jottAAA,Kevlar Vest,equipment,01JM6CYWEJS40R6JHTNRBAXBDN,0,2a4c3f36d8d46afa
1699,1428,1,76561198410750263,3,jottAAA,Dual Berettas,pistol,01JM6CYWE9QXS9W3E2BA9EQWEW,0,2a4c3f36d8d46afa
6104,5112,2,76561198410750263,3,jottAAA,Kevlar + Helmet,equipment,01JM6CYWJZ3WPWJ0STYJVQ6QF6,0,2a4c3f36d8d46afa
6133,5132,2,76561198044118796,3,XANTARES,M4A1,rifle,01JM6CYWJZ3WPWJ0STYRZ64KHS,0,2a4c3f36d8d46afa
6146,5141,2,76561198410750263,3,jottAAA,MP9,smg,01JM6CYWK0CPMPXW3TH7R0VME6,0,2a4c3f36d8d46afa
6152,5147,2,76561198044118796,3,XANTARES,Kevlar + Helmet,equipment,01JM6CYWK0CPMPXW3THCXN5XHH,0,2a4c3f36d8d46afa
