number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,226,313,3058,3643,4616,5484,5064,6036,Eternal Fire,Team Spirit,1,0,3,2,4000,4000,4000,4800,3400,3400,pistol,pistol,65979,8,Eternal Fire,3,0,2a4c3f36d8d46afa
2,5064,6036,6344,7681,11634,13910,12082,14471,Eternal Fire,Team Spirit,2,0,3,2,18350,10100,21200,1000,17850,0,semi,eco,100468,8,Eternal Fire,3,0,2a4c3f36d8d46afa
3,12082,14471,13362,16349,22306,27019,22754,27533,Eternal Fire,Team Spirit,2,1,3,2,18850,22100,25500,22800,5800,21400,full,full,160106,9,Team Spirit,2,0,2a4c3f36d8d46afa
4,22754,27533,24034,29308,29261,35553,29709,36092,Eternal Fire,Team Spirit,2,2,3,2,21550,18750,21900,18700,20900,13700,force-buy,semi,102331,1,Team Spirit,2,0,2a4c3f36d8d46afa
5,29709,36092,30989,37957,38788,47177,39236,47710,Eternal Fire,Team Spirit,2,3,3,2,10150,24650,5250,25500,300,4500,semi,full,141439,1,Team Spirit,2,0,2a4c3f36d8d46afa
6,39236,47710,40516,49493,45894,55916,46342,56447,Eternal Fire,Team Spirit,2,4,3,2,22450,38850,25850,25600,18950,13100,full,full,104704,9,Team Spirit,2,0,2a4c3f36d8d46afa
7,48791,59636,50071,61324,53470,65380,53918,65921,Eternal Fire,Team Spirit,2,5,3,2,18900,43800,11150,25900,10750,16300,semi,full,73290,9,Team Spirit,2,0,2a4c3f36d8d46afa
8,53918,65921,55198,67708,61691,75415,62139,75932,Eternal Fire,Team Spirit,2,6,3,2,25750,45250,25900,25500,24900,11200,full,full,121138,9,Team Spirit,2,0,2a4c3f36d8d46afa
9,62139,75932,63419,77840,72290,88172,72738,88706,Eternal Fire,Team Spirit,2,7,3,2,18750,52100,12100,25200,11300,16400,semi,full,156176,9,Team Spirit,2,0,2a4c3f36d8d46afa
10,72738,88706,74018,90482,83667,101954,84115,102488,Eternal Fire,Team Spirit,2,8,3,2,25650,53750,26100,27450,24800,15600,full,full,169038,1,Team Spirit,2,0,2a4c3f36d8d46afa
11,86267,105391,87547,107178,92253,112884,92701,113460,Eternal Fire,Team Spirit,2,9,3,2,18250,56950,23400,27550,16650,12500,full,full,95607,9,Team Spirit,2,0,2a4c3f36d8d46afa
12,92701,113460,93981,115253,97503,119522,98047,120166,Eternal Fire,Team Spirit,2,10,3,2,19500,61800,20800,28650,19300,13650,force-buy,full,77348,9,Team Spirit,2,0,2a4c3f36d8d46afa
13,98047,120166,111024,136180,114973,140740,115421,141275,Eternal Fire,Team Spirit,3,10,2,3,4000,4000,4400,4200,3400,3400,pistol,pistol,262514,9,Eternal Fire,2,0,2a4c3f36d8d46afa
14,115421,141275,116701,143068,121138,148351,121586,148898,Eternal Fire,Team Spirit,4,10,2,3,18650,10700,19650,10650,17150,10050,semi,force-buy,90286,9,Eternal Fire,2,0,2a4c3f36d8d46afa
15,121586,148898,122866,150593,130227,159225,130675,159749,Eternal Fire,Team Spirit,5,10,2,3,21050,12650,20950,2500,4700,2100,full,eco,131767,1,Eternal Fire,2,0,2a4c3f36d8d46afa
16,132791,162567,134071,164383,141691,173357,142139,173882,Eternal Fire,Team Spirit,5,11,2,3,35950,26850,26850,26850,25850,25850,full,full,137675,7,Team Spirit,3,0,2a4c3f36d8d46afa
17,142139,173882,143419,175688,147961,181289,148409,181813,Eternal Fire,Team Spirit,6,11,2,3,21600,20300,20750,24800,19950,17350,full,full,94509,1,Eternal Fire,2,0,2a4c3f36d8d46afa
18,148409,181813,149689,183679,156937,192165,157385,192692,Eternal Fire,Team Spirit,6,12,2,3,20350,16350,21050,20900,20050,15700,full,force-buy,132086,7,Team Spirit,3,0,2a4c3f36d8d46afa
19,157385,192692,158665,194609,163661,200611,163661,200611,Eternal Fire,Team Spirit,6,13,2,3,10100,20800,12700,24000,12100,18100,force-buy,full,101042,8,Team Spirit,3,0,2a4c3f36d8d46afa
