steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198410750263,jottAAA,2,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561198812513923,Wicadia,2,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561198083485506,woxic,2,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561198044118796,XANTARES,2,800,650,950,pistol,1,d8b7e0bddd1b3eb3
76561199063238565,magixx,3,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561198045898864,chopper,3,800,700,600,pistol,1,d8b7e0bddd1b3eb3
76561198995880877,zont1x,3,800,650,1150,pistol,1,d8b7e0bddd1b3eb3
76561198386265483,donk,3,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561198081484775,sh1ro,3,800,650,850,pistol,1,d8b7e0bddd1b3eb3
76561197967432889,MAJ3R,2,800,800,700,pistol,1,d8b7e0bddd1b3eb3
76561198083485506,woxic,2,2050,0,200,eco,2,d8b7e0bddd1b3eb3
76561198386265483,donk,3,4300,4200,4400,semi,2,d8b7e0bddd1b3eb3
76561198044118796,XANTARES,2,2350,0,200,eco,2,d8b7e0bddd1b3eb3
76561197967432889,MAJ3R,2,1900,0,200,eco,2,d8b7e0bddd1b3eb3
76561198410750263,jottAAA,2,2050,0,200,eco,2,d8b7e0bddd1b3eb3
76561198812513923,Wicadia,2,2050,0,200,eco,2,d8b7e0bddd1b3eb3
76561198045898864,chopper,3,3350,2250,1500,semi,2,d8b7e0bddd1b3eb3
76561198995880877,zont1x,3,3400,3000,4150,semi,2,d8b7e0bddd1b3eb3
76561198081484775,sh1ro,3,3700,950,3050,semi,2,d8b7e0bddd1b3eb3
76561199063238565,magixx,3,3700,3250,3850,semi,2,d8b7e0bddd1b3eb3
76561198081484775,sh1ro,3,7200,7050,7150,full,3,d8b7e0bddd1b3eb3
76561198044118796,XANTARES,2,4750,4600,5000,full,3,d8b7e0bddd1b3eb3
76561197967432889,MAJ3R,2,4300,3800,4000,full,3,d8b7e0bddd1b3eb3
76561199063238565,magixx,3,4900,1300,3850,semi,3,d8b7e0bddd1b3eb3
76561198045898864,chopper,3,4650,1500,3750,semi,3,d8b7e0bddd1b3eb3
76561198083485506,woxic,2,4450,4400,4600,full,3,d8b7e0bddd1b3eb3
76561198995880877,zont1x,3,3650,800,4150,semi,3,d8b7e0bddd1b3eb3
76561198410750263,jottAAA,2,4750,4600,4800,full,3,d8b7e0bddd1b3eb3
76561198812513923,Wicadia,2,4450,4400,4600,full,3,d8b7e0bddd1b3eb3
76561198386265483,donk,3,3350,1700,5800,full,3,d8b7e0bddd1b3eb3
76561197967432889,MAJ3R,2,4000,2700,1000,eco,4,d8b7e0bddd1b3eb3
76561198812513923,Wicadia,2,2950,1700,1900,semi,4,d8b7e0bddd1b3eb3
76561198045898864,chopper,3,6400,5200,5400,full,4,d8b7e0bddd1b3eb3
76561198083485506,woxic,2,3250,0,500,eco,4,d8b7e0bddd1b3eb3
76561198386265483,donk,3,5200,500,5600,full,4,d8b7e0bddd1b3eb3
76561198081484775,sh1ro,3,3500,800,7250,full,4,d8b7e0bddd1b3eb3
76561198410750263,jottAAA,2,3050,1650,1650,semi,4,d8b7e0bddd1b3eb3
76561199063238565,magixx,3,7450,5200,5400,full,4,d8b7e0bddd1b3eb3
76561198995880877,zont1x,3,7300,5600,5800,full,4,d8b7e0bddd1b3eb3
76561198044118796,XANTARES,2,3050,1700,3900,semi,4,d8b7e0bddd1b3eb3
76561198386265483,donk,3,7950,3900,5500,full,5,d8b7e0bddd1b3eb3
76561197967432889,MAJ3R,2,4700,4700,4900,full,5,d8b7e0bddd1b3eb3
76561198410750263,jottAAA,2,5100,4800,4700,full,5,d8b7e0bddd1b3eb3
