number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,181,291,3866,5023,12457,14829,12905,15357,BetBoom,G2,0,1,3,2,4000,4000,4200,4300,3400,3450,pistol,pistol,182144,9,G2,2,0,d8db8a4b337c6ecd
2,12905,15357,14185,17229,17800,21612,18248,22169,BetBoom,G2,0,2,3,2,11000,18600,1700,19500,1100,18200,eco,semi,78368,9,G2,2,0,d8db8a4b337c6ecd
3,18248,22169,19528,24131,26079,32051,26527,32581,BetBoom,G2,0,3,3,2,22500,19050,23550,24500,22150,11300,full,full,123810,9,G2,2,0,d8db8a4b337c6ecd
4,26527,32581,27807,34630,34571,42634,35019,43197,BetBoom,G2,0,4,3,2,16050,25800,10250,26650,9850,21950,semi,full,125952,9,G2,2,0,d8db8a4b337c6ecd
5,37436,46389,38716,48187,47442,58908,47890,59433,BetBoom,G2,0,5,3,2,24100,21500,24200,27850,23200,9000,full,full,156848,1,G2,2,0,d8db8a4b337c6ecd
6,47890,59433,49170,61365,56142,69486,56590,70005,BetBoom,G2,1,5,3,2,18500,31500,9900,27550,6400,12800,semi,full,125952,8,BetBoom,3,0,d8db8a4b337c6ecd
7,58968,73332,60248,75161,65897,81992,66345,82533,BetBoom,G2,2,5,3,2,30450,26900,29250,24600,22650,23600,full,full,108499,8,BetBoom,3,0,d8db8a4b337c6ecd
8,66345,82533,67625,84368,69668,86787,70116,87351,BetBoom,G2,3,5,3,2,25350,13200,29500,2800,12400,2000,full,eco,53297,8,BetBoom,3,0,d8db8a4b337c6ecd
9,70116,87351,71396,89251,78875,98093,79323,98620,BetBoom,G2,3,6,3,2,30700,23200,30000,23800,2600,22500,full,full,134585,9,G2,2,0,d8db8a4b337c6ecd
10,79323,98620,80603,100584,88777,110431,89225,110984,BetBoom,G2,3,7,3,2,38200,18150,26400,26700,25700,12950,full,full,147978,1,G2,2,0,d8db8a4b337c6ecd
11,89225,110984,90505,112908,96729,120411,97177,120946,BetBoom,G2,3,8,3,2,25100,23700,28400,26950,20650,12400,full,full,118109,1,G2,2,0,d8db8a4b337c6ecd
12,97177,120946,98457,122824,105366,131089,105910,131740,BetBoom,G2,3,9,3,2,19650,29800,26800,29800,16750,19600,full,full,127080,9,G2,2,0,d8db8a4b337c6ecd
13,105910,131740,119224,148892,121596,151700,122044,152236,BetBoom,G2,3,10,2,3,4000,4000,4700,5100,3300,3400,pistol,pistol,250076,8,G2,3,0,d8db8a4b337c6ecd
14,122044,152236,123324,154051,128200,159832,128648,160366,BetBoom,G2,3,11,2,3,10500,18350,3500,20050,2900,17350,eco,semi,95169,8,G2,3,0,d8db8a4b337c6ecd
15,128648,160366,129928,162178,137288,171057,137736,171578,BetBoom,G2,3,12,2,3,19900,19350,20900,24600,19500,11300,full,full,133946,12,G2,3,0,d8db8a4b337c6ecd
16,137736,171578,139016,173552,143652,179452,143652,179452,BetBoom,G2,3,13,2,3,18850,19950,16950,28200,12250,23300,force-buy,full,98652,8,G2,3,0,d8db8a4b337c6ecd
