name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
m0NESY,76561198074762801,50,Eternal Fire,20,3,20,8,40,1.000000,70.833328,81.708336,0.833333,0.833333,3.125000,3,-1,0,0,0,3,1,0,1961,245,75,7,8,13,11,7,2,2,1,1,1,5,6,12,10,6,5,1,5,3,0,1,10,3,0,1,0,1.128648,1.050079,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,2,0,40d4c1527dc406f0
jottAAA,76561198410750263,48,G2,20,5,16,10,50,1.250000,83.333328,79.541664,0.833333,0.666667,1.708333,4,-1,0,0,0,1,1,0,1909,245,41,5,6,11,9,5,1,1,0,0,0,4,5,11,9,5,2,1,3,4,0,1,9,4,1,0,0,1.310083,1.138049,CSGO-hvZ4i-4S8Mt-3e4vy-xcofo-Kj5BO,4,0,40d4c1527dc406f0
MAJ3R,76561197967432889,45,G2,16,7,14,9,56,1.142857,70.833328,82.458336,0.666667,0.583333,3.708333,3,-1,0,0,0,2,1,0,1979,353,89,4,5,10,8,4,1,1,0,0,0,3,4,10,8,4,1,3,4,1,0,0,8,4,0,0,0,1.136821,0.994446,CSGO-dB2kZ-vRqYD-jr9OB-hqiVw-HvD7K,1,0,40d4c1527dc406f0
woxic,76561198083485506,43,G2,17,4,13,5,29,1.307692,83.333328,82.041664,0.708333,0.541667,0.000000,1,-1,0,0,0,0,1,0,1969,209,0,9,10,15,13,9,1,1,0,0,0,8,9,15,13,9,3,0,1,4,0,0,10,0,1,1,0,1.272502,1.184183,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,2,0,40d4c1527dc406f0
XANTARES,76561198044118796,42,G2,19,4,18,12,63,1.055556,66.666672,86.166664,0.791667,0.750000,1.791667,3,-1,0,0,0,0,1,0,2068,230,43,4,5,10,8,4,1,1,0,0,0,3,4,10,8,4,4,6,3,4,0,2,8,4,1,0,0,1.125043,1.035083,CSGO-Zwh2K-kGAt3-9txk7-rqbm6-8LhWA,3,0,40d4c1527dc406f0
malbsMd,76561198080703143,31,Eternal Fire,13,6,20,7,53,0.650000,66.666672,55.875000,0.541667,0.833333,4.041667,2,-1,0,0,0,0,0,0,1341,171,97,4,5,10,8,4,1,1,0,0,0,3,4,10,8,4,1,6,2,5,0,1,6,2,1,0,0,0.775919,0.709716,CSGO-uDwac-fNMzW-mDZGF-yzxYi-yrmHB,3,0,40d4c1527dc406f0
huNter,76561198012872053,46,Eternal Fire,17,4,16,8,47,1.062500,79.166672,75.583336,0.708333,0.666667,4.416667,2,-1,0,0,0,3,0,0,1814,247,106,7,8,13,11,7,2,2,1,1,1,5,6,12,10,6,4,2,6,2,0,1,13,2,0,0,0,1.154807,0.912766,CSGO-7p8aC-3tTU4-pb8GQ-OP9Kq-qKwLA,1,0,40d4c1527dc406f0
HeavyGod,76561198068002993,46,Eternal Fire,15,9,18,10,66,0.833333,70.833328,83.041664,0.625000,0.750000,0.000000,1,-1,0,0,0,2,0,0,1993,337,0,6,7,12,10,6,1,1,0,0,0,5,6,12,10,6,2,3,1,1,0,0,8,1,0,0,1,1.022159,0.992510,CSGO-dE62s-bXOib-X28Yu-zJHtx-hif4D,0,0,40d4c1527dc406f0
Wicadia,76561198812513923,50,G2,19,6,15,8,42,1.266667,83.333328,78.041664,0.791667,0.625000,3.166667,2,-1,0,0,0,4,0,0,1873,328,76,3,4,9,7,3,1,1,0,0,0,2,3,9,7,3,2,2,4,4,0,1,7,6,0,0,0,1.295624,1.113145,CSGO-Nj45A-Bd7s3-ATByW-8SOOO-kTJGG,0,0,40d4c1527dc406f0
Snax,76561197982141573,32,Eternal Fire,11,6,17,6,54,0.647059,75.000000,56.041668,0.458333,0.708333,8.708333,2,-1,0,0,0,1,0,0,1345,282,209,7,8,13,11,7,1,1,0,0,0,6,7,13,11,7,0,0,0,6,0,0,7,2,0,0,0,0.831871,0.669815,CSGO-OFKZZ-mZp9n-KXx4x-2SmEp-jcYHK,4,0,40d4c1527dc406f0
