frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
600,488,1,76561198120491311,3,davideuS,Kevlar Vest,equipment,01JM6D1M1TPR84S01BMZS4RHPP,0,4ccce73468468deb
646,525,1,76561199063068840,2,w0nderful,Kevlar Vest,equipment,01JM6D1M1VGJ4XP0YV4WR4H0HS,0,4ccce73468468deb
648,527,1,76561198385657675,3,Kauez,Kevlar Vest,equipment,01JM6D1M1VGJ4XP0YV4Z1KBYDW,0,4ccce73468468deb
801,649,1,76561198350342505,3,nqz,Kevlar Vest,equipment,01JM6D1M1XNHPA4DCWRZ8459BT,0,4ccce73468468deb
860,701,1,76561198050250233,2,iM,Kevlar Vest,equipment,01JM6D1M1YP2SVYHZA4BP2FBKD,0,4ccce73468468deb
892,729,1,76561198015308884,3,biguzera,Flashbang,grenade,01JM6D1M1YP2SVYHZA4CQ7JM1Y,0,4ccce73468468deb
962,788,1,76561198350342505,3,nqz,Dual Berettas,pistol,01JM6D1M1YP2SVYHZA48Q9K176,0,4ccce73468468deb
1006,821,1,76561198377335846,3,snow,Kevlar Vest,equipment,01JM6D1M20JEXZPHXD8QQCTTZ0,0,4ccce73468468deb
1024,834,1,76561198120491311,3,davideuS,Dual Berettas,pistol,01JM6D1M1YP2SVYHZA4882BAZF,0,4ccce73468468deb
1523,1224,1,76561198013243326,2,Aleksib,Smoke Grenade,grenade,01JM6D1M284HWX224Y5S37FM51,0,4ccce73468468deb
1549,1240,1,76561198013243326,2,Aleksib,Flashbang,grenade,01JM6D1M284HWX224Y5T07J4EN,0,4ccce73468468deb
13232,11154,2,76561198120491311,3,davideuS,Kevlar + Helmet,equipment,01JM6D1MBS2YT8J8XV2CWC6VGG,0,4ccce73468468deb
13254,11169,2,76561198120491311,3,davideuS,M4A1,rifle,01JM6D1MBTMCB0BK3N368THSPQ,0,4ccce73468468deb
13301,11206,2,76561198377335846,3,snow,Kevlar + Helmet,equipment,01JM6D1MBVHBPFBCNB26R2A4AA,0,4ccce73468468deb
13302,11207,2,76561198120491311,3,davideuS,Smoke Grenade,grenade,01JM6D1MBVHBPFBCNB26WRGQ79,0,4ccce73468468deb
13332,11222,2,76561198385657675,3,Kauez,MP9,smg,01JM6D1MBVHBPFBCNB28NWPTKD,0,4ccce73468468deb
13346,11234,2,76561198385657675,3,Kauez,Kevlar + Helmet,equipment,01JM6D1MBVHBPFBCNB2AZWC39G,0,4ccce73468468deb
13368,11249,2,76561198015308884,3,biguzera,Kevlar + Helmet,equipment,01JM6D1MBWHZ6A5Z9TGPT3YV47,0,4ccce73468468deb
13380,11257,2,76561198385657675,3,Kauez,Incendiary Grenade,grenade,01JM6D1MBXMD3BX7732RMEAHYW,0,4ccce73468468deb
13399,11268,2,76561198385657675,3,Kauez,Smoke Grenade,grenade,01JM6D1MBXMD3BX7732SVXZAQ8,0,4ccce73468468deb
13434,11291,2,76561198385657675,3,Kauez,HE Grenade,grenade,01JM6D1MBYFM8TGAEH00QBBPJ2,1,4ccce73468468deb
13498,11326,2,76561198377335846,3,snow,M4A1,rifle,01JM6D1MBZ46Z1TMQBZVKD76VT,0,4ccce73468468deb
13598,11386,2,76561198246607476,2,b1t,Desert Eagle,pistol,01JM6D1MC2N3TW1HW48CVMA5CE,0,4ccce73468468deb
13677,11431,2,76561198015308884,3,biguzera,MP9,smg,01JM6D1MC3V14R3P22F686DBCH,0,4ccce73468468deb
13716,11447,2,76561198385657675,3,Kauez,Flashbang,grenade,01JM6D1MC4KFYVZFS64PSBMBZB,0,4ccce73468468deb
13766,11470,2,76561198015308884,3,biguzera,Smoke Grenade,grenade,01JM6D1MC5TJJG026RMWPTSPMS,0,4ccce73468468deb
13798,11490,2,76561198015308884,3,biguzera,Incendiary Grenade,grenade,01JM6D1MC5TJJG026RMYE4DZ2Z,0,4ccce73468468deb
13851,11520,2,76561199063068840,2,w0nderful,Desert Eagle,pistol,01JM6D1MC61BE9P2FNAS43M8GM,0,4ccce73468468deb
14036,11626,2,76561198350342505,3,nqz,Kevlar + Helmet,equipment,01JM6D1MC9TGYT5KWCD7XCSXWX,0,4ccce73468468deb
