frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
701,572,1,76561198113666193,3,ZywOo,Kevlar Vest,equipment,01JM6D3R2TYGH6QC2K9PD4N053,0,299d651349cc6962
743,610,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM6D3R2V1H9NDYS1PTJB3CMX,0,299d651349cc6962
870,710,1,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM6D3R2WGEJ1HBB7YDHVSGRB,0,299d651349cc6962
910,742,1,76561198044118796,2,XANTARES,Kevlar Vest,equipment,01JM6D3R2XHE0348R0EGQ63Z15,0,299d651349cc6962
1061,870,1,76561197989744167,3,apEX,Kevlar Vest,equipment,01JM6D3R2ZSJKG5ZTVPQHKRATJ,0,299d651349cc6962
1061,870,1,76561198812513923,2,Wicadia,Kevlar Vest,equipment,01JM6D3R2ZSJKG5ZTVPR15JXW2,0,299d651349cc6962
1283,1049,1,76561197967432889,2,MAJ3R,Smoke Grenade,grenade,01JM6D3R32QN0N5QWF74KZYGXN,0,299d651349cc6962
1295,1061,1,76561197967432889,2,MAJ3R,Flashbang,grenade,01JM6D3R2H0MQ9WYZSWMGQFVZR,0,299d651349cc6962
1310,1073,1,76561197967432889,2,MAJ3R,HE Grenade,grenade,01JM6D3R33GHJH8VGXCAQN4T2N,0,299d651349cc6962
21150,17849,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM6D3RBR7643YGBN2BPRPST7,0,299d651349cc6962
21159,17856,1,76561197967432889,2,MAJ3R,Smoke Grenade,grenade,01JM6D3RBR7643YGBN2BQMPDPR,0,299d651349cc6962
21173,17866,1,76561197967432889,2,MAJ3R,HE Grenade,grenade,01JM6D3RBFC9XAJVZVGK89RDFT,0,299d651349cc6962
21195,17879,1,76561197967432889,2,MAJ3R,Flashbang,grenade,01JM6D3RBR7643YGBN2DPSB6ZP,0,299d651349cc6962
21195,17879,1,76561197989744167,3,apEX,Kevlar Vest,equipment,01JM6D3RBR7643YGBN2GWB5B6T,0,299d651349cc6962
21198,17882,1,76561198113666193,3,ZywOo,Kevlar Vest,equipment,01JM6D3RBR7643YGBN2GWQ51QW,0,299d651349cc6962
21322,17966,1,76561198812513923,2,Wicadia,Kevlar Vest,equipment,01JM6D3RBTPTKKAAQR8XH1XE6X,0,299d651349cc6962
21361,17988,1,76561198083485506,2,woxic,Kevlar Vest,equipment,01JM6D3RBVYH0MCQMGYD95VKJE,0,299d651349cc6962
21596,18157,1,76561197978835160,3,flameZ,Kevlar Vest,equipment,01JM6D3RBZ0SK4ADB9C7EWEVAR,0,299d651349cc6962
29811,25122,2,76561198410750263,2,jottAAA,Kevlar + Helmet,equipment,01JM6D3RN3N6GRKD5MRTJ8NQPR,0,299d651349cc6962
29850,25148,2,76561198044118796,2,XANTARES,MAC-10,smg,01JM6D3RN4K9SGCSDN6PBJR4NT,0,299d651349cc6962
29876,25169,2,76561198044118796,2,XANTARES,Kevlar + Helmet,equipment,01JM6D3RN4K9SGCSDN6SK7R310,0,299d651349cc6962
