steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561197973140692,mezii,3,800,650,850,pistol,1,299d651349cc6962
76561197978835160,flameZ,3,800,650,850,pistol,1,299d651349cc6962
76561198113666193,ZywOo,3,800,650,850,pistol,1,299d651349cc6962
76561197989744167,apEX,3,800,650,850,pistol,1,299d651349cc6962
76561198044118796,XANTARES,2,800,650,850,pistol,1,299d651349cc6962
76561198410750263,jottAAA,2,800,650,850,pistol,1,299d651349cc6962
76561197967432889,MAJ3R,2,800,800,1000,pistol,1,299d651349cc6962
76561198812513923,Wicadia,2,800,650,850,pistol,1,299d651349cc6962
76561198083485506,woxic,2,800,650,850,pistol,1,299d651349cc6962
76561197991272318,ropz,3,800,650,850,pistol,1,299d651349cc6962
76561198410750263,jottAAA,2,3400,3400,4000,full,2,299d651349cc6962
76561197967432889,MAJ3R,2,4150,4000,2550,semi,2,299d651349cc6962
76561198812513923,Wicadia,2,3700,3450,3050,semi,2,299d651349cc6962
76561198113666193,ZywOo,3,2050,1900,2100,force-buy,2,299d651349cc6962
76561198083485506,woxic,2,4000,4000,4400,full,2,299d651349cc6962
76561198044118796,XANTARES,2,3400,3250,5100,full,2,299d651349cc6962
76561197978835160,flameZ,3,2050,2000,2000,force-buy,2,299d651349cc6962
76561197989744167,apEX,3,2050,2000,2000,force-buy,2,299d651349cc6962
76561197991272318,ropz,3,2650,2550,2750,force-buy,2,299d651349cc6962
76561197973140692,mezii,3,2050,1900,2100,force-buy,2,299d651349cc6962
76561197978835160,flameZ,3,2750,700,700,eco,3,299d651349cc6962
76561198812513923,Wicadia,2,4100,3250,3450,semi,3,299d651349cc6962
76561198083485506,woxic,2,3250,1100,5300,full,3,299d651349cc6962
76561198044118796,XANTARES,2,4600,3600,4900,full,3,299d651349cc6962
76561198410750263,jottAAA,2,3250,1200,4700,full,3,299d651349cc6962
76561197967432889,MAJ3R,2,3400,2200,5100,full,3,299d651349cc6962
76561198113666193,ZywOo,3,2550,700,700,eco,3,299d651349cc6962
76561197989744167,apEX,3,2750,500,500,eco,3,299d651349cc6962
76561197991272318,ropz,3,2500,1150,1150,semi,3,299d651349cc6962
76561197973140692,mezii,3,2550,700,700,eco,3,299d651349cc6962
76561197967432889,MAJ3R,2,5050,1100,5500,full,4,299d651349cc6962
76561197989744167,apEX,3,5150,4850,5050,full,4,299d651349cc6962
76561198410750263,jottAAA,2,5600,900,4600,full,4,299d651349cc6962
76561198812513923,Wicadia,2,4100,1200,3450,semi,4,299d651349cc6962
76561198113666193,ZywOo,3,4750,4700,5100,full,4,299d651349cc6962
76561198083485506,woxic,2,5700,0,5300,full,4,299d651349cc6962
76561197991272318,ropz,3,4250,4200,4400,force-buy,4,299d651349cc6962
76561197973140692,mezii,3,4750,4650,5050,full,4,299d651349cc6962
76561198044118796,XANTARES,2,4850,1000,5100,full,4,299d651349cc6962
76561197978835160,flameZ,3,4950,4850,5050,full,4,299d651349cc6962
