frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
6013,4989,1,Graviti,76561198179538505,3,3DMAX,Graviti,76561198179538505,3,3DMAX,,0,0,,World,world,0,0,0,0,0,0,-352.000000,1728.000000,28.813251,0,0,-352.000000,1728.000000,28.813251,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,1229e6b33a7c388f
34359,29217,1,Djoko,76561198047876970,3,3DMAX,yxngstxr,76561199137143905,2,HEROIC,,0,0,,USP-S,pistol,1,0,0,0,0,0,221.785156,-824.806702,153.031250,0,0,-904.857178,-695.348022,39.976067,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.115438,1229e6b33a7c388f
34645,29476,1,xfl0ud,76561198178209109,2,HEROIC,Ex3rcice,76561198168198200,3,3DMAX,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1317.229980,37.673183,103.031250,0,0,-1433.964111,340.267883,89.490128,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.218235,1229e6b33a7c388f
34999,29778,1,Djoko,76561198047876970,3,3DMAX,xfl0ud,76561198178209109,2,HEROIC,SunPayus,76561198309839541,2,HEROIC,USP-S,pistol,1,0,0,0,0,0,-996.269409,-149.935059,102.599564,0,0,-1401.340576,27.788496,103.031258,0,0,0,-1341.491943,80.222923,106.031250,1,1,0,0,11.227027,1229e6b33a7c388f
35039,29815,1,SunPayus,76561198309839541,2,HEROIC,Maka,76561198045739761,3,3DMAX,tN1R,76561198872013168,2,HEROIC,Glock-18,pistol,0,0,0,0,0,0,-1356.888428,31.184301,103.031258,0,0,-905.277954,-215.343750,97.031250,0,0,0,-1394.688721,56.240597,105.145546,0,0,0,0,13.068148,1229e6b33a7c388f
35073,29847,1,tN1R,76561198872013168,2,HEROIC,Djoko,76561198047876970,3,3DMAX,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1438.108643,-41.780029,106.031258,0,0,-1024.341187,-146.077271,106.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.937488,1229e6b33a7c388f
35251,30003,1,Graviti,76561198179538505,3,3DMAX,LNZ,76561198104626893,2,HEROIC,,0,0,,P2000,pistol,0,1,0,0,0,0,-1507.715332,1128.220337,97.880096,0,0,-1894.611694,904.955017,52.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.407296,1229e6b33a7c388f
36504,31100,1,tN1R,76561198872013168,2,HEROIC,Lucky,76561198031890115,3,3DMAX,SunPayus,76561198309839541,2,HEROIC,Glock-18,pistol,1,0,0,0,0,0,679.886719,174.364914,134.031250,0,0,636.504700,935.968262,111.563835,0,0,0,591.863220,214.665009,156.031250,0,0,0,0,19.385269,1229e6b33a7c388f
36536,31128,1,Graviti,76561198179538505,3,3DMAX,SunPayus,76561198309839541,2,HEROIC,,0,0,,P2000,pistol,1,0,0,0,0,0,568.071045,826.061829,114.591408,0,0,662.450500,214.379929,134.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.744787,1229e6b33a7c388f
36567,31157,1,tN1R,76561198872013168,2,HEROIC,Graviti,76561198179538505,3,3DMAX,SunPayus,76561198309839541,2,HEROIC,Glock-18,pistol,0,0,0,0,0,0,677.997253,176.634995,134.031250,0,0,566.093079,825.737244,114.606194,0,0,0,662.163269,214.365845,134.031250,1,0,0,0,16.743004,1229e6b33a7c388f
39771,33534,2,Lucky,76561198031890115,3,3DMAX,LNZ,76561198104626893,2,HEROIC,Maka,76561198045739761,3,3DMAX,MP9,smg,0,0,0,0,0,0,-508.623901,-387.675903,57.934929,0,1,-618.184692,-858.923523,32.129169,0,1,0,-454.871094,756.504517,104.855743,0,1,0,0,12.384412,1229e6b33a7c388f
39799,33561,2,xfl0ud,76561198178209109,2,HEROIC,Lucky,76561198031890115,3,3DMAX,,0,0,,AK-47,rifle,0,0,0,0,0,0,-856.982971,-851.492004,37.315273,0,1,-518.112488,-358.361572,57.737251,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,15.230204,1229e6b33a7c388f
41766,35264,2,yxngstxr,76561199137143905,2,HEROIC,Maka,76561198045739761,3,3DMAX,,0,0,,MAC-10,smg,0,0,0,0,0,0,409.536835,-247.721252,162.031250,0,0,529.642944,-155.954102,152.856415,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.835292,1229e6b33a7c388f
49097,41274,3,LNZ,76561198104626893,2,HEROIC,Djoko,76561198047876970,3,3DMAX,xfl0ud,76561198178209109,2,HEROIC,MAC-10,smg,0,0,0,0,0,0,-340.180664,-856.201782,32.793964,0,1,-619.223450,-348.596130,59.575451,0,1,0,-665.951477,-829.182983,32.031258,0,0,0,0,14.707735,1229e6b33a7c388f
49149,41315,3,xfl0ud,76561198178209109,2,HEROIC,Maka,76561198045739761,3,3DMAX,,0,0,,AK-47,rifle,0,0,0,0,0,0,-665.616882,-829.250732,32.031258,0,1,-395.144409,96.680725,174.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.764757,1229e6b33a7c388f
49655,41734,3,Graviti,76561198179538505,3,3DMAX,yxngstxr,76561199137143905,2,HEROIC,,0,0,,MP9,smg,1,0,0,0,0,0,496.790436,-498.283203,182.031250,0,0,134.267181,-587.432373,172.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.485433,1229e6b33a7c388f
