frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
675,572,1,76561198013243326,3,Aleksib,Kevlar Vest,equipment,01JM60NEXTXPMPB3N1H39ZYVPR,0,e404f30b9dc3e185
695,591,1,76561198246607476,3,b1t,Kevlar Vest,equipment,01JM60NEXTXPMPB3N1H74XJE7Q,0,e404f30b9dc3e185
842,720,1,76561198176878303,3,jL,Kevlar Vest,equipment,01JM60NEXWMVHKNA7K3FEKQ5RB,0,e404f30b9dc3e185
911,777,1,76561198050250233,3,iM,Kevlar Vest,equipment,01JM60NEXXX0TPX64S5J2PMGZW,0,e404f30b9dc3e185
7242,6249,1,76561198176878303,3,jL,Kevlar Vest,equipment,01JM60NF16S00SMM87R2ZP7AT9,0,e404f30b9dc3e185
7262,6262,1,76561199063068840,3,w0nderful,Incendiary Grenade,grenade,01JM60NF16S00SMM87R4XQCV80,1,e404f30b9dc3e185
7283,6282,1,76561199063068840,3,w0nderful,HE Grenade,grenade,01JM60NF17P3V83W98JFWJCD2W,1,e404f30b9dc3e185
7316,6310,1,76561198050250233,3,iM,Kevlar Vest,equipment,01JM60NF17P3V83W98JKEAT7DN,0,e404f30b9dc3e185
8020,6877,1,76561198013243326,3,Aleksib,Kevlar Vest,equipment,01JM60NF1JYYMSRZNMS8MA394H,0,e404f30b9dc3e185
8104,6938,1,76561199063068840,3,w0nderful,Kevlar Vest,equipment,01JM60NF1KNTXX312GGC7XQ615,0,e404f30b9dc3e185
8146,6965,1,76561198176878303,3,jL,Kevlar Vest,equipment,01JM60NF1MPE47TK68HFB4RYYV,0,e404f30b9dc3e185
28336,23918,2,76561198050250233,3,iM,Kevlar + Helmet,equipment,01JM60NFJ1A3NDXHW19R6R5EMN,0,e404f30b9dc3e185
28392,23953,2,76561197987713664,2,dev1ce,AK-47,rifle,01JM60NFJ2V9JJ0YCSFSFNB01Q,0,e404f30b9dc3e185
28406,23959,2,76561198176878303,3,jL,Desert Eagle,pistol,01JM60NFJ3TTXHWMRHRYSHPT7J,0,e404f30b9dc3e185
28422,23971,2,76561197987713664,2,dev1ce,Kevlar + Helmet,equipment,01JM60NFJ3TTXHWMRHS1X86MPF,0,e404f30b9dc3e185
28429,23977,2,76561198176878303,3,jL,Kevlar Vest,equipment,01JM60NFJ3TTXHWMRHS5VWMF46,0,e404f30b9dc3e185
28468,23999,2,76561197987713664,2,dev1ce,Flashbang,grenade,01JM60NFJ48KKE15R9K4B5C9B8,0,e404f30b9dc3e185
