frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
8298,6907,1,stavn,76561198022365638,2,Team B,JBa,76561198184153575,3,Team A,dev1ce,76561197987713664,2,Team B,Glock-18,pistol,0,0,0,0,0,0,232.554626,-414.349426,-166.015747,0,0,-1164.756714,-568.905640,-167.968750,0,0,0,376.022308,-427.524780,-165.809326,0,0,0,0,35.707565,433e792f292e65d9
8940,7479,1,dev1ce,76561197987713664,2,Team B,phzy,76561198408199043,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-868.584778,-538.728271,-263.968750,0,0,-1163.986206,-745.333191,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.322268,433e792f292e65d9
10041,8464,1,dev1ce,76561197987713664,2,Team B,Sonic,76561197975129851,3,Team A,jabbi,76561198120557348,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-1247.966309,-633.651123,-167.968750,0,0,-1113.672974,-208.343140,-55.968750,0,0,0,-416.545654,-703.396606,-271.724121,0,0,0,0,11.670815,433e792f292e65d9
10713,9060,1,stanislaw,76561197981849043,3,Team A,jabbi,76561198120557348,2,Team B,phzy,76561198408199043,3,Team A,USP-S,pistol,1,0,0,0,0,0,-807.702332,85.089828,-165.968750,0,0,-639.555847,-939.261047,-215.968750,0,0,0,-1163.805542,-746.580627,-167.968750,0,1,0,0,26.441977,433e792f292e65d9
10722,9069,1,susp,76561198342718168,3,Team A,cadiaN,76561198004115516,2,Team B,,0,0,,Dual Berettas,pistol,0,0,0,0,0,0,-1602.230103,-2261.175293,-251.844666,0,0,-891.914673,-2352.329834,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,18.328817,433e792f292e65d9
10949,9275,1,dev1ce,76561197987713664,2,Team B,stanislaw,76561197981849043,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,-1091.333252,-680.220642,-134.968750,0,0,-798.026123,-150.309326,-166.630859,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,15.406128,433e792f292e65d9
10979,9304,1,Staehr,76561198005107817,2,Team B,susp,76561198342718168,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,86.626823,-2150.151123,-39.968750,0,0,-1111.104980,-2337.389648,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,30.970749,433e792f292e65d9
14077,11504,2,phzy,76561198408199043,3,Team A,dev1ce,76561197987713664,2,Team B,,0,0,,SSG 08,sniper,1,1,0,0,0,0,-1162.343628,-728.101868,-167.968750,0,0,429.115082,-207.856140,-161.407532,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,42.533947,433e792f292e65d9
17730,14517,2,jabbi,76561198120557348,2,Team B,Sonic,76561197975129851,3,Team A,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-387.050293,-1751.611206,-167.968750,0,0,-1217.297729,-1242.748779,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.733971,433e792f292e65d9
17892,14649,2,jabbi,76561198120557348,2,Team B,susp,76561198342718168,3,Team A,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-419.182312,-1803.734009,-172.950745,0,0,-1243.224976,-1322.509766,-169.222900,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.246183,433e792f292e65d9
