name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
phzy,76561198408199043,32,Team A,12,2,14,4,33,0.857143,55.555557,81.500000,0.666667,0.777778,2.666667,2,-1,0,0,0,2,0,0,1467,244,48,6,7,11,10,6,4,2,2,2,2,2,5,9,8,4,2,2,3,1,0,1,4,2,0,1,0,0.900619,0.996548,CSGO-y7DLq-a7ZiG-GN5Wc-8F8Qy-VtjjD,4,0,433e792f292e65d9
stanislaw,76561197981849043,18,Team A,7,3,15,3,42,0.466667,72.222221,47.888889,0.388889,0.833333,7.166667,1,-1,0,0,0,1,0,0,862,128,129,5,6,10,9,5,2,0,0,0,0,3,6,10,9,5,1,1,0,3,0,0,5,1,0,0,0,0.650566,0.493450,CSGO-xX2Z2-BAYki-otAtZ-KcNZz-QQchQ,2,0,433e792f292e65d9
jabbi,76561198120557348,45,Team B,15,1,7,9,60,2.142857,77.777779,80.277779,0.833333,0.388889,0.000000,4,-1,0,0,0,3,2,0,1445,209,0,3,4,8,7,3,2,0,0,0,0,1,4,8,7,3,0,2,0,2,0,0,5,2,2,0,0,1.404691,1.453851,CSGO-issQU-Y23yx-Op6qp-HSuzS-bCSZQ,2,0,433e792f292e65d9
susp,76561198342718168,19,Team A,8,4,17,2,25,0.470588,61.111111,57.722221,0.444444,0.944444,3.555556,1,-1,0,0,0,0,0,0,1039,196,64,5,6,10,9,5,2,0,0,0,0,3,6,10,9,5,1,5,1,5,0,2,4,2,0,0,0,0.595264,0.481219,CSGO-BBqWY-M938Q-HJqFF-rKVaj-EDCtG,3,0,433e792f292e65d9
stavn,76561198022365638,45,Team B,16,5,7,9,56,2.285714,88.888893,96.666664,0.888889,0.388889,4.611111,3,-1,0,0,0,1,2,0,1740,230,83,3,4,8,7,3,2,0,0,0,0,1,4,8,7,3,5,0,1,1,0,0,8,4,0,0,0,1.608403,1.371365,CSGO-jhB9a-uMEC8-7NGoc-fVamV-TXQ3A,3,0,433e792f292e65d9
Sonic,76561197975129851,11,Team A,3,4,18,1,33,0.166667,33.333336,40.666668,0.166667,1.000000,3.833333,0,-1,0,0,0,1,0,0,732,108,69,4,5,9,8,4,2,0,0,0,0,2,5,9,8,4,0,5,1,2,0,0,3,0,0,0,0,0.068209,0.139249,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,1,0,433e792f292e65d9
cadiaN,76561198004115516,40,Team B,15,6,8,7,46,1.875000,83.333328,75.055557,0.833333,0.444444,5.888889,1,-1,0,0,0,1,0,0,1351,133,106,4,5,9,8,4,2,0,0,0,0,2,5,9,8,4,3,1,2,1,0,0,5,2,2,0,0,1.426603,1.408415,CSGO-jaLLt-fVhJi-nd92x-VGVfs-8HSuK,0,0,433e792f292e65d9
dev1ce,76561197987713664,41,Team B,13,6,10,5,38,1.300000,77.777779,80.611115,0.722222,0.555556,6.944445,3,-1,0,0,0,2,0,0,1451,226,125,2,3,7,6,2,2,0,0,0,0,0,3,7,6,2,3,1,1,3,0,0,8,1,1,0,0,1.248577,1.095807,CSGO-ZRbez-B9V4e-8FAjK-fJNzW-vMxoO,4,0,433e792f292e65d9
JBa,76561198184153575,21,Team A,13,1,14,5,38,0.928571,55.555557,81.166664,0.722222,0.777778,1.277778,1,-1,0,0,0,1,0,0,1461,260,23,5,6,10,9,5,2,0,0,0,0,3,6,10,9,5,0,1,6,1,0,0,3,2,2,0,0,0.942036,1.042965,CSGO-L4Ay8-VnaJx-PrHLU-VkW8a-dmwjN,0,0,433e792f292e65d9
Staehr,76561198005107817,47,Team B,19,9,11,10,52,1.727273,88.888893,114.888885,1.055556,0.611111,7.222222,2,-1,0,0,0,1,0,0,2068,339,130,3,4,8,7,3,2,0,0,0,0,1,4,8,7,3,3,0,4,2,0,0,9,5,0,0,0,1.714487,1.361095,CSGO-vbh2N-3wy8B-BAFGn-KTJUG-5VJGG,1,0,433e792f292e65d9
