name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Krimbo,76561198170631091,43,BIG CS2,15,5,9,11,73,1.666667,85.714287,71.571426,0.714286,0.428571,1.571429,3,-1,0,0,0,2,0,0,1503,175,33,5,8,12,7,3,2,0,0,0,0,3,8,12,7,3,1,1,1,4,0,0,8,2,1,0,0,1.328908,1.202238,CSGO-iMuyc-upHZB-n8Qbq-QSeZX-TXQ3A,2,0,c32b2a8cd3336bee
hyped,76561198139604328,38,BIG CS2,13,7,11,3,23,1.181818,66.666672,63.952381,0.619048,0.523810,2.571429,2,-1,0,0,0,2,1,0,1343,210,54,3,6,10,5,1,3,1,1,1,1,0,5,9,4,0,1,2,4,1,0,0,5,2,0,1,0,1.041897,1.127642,CSGO-AEuKE-znv7Q-fzP7i-8LfvB-wEL9P,3,0,c32b2a8cd3336bee
JDC,76561198078771373,50,BIG CS2,20,3,14,13,65,1.428571,71.428574,91.285713,0.952381,0.666667,3.523809,4,-1,0,0,0,1,0,0,1917,172,74,4,7,11,6,2,3,1,1,1,1,1,6,10,5,1,2,2,3,1,0,0,4,5,2,0,0,1.357133,1.372171,CSGO-uw8YC-zzHiJ-O7PUz-iKkWT-4JDhP,0,0,c32b2a8cd3336bee
HeavyGod,76561198068002993,36,G2 Esports CS2,12,5,14,6,50,0.857143,85.714287,71.142860,0.571429,0.666667,8.523809,1,-1,0,0,0,2,0,0,1494,305,179,7,10,14,9,5,2,0,0,0,0,5,10,14,9,5,2,2,3,3,0,2,8,2,0,0,0,1.077179,0.805288,CSGO-dE62s-bXOib-X28Yu-zJHtx-hif4D,4,0,c32b2a8cd3336bee
tabseN,76561197961491680,37,BIG CS2,11,8,15,6,54,0.733333,76.190475,76.904762,0.523810,0.714286,12.190476,1,-1,0,0,0,2,1,0,1615,294,256,3,6,10,5,1,2,0,0,0,0,1,6,10,5,1,2,6,2,3,0,1,6,1,1,0,0,0.973790,0.781801,CSGO-n8hQL-UUpiu-uQRGK-3GxDU-teRVP,4,0,c32b2a8cd3336bee
kyuubii,76561198144926364,46,BIG CS2,16,8,14,10,62,1.142857,76.190475,80.809525,0.761905,0.666667,4.428571,3,-1,0,0,0,3,0,0,1697,248,93,2,5,9,4,0,2,0,0,0,0,0,5,9,4,0,4,0,1,4,0,0,9,2,1,0,0,1.217456,1.047296,CSGO-pKTkh-uJ97k-dSmOF-UPneX-G847M,1,0,c32b2a8cd3336bee
malbsMd,76561198080703143,52,G2 Esports CS2,19,5,14,12,63,1.357143,71.428574,92.142860,0.904762,0.666667,8.476191,5,-1,0,0,0,3,0,0,1935,404,178,3,6,10,5,1,2,0,0,0,0,1,6,10,5,1,6,3,4,0,0,0,8,4,1,0,0,1.328205,1.221897,CSGO-HmmRs-T5YH8-mkpxj-oDFF6-oSqNO,3,0,c32b2a8cd3336bee
Snax,76561197982141573,26,G2 Esports CS2,9,6,17,3,33,0.529412,57.142860,58.571430,0.428571,0.809524,11.238095,0,-1,0,0,0,0,0,0,1230,158,236,4,7,11,6,2,2,0,0,0,0,2,7,11,6,2,1,2,4,2,0,0,5,2,0,0,0,0.633518,0.569095,CSGO-6B6EF-qROBa-3Kqrw-GPV6P-3hbcP,1,0,c32b2a8cd3336bee
huNter,76561198012872053,35,G2 Esports CS2,13,3,16,7,53,0.812500,61.904762,72.380951,0.619048,0.761905,5.142857,2,-1,0,0,0,2,0,0,1520,322,108,5,8,12,7,3,2,0,0,0,0,3,8,12,7,3,2,2,0,4,0,1,6,2,1,0,0,0.888250,0.850049,CSGO-mXQxt-7jY5x-mANmM-LA8qR-qDPYE,2,0,c32b2a8cd3336bee
m0NESY,76561198074762801,30,G2 Esports CS2,10,6,14,4,40,0.714286,71.428574,47.238094,0.476190,0.666667,8.380953,0,-1,0,0,0,1,0,0,992,162,176,4,7,11,6,2,2,0,0,0,0,2,7,11,6,2,0,1,2,4,0,0,4,3,0,0,0,0.818824,0.753339,CSGO-MkZpC-OQ3Zi-ZWS4G-KizMK-WiA6Q,0,0,c32b2a8cd3336bee
