name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
malbsMd,76561198080703143,50,G2 Esports CS2,21,3,17,16,76,1.235294,72.727272,95.954544,0.954545,0.772727,2.000000,2,-1,0,0,0,0,1,0,2111,367,44,1,5,9,4,1,1,0,0,0,0,0,5,9,4,1,6,3,5,3,0,0,11,3,0,1,0,1.326258,1.220693,CSGO-HmmRs-T5YH8-mkpxj-oDFF6-oSqNO,3,0,54bbdcd43f4bf674
kyuubii,76561198144926364,35,BIG CS2,13,2,17,8,61,0.764706,63.636364,69.000000,0.590909,0.772727,4.954545,0,-1,0,0,0,2,0,0,1518,234,109,3,7,11,6,3,1,0,0,0,0,2,7,11,6,3,2,1,7,2,0,0,9,2,0,0,0,0.854808,0.732311,CSGO-pKTkh-uJ97k-dSmOF-UPneX-G847M,1,0,54bbdcd43f4bf674
Krimbo,76561198170631091,37,BIG CS2,12,12,14,3,25,0.857143,81.818184,69.954544,0.545455,0.636364,5.409091,3,-1,0,0,0,0,1,0,1539,195,119,2,6,10,5,2,1,0,0,0,0,1,6,10,5,2,2,4,0,4,0,2,4,4,0,0,0,1.069254,0.858592,CSGO-iMuyc-upHZB-n8Qbq-QSeZX-TXQ3A,2,0,54bbdcd43f4bf674
HeavyGod,76561198068002993,43,G2 Esports CS2,14,6,11,4,28,1.272727,90.909096,77.954544,0.636364,0.500000,4.363636,2,-1,0,0,0,0,2,0,1715,249,96,4,8,12,7,4,2,1,1,1,1,2,7,11,6,3,2,1,1,5,0,1,9,1,1,0,0,1.285291,1.046072,CSGO-dE62s-bXOib-X28Yu-zJHtx-hif4D,4,0,54bbdcd43f4bf674
huNter,76561198012872053,47,G2 Esports CS2,18,3,13,6,33,1.384615,68.181816,71.272728,0.818182,0.590909,6.500000,3,-1,0,0,0,1,1,0,1568,244,143,3,7,11,6,3,1,0,0,0,0,2,7,11,6,3,2,0,3,3,0,0,4,4,2,0,0,1.193122,1.281829,CSGO-Q5L3K-TEPAG-GMUt4-7WCo7-qk3cQ,0,0,54bbdcd43f4bf674
hyped,76561198139604328,39,BIG CS2,20,3,14,4,20,1.428571,86.363640,80.500000,0.909091,0.636364,1.000000,1,-1,0,0,0,1,0,0,1771,68,22,5,9,13,8,5,1,0,0,0,0,4,9,13,8,5,3,1,5,4,0,1,9,4,1,0,0,1.409730,1.241508,CSGO-AEuKE-znv7Q-fzP7i-8LfvB-wEL9P,3,0,54bbdcd43f4bf674
m0NESY,76561198074762801,48,G2 Esports CS2,14,7,13,3,21,1.076923,68.181816,59.227272,0.636364,0.590909,10.727273,6,-1,0,0,0,5,0,0,1303,151,236,4,8,12,7,4,1,0,0,0,0,3,8,12,7,4,1,3,3,2,0,1,3,1,3,0,0,1.015538,1.129920,CSGO-OhRMK-3V7eB-exzjC-iw5tu-kHk9Q,2,0,54bbdcd43f4bf674
tabseN,76561197961491680,48,BIG CS2,15,1,14,8,53,1.071429,68.181816,62.863636,0.681818,0.636364,5.545455,5,-1,0,0,0,5,1,0,1383,235,122,4,8,12,7,4,1,0,0,0,0,3,8,12,7,4,3,3,5,2,0,1,8,2,1,0,0,1.015069,0.998890,CSGO-n8hQL-UUpiu-uQRGK-3GxDU-teRVP,4,0,54bbdcd43f4bf674
JDC,76561198078771373,23,BIG CS2,8,6,18,5,62,0.444444,68.181816,62.227272,0.363636,0.818182,2.000000,0,-1,0,0,0,0,0,0,1369,212,44,2,6,10,5,2,1,0,0,0,0,1,6,10,5,2,0,3,2,7,0,1,6,1,0,0,0,0.663768,0.478884,CSGO-uw8YC-zzHiJ-O7PUz-iKkWT-4JDhP,0,0,54bbdcd43f4bf674
Snax,76561197982141573,32,G2 Esports CS2,10,7,14,2,20,0.714286,77.272728,63.136364,0.454545,0.636364,5.090909,0,-1,0,0,0,2,0,0,1389,166,112,2,6,10,5,2,1,0,0,0,0,1,6,10,5,2,1,3,1,1,0,0,6,2,0,0,0,0.913036,0.729905,CSGO-6B6EF-qROBa-3Kqrw-GPV6P-3hbcP,1,0,54bbdcd43f4bf674
