frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
817,685,1,76561198068002993,2,HeavyGod,Smoke Grenade,grenade,01JM60Q3AYS1AK8HJVCJNQHK6H,0,54bbdcd43f4bf674
822,688,1,76561198068002993,2,HeavyGod,Flashbang,grenade,01JM60Q3AZ9616N1EGFSX216RQ,0,54bbdcd43f4bf674
978,809,1,76561198012872053,2,huNter,Kevlar Vest,equipment,01JM60Q3B26HM211PRNQ1F09QE,0,54bbdcd43f4bf674
1043,867,1,76561197982141573,2,Snax,P250,pistol,01JM60Q3B26HM211PRNR03Q7KZ,0,54bbdcd43f4bf674
1068,891,1,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM60Q3B3TPQBDMFR4W85F1J6,0,54bbdcd43f4bf674
1081,901,1,76561197982141573,2,Snax,Flashbang,grenade,01JM60Q3B3TPQBDMFR4ZPYPZX3,0,54bbdcd43f4bf674
1201,990,1,76561198170631091,3,Krimbo,Kevlar Vest,equipment,01JM60Q3B537SEKE193ZW31HP7,0,54bbdcd43f4bf674
1443,1190,1,76561198074762801,2,m0NESY,Kevlar Vest,equipment,01JM60Q3B8GK19479VP9WGCD8R,0,54bbdcd43f4bf674
9396,7711,2,76561197961491680,3,tabseN,M4A1,rifle,01JM60Q3JAE9AYC31SS7EES5E4,0,54bbdcd43f4bf674
9426,7733,2,76561197961491680,3,tabseN,Kevlar + Helmet,equipment,01JM60Q3JAE9AYC31SSB36TSYF,0,54bbdcd43f4bf674
9459,7760,2,76561198139604328,3,hyped,Kevlar + Helmet,equipment,01JM60Q3JBWMJW9TKYYZ94KAJM,0,54bbdcd43f4bf674
9548,7815,2,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM60Q3JCSCM9H5T5MH2XFCGQ,0,54bbdcd43f4bf674
10030,8164,2,76561198139604328,3,hyped,MP9,smg,01JM60Q3JKZNQ907X4DSZWJ81V,0,54bbdcd43f4bf674
10149,8252,2,76561198078771373,3,JDC,Kevlar Vest,equipment,01JM60Q3JN3RT5NHWVAF8M4M25,0,54bbdcd43f4bf674
10180,8269,2,76561198139604328,3,hyped,Smoke Grenade,grenade,01JM60Q3JN3RT5NHWVAFZ9QV3V,0,54bbdcd43f4bf674
10183,8270,2,76561198078771373,3,JDC,M4A1,rifle,01JM60Q3JN3RT5NHWVAJB1SDSY,1,54bbdcd43f4bf674
10284,8341,2,76561198144926364,3,kyuubii,Kevlar + Helmet,equipment,01JM60Q3JQHJHVE4VHTTHC6ZC4,0,54bbdcd43f4bf674
10342,8380,2,76561198144926364,3,kyuubii,FAMAS,rifle,01JM60Q3JRR8AD62Q1EEZ8QSZP,0,54bbdcd43f4bf674
10452,8445,2,76561198144926364,3,kyuubii,Incendiary Grenade,grenade,01JM60Q3JSAQSCDZF019847C7W,0,54bbdcd43f4bf674
10517,8489,2,76561198144926364,3,kyuubii,HE Grenade,grenade,01JM60Q3JT84SC2Z482PS0RWYF,1,54bbdcd43f4bf674
10518,8490,2,76561198144926364,3,kyuubii,Flashbang,grenade,01JM60Q3JT84SC2Z482SYMGKAJ,0,54bbdcd43f4bf674
10611,8570,2,76561198170631091,3,Krimbo,Kevlar + Helmet,equipment,01JM60Q3JWW9DK4FZ9KQEZWAKR,0,54bbdcd43f4bf674
11094,8936,2,76561198170631091,3,Krimbo,M4A1,rifle,01JM60Q3JSAQSCDZF018QF83R4,0,54bbdcd43f4bf674
17391,14107,3,76561198068002993,2,HeavyGod,Kevlar + Helmet,equipment,01JM60Q3WD18BPZVN8WVG805GX,0,54bbdcd43f4bf674
17391,14107,3,76561198068002993,2,HeavyGod,AK-47,rifle,01JM60Q3WCRRXE2QPJ31YFXN6H,0,54bbdcd43f4bf674
17397,14113,3,76561198078771373,3,JDC,Kevlar + Helmet,equipment,01JM60Q3WD18BPZVN8WYN5JDVC,0,54bbdcd43f4bf674
17401,14115,3,76561197982141573,2,Snax,AK-47,rifle,01JM60Q3WD18BPZVN8X1SMP3DZ,0,54bbdcd43f4bf674
17416,14129,3,76561198068002993,2,HeavyGod,Smoke Grenade,grenade,01JM60Q3WD18BPZVN8X58EWA9N,0,54bbdcd43f4bf674
17453,14152,3,76561198012872053,2,huNter,AK-47,rifle,01JM60Q3WEWS28C0A60TMV6DS6,0,54bbdcd43f4bf674
17458,14155,3,76561198080703143,2,malbsMd,Kevlar + Helmet,equipment,01JM60Q3WEWS28C0A60ZHDF14Y,0,54bbdcd43f4bf674
17458,14155,3,76561198080703143,2,malbsMd,AK-47,rifle,01JM60Q3WEWS28C0A60XS5GP3K,0,54bbdcd43f4bf674
17494,14179,3,76561198068002993,2,HeavyGod,Molotov,grenade,01JM60Q3WF047X1TFW0JDT2KTY,0,54bbdcd43f4bf674
17520,14197,3,76561198080703143,2,malbsMd,Molotov,grenade,01JM60Q3WF047X1TFW0KD9HWGT,0,54bbdcd43f4bf674
17521,14198,3,76561198012872053,2,huNter,Kevlar + Helmet,equipment,01JM60Q3WG6CR9WQPJS5XWHBVH,0,54bbdcd43f4bf674
17539,14213,3,76561197982141573,2,Snax,Kevlar + Helmet,equipment,01JM60Q3WG6CR9WQPJS5YQ3QYK,0,54bbdcd43f4bf674
17548,14220,3,76561198012872053,2,huNter,Smoke Grenade,grenade,01JM60Q3WG6CR9WQPJS8KSYCFK,0,54bbdcd43f4bf674
17555,14226,3,76561198080703143,2,malbsMd,Smoke Grenade,grenade,01JM60Q3WG6CR9WQPJSC0Y9W6F,0,54bbdcd43f4bf674
17586,14246,3,76561198074762801,2,m0NESY,Kevlar + Helmet,equipment,01JM60Q3WHAQJYQBKYKWZAS684,0,54bbdcd43f4bf674
17586,14246,3,76561198074762801,2,m0NESY,AK-47,rifle,01JM60Q3WHAQJYQBKYKRZNH4CZ,0,54bbdcd43f4bf674
17594,14254,3,76561198012872053,2,huNter,Molotov,grenade,01JM60Q3WHAQJYQBKYKZV01PZ1,0,54bbdcd43f4bf674
17628,14271,3,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM60Q3WHAQJYQBKYM3M37PKG,0,54bbdcd43f4bf674
17650,14284,3,76561197982141573,2,Snax,Flashbang,grenade,01JM60Q3WJCFEM6WZD4WEAD93E,0,54bbdcd43f4bf674
17650,14284,3,76561198074762801,2,m0NESY,Flashbang,grenade,01JM60Q3WJCFEM6WZD4Y24ME5R,0,54bbdcd43f4bf674
17650,14284,3,76561198080703143,2,malbsMd,Flashbang,grenade,01JM60Q3WJCFEM6WZD4W3CJ76Q,0,54bbdcd43f4bf674
17654,14286,3,76561198074762801,2,m0NESY,Smoke Grenade,grenade,01JM60Q3WJCFEM6WZD51MD16B4,0,54bbdcd43f4bf674
17713,14321,3,76561198078771373,3,JDC,Defuse Kit,equipment,01JM60Q3WKCZ5H1NSPRH4N6SQP,0,54bbdcd43f4bf674
17757,14351,3,76561198078771373,3,JDC,Smoke Grenade,grenade,01JM60Q3WMN3YHHGFPF0N812P9,0,54bbdcd43f4bf674
17769,14360,3,76561198078771373,3,JDC,HE Grenade,grenade,01JM60Q3WMN3YHHGFPF21FENVT,0,54bbdcd43f4bf674
17780,14368,3,76561198078771373,3,JDC,Incendiary Grenade,grenade,01JM60Q3WN8YQ191W4X3GV38R7,0,54bbdcd43f4bf674
17862,14416,3,76561198139604328,3,hyped,AWP,sniper,01JM60Q3WPWZNNKKQFAJSKWJ8H,0,54bbdcd43f4bf674
17867,14420,3,76561198078771373,3,JDC,Flashbang,grenade,01JM60Q3WPWZNNKKQFAMEP7TA4,0,54bbdcd43f4bf674
17934,14467,3,76561198139604328,3,hyped,Smoke Grenade,grenade,01JM60Q3WQEBWJSQ1M9P7C2892,0,54bbdcd43f4bf674
18145,14598,3,76561197961491680,3,tabseN,M4A1,rifle,01JM60Q3WXNH03R097BBAHB70P,0,54bbdcd43f4bf674
18171,14615,3,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM60Q3WXNH03R097BBMEYV61,0,54bbdcd43f4bf674
18189,14625,3,76561197961491680,3,tabseN,HE Grenade,grenade,01JM60Q3WYGA9FY3F00EA9XPQ5,0,54bbdcd43f4bf674
18206,14635,3,76561197961491680,3,tabseN,Incendiary Grenade,grenade,01JM60Q3WYGA9FY3F00FD9X30C,0,54bbdcd43f4bf674
18260,14683,3,76561198144926364,3,kyuubii,Incendiary Grenade,grenade,01JM60Q3WZGK41H3MC22DCCG7J,0,54bbdcd43f4bf674
18272,14693,3,76561198144926364,3,kyuubii,HE Grenade,grenade,01JM60Q3WZGK41H3MC24BJH0A6,0,54bbdcd43f4bf674
18273,14694,3,76561198144926364,3,kyuubii,Flashbang,grenade,01JM60Q3WZGK41H3MC2B4EJH15,0,54bbdcd43f4bf674
18321,14725,3,76561197961491680,3,tabseN,Flashbang,grenade,01JM60Q3WZGK41H3MC2DWV6WMJ,0,54bbdcd43f4bf674
18937,15166,3,76561198144926364,3,kyuubii,Defuse Kit,equipment,01JM60Q3X87CDDZBMHPZDKV0P0,0,54bbdcd43f4bf674
18987,15200,3,76561198170631091,3,Krimbo,Kevlar Vest,equipment,01JM60Q3X9F0HVTG5XYX8N4YQR,0,54bbdcd43f4bf674
19063,15250,3,76561198170631091,3,Krimbo,Smoke Grenade,grenade,01JM60Q3XACCMDRSFDA66BBW2N,0,54bbdcd43f4bf674
19106,15277,3,76561198170631091,3,Krimbo,Incendiary Grenade,grenade,01JM60Q3XACCMDRSFDA7YQF9FW,0,54bbdcd43f4bf674
19139,15301,3,76561198170631091,3,Krimbo,HE Grenade,grenade,01JM60Q3XBC1PS8NJM1BDVMH5J,0,54bbdcd43f4bf674
19164,15317,3,76561198170631091,3,Krimbo,Flashbang,grenade,01JM60Q3XBC1PS8NJM1CJWG70J,0,54bbdcd43f4bf674
29482,23988,4,76561198139604328,3,hyped,Kevlar Vest,equipment,01JM60Q4ARHVFMXQC3A9DNV265,0,54bbdcd43f4bf674
29552,24038,4,76561198068002993,2,HeavyGod,AK-47,rifle,01JM60Q4ATFZZAKM9RCXWVN0DG,0,54bbdcd43f4bf674
29569,24051,4,76561198068002993,2,HeavyGod,Smoke Grenade,grenade,01JM60Q3AF4EJE8Z43BJVBAF06,0,54bbdcd43f4bf674
29576,24058,4,76561198068002993,2,HeavyGod,Molotov,grenade,01JM60Q3AF4EJE8Z43BFAH33K8,0,54bbdcd43f4bf674
29578,24060,4,76561198068002993,2,HeavyGod,Flashbang,grenade,01JM60Q3AF4EJE8Z43BDJ9HQM8,0,54bbdcd43f4bf674
29703,24126,4,76561198074762801,2,m0NESY,Smoke Grenade,grenade,01JM60Q3AF4EJE8Z43B819NFM9,0,54bbdcd43f4bf674
29708,24129,4,76561198080703143,2,malbsMd,HE Grenade,grenade,01JM60Q3AF4EJE8Z43B7N51ZJS,0,54bbdcd43f4bf674
29708,24129,4,76561198074762801,2,m0NESY,Molotov,grenade,01JM60Q3AF4EJE8Z43B62G16PP,0,54bbdcd43f4bf674
29740,24153,4,76561198080703143,2,malbsMd,Molotov,grenade,01JM60Q3AF4EJE8Z43B38MXV45,0,54bbdcd43f4bf674
29766,24165,4,76561198080703143,2,malbsMd,Smoke Grenade,grenade,01JM60Q3AF4EJE8Z43B18RXPAB,0,54bbdcd43f4bf674
29786,24175,4,76561198080703143,2,malbsMd,Flashbang,grenade,01JM60Q3AF4EJE8Z43AXFSXM5B,0,54bbdcd43f4bf674
29858,24231,4,76561198012872053,2,huNter,Kevlar + Helmet,equipment,01JM60Q4AZJZ6WFVEZ3STC1D4W,0,54bbdcd43f4bf674
29890,24257,4,76561198012872053,2,huNter,Smoke Grenade,grenade,01JM60Q3AF4EJE8Z43ATJSS0YY,0,54bbdcd43f4bf674
29915,24278,4,76561198012872053,2,huNter,Molotov,grenade,01JM60Q3AF4EJE8Z43ATJ7YMT1,0,54bbdcd43f4bf674
29951,24300,4,76561198012872053,2,huNter,Flashbang,grenade,01JM60Q3AG5KX2CCD32Z8EZZZX,0,54bbdcd43f4bf674
29985,24326,4,76561198080703143,2,malbsMd,AK-47,rifle,01JM60Q3A9GH5D6WE7JZ7QH07K,0,54bbdcd43f4bf674
29987,24328,4,76561198012872053,2,huNter,HE Grenade,grenade,01JM60Q3AAHSXJJ53QW6AX66Z4,0,54bbdcd43f4bf674
30170,24442,4,76561197961491680,3,tabseN,Five-SeveN,pistol,01JM60Q4B4RK026CCRKHKK4P19,1,54bbdcd43f4bf674
30261,24514,4,76561198078771373,3,JDC,Kevlar Vest,equipment,01JM60Q4B5M1Y5SZT13VA8F25N,0,54bbdcd43f4bf674
30270,24523,4,76561197982141573,2,Snax,Kevlar + Helmet,equipment,01JM60Q4B5M1Y5SZT13XTAV76E,0,54bbdcd43f4bf674
30320,24555,4,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM60Q4B6C5VBKD6HF5883CWP,0,54bbdcd43f4bf674
30329,24559,4,76561198170631091,3,Krimbo,FAMAS,rifle,01JM60Q4B6C5VBKD6HFE1WJPZ7,0,54bbdcd43f4bf674
30336,24566,4,76561197982141573,2,Snax,HE Grenade,grenade,01JM60Q4B6C5VBKD6HFH74RTQ8,0,54bbdcd43f4bf674
30365,24588,4,76561198078771373,3,JDC,MP9,smg,01JM60Q4B7ESSD67JKMFMC3VPX,0,54bbdcd43f4bf674
30372,24593,4,76561197982141573,2,Snax,Flashbang,grenade,01JM60Q4B7ESSD67JKMFZ9B29N,0,54bbdcd43f4bf674
30386,24603,4,76561198170631091,3,Krimbo,Kevlar Vest,equipment,01JM60Q4B7ESSD67JKMK87V8RM,0,54bbdcd43f4bf674
30390,24607,4,76561198078771373,3,JDC,Smoke Grenade,grenade,01JM60Q4B7ESSD67JKMQ6SEW5S,0,54bbdcd43f4bf674
30402,24615,4,76561197961491680,3,tabseN,Kevlar + Helmet,equipment,01JM60Q4B7ESSD67JKMS0PWZH0,0,54bbdcd43f4bf674
30432,24639,4,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM60Q4B8MFFENX45V2ZQ1YS1,0,54bbdcd43f4bf674
30442,24647,4,76561198170631091,3,Krimbo,Smoke Grenade,grenade,01JM60Q4B8MFFENX45V7HCK6HQ,0,54bbdcd43f4bf674
30444,24649,4,76561197961491680,3,tabseN,HE Grenade,grenade,01JM60Q4B8MFFENX45VBFA5R5G,0,54bbdcd43f4bf674
30470,24663,4,76561197961491680,3,tabseN,Flashbang,grenade,01JM60Q4B8MFFENX45VFHTCC06,0,54bbdcd43f4bf674
30507,24686,4,76561197982141573,2,Snax,Molotov,grenade,01JM60Q4B9VQAXM7MHWTVA7XZE,0,54bbdcd43f4bf674
30562,24721,4,76561198144926364,3,kyuubii,Kevlar Vest,equipment,01JM60Q4BA8CMG9BQZ7FTPBX72,0,54bbdcd43f4bf674
30575,24730,4,76561197961491680,3,tabseN,Five-SeveN,pistol,01JM60Q4B7ESSD67JKMGNNBD2G,0,54bbdcd43f4bf674
30591,24739,4,76561198078771373,3,JDC,Flashbang,grenade,01JM60Q4BA8CMG9BQZ7JKA8RME,0,54bbdcd43f4bf674
30602,24742,4,76561198144926364,3,kyuubii,M4A1,rifle,01JM60Q3K2H1VC25YH23QJB27G,0,54bbdcd43f4bf674
30689,24796,4,76561198139604328,3,hyped,HE Grenade,grenade,01JM60Q4BCFMT8V62G1J03KQH1,0,54bbdcd43f4bf674
41200,33255,5,76561198074762801,2,m0NESY,Smoke Grenade,grenade,01JM60Q4T6HQWXWXYQ4KPA1TH1,0,54bbdcd43f4bf674
41205,33258,5,76561198074762801,2,m0NESY,Molotov,grenade,01JM60Q4T6HQWXWXYQ4Q9RRD0R,0,54bbdcd43f4bf674
41234,33281,5,76561198080703143,2,malbsMd,Molotov,grenade,01JM60Q4BCFMT8V62G1K26YY9E,0,54bbdcd43f4bf674
41256,33293,5,76561198080703143,2,malbsMd,HE Grenade,grenade,01JM60Q4T7MGWWD5QKZMZA0SEM,1,54bbdcd43f4bf674
41265,33300,5,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM60Q4T7MGWWD5QKZN25VCJ4,0,54bbdcd43f4bf674
41269,33304,5,76561198080703143,2,malbsMd,Smoke Grenade,grenade,01JM60Q4T7MGWWD5QKZNXJX3XW,0,54bbdcd43f4bf674
41277,33311,5,76561197982141573,2,Snax,HE Grenade,grenade,01JM60Q4T8706ZWMNSA7WXQZ97,0,54bbdcd43f4bf674
41287,33321,5,76561197982141573,2,Snax,Molotov,grenade,01JM60Q4T8706ZWMNSABKQ1WY5,0,54bbdcd43f4bf674
