frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
806,670,1,76561198014259134,3,FL4MUS,Kevlar Vest,equipment,01JM60R54CTCX54JVTJS0C6JJK,0,cca2a16ad0db047a
809,671,1,76561198410085211,2,nicx,Smoke Grenade,grenade,01JM60R54CTCX54JVTJWSAAX01,0,cca2a16ad0db047a
823,682,1,76561198410085211,2,nicx,Molotov,grenade,01JM60R54DT6MHR8Y6GDR65FXM,0,cca2a16ad0db047a
874,721,1,76561198171719689,2,cxzi,Kevlar Vest,equipment,01JM60R54EG23A7K0MBS7YRHGR,0,cca2a16ad0db047a
12465,10148,2,76561198014259134,3,FL4MUS,M4A1,rifle,01JM60R5GWB600XRST3D9V54DA,0,cca2a16ad0db047a
12492,10162,2,76561198014259134,3,FL4MUS,Kevlar + Helmet,equipment,01JM60R5GX5EDTRWZ0FZJ6S7PN,0,cca2a16ad0db047a
12527,10180,2,76561198014259134,3,FL4MUS,Smoke Grenade,grenade,01JM60R5GX5EDTRWZ0G34AYE5J,0,cca2a16ad0db047a
12940,10438,2,76561198055109028,3,ICY,MP9,smg,01JM60R5H7K26NBAR96JDENDFT,0,cca2a16ad0db047a
12979,10459,2,76561198055109028,3,ICY,Kevlar + Helmet,equipment,01JM60R5H8SR63E8X982D0M3SS,0,cca2a16ad0db047a
13018,10483,2,76561198055109028,3,ICY,Smoke Grenade,grenade,01JM60R5H91394DRTYZ7A65KNR,0,cca2a16ad0db047a
13035,10494,2,76561198055109028,3,ICY,HE Grenade,grenade,01JM60R5H91394DRTYZA2HYB1T,0,cca2a16ad0db047a
13054,10505,2,76561198080114546,3,fame,M4A1,rifle,01JM60R5HA4DB3E3WCR179FGZY,0,cca2a16ad0db047a
13054,10505,2,76561198055109028,3,ICY,Flashbang,grenade,01JM60R5HA4DB3E3WCQYMET795,0,cca2a16ad0db047a
13086,10526,2,76561198044045107,3,electroNic,MP9,smg,01JM60R5HA4DB3E3WCR3SP8K4K,0,cca2a16ad0db047a
13118,10546,2,76561198044045107,3,electroNic,Kevlar + Helmet,equipment,01JM60R5HBA2MFTT9EHAPVJWAC,0,cca2a16ad0db047a
13130,10553,2,76561197995817501,3,FL1T,Kevlar + Helmet,equipment,01JM60R5HBA2MFTT9EHBJCSZN8,0,cca2a16ad0db047a
13176,10587,2,76561198044045107,3,electroNic,Smoke Grenade,grenade,01JM60R5HCPMN9HT6W16T312YX,0,cca2a16ad0db047a
13190,10597,2,76561198044045107,3,electroNic,HE Grenade,grenade,01JM60R5HDF7GYET4RCFG5RH95,0,cca2a16ad0db047a
13202,10605,2,76561198044045107,3,electroNic,Incendiary Grenade,grenade,01JM60R5HDF7GYET4RCJ2NW2E7,0,cca2a16ad0db047a
