frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
1824,1520,1,woxic,76561198083485506,2,Eternal-Fire,woxic,76561198083485506,2,Eternal-Fire,,0,0,,World,world,0,0,0,0,0,0,-1076.000000,-843.000000,116.789467,0,0,-1076.000000,-843.000000,116.789467,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,8a11859cf290b188
3782,3186,1,Wicadia,76561198812513923,2,Eternal-Fire,Wicadia,76561198812513923,2,Eternal-Fire,,0,0,,World,world,0,0,0,0,0,0,-760.662964,-836.174011,117.071770,0,0,-760.662964,-836.174011,117.071770,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,8a11859cf290b188
12337,10178,1,arT,76561198043769572,3,Fluxo CS2,Wicadia,76561198812513923,2,Eternal-Fire,,0,0,,USP-S,pistol,1,0,0,0,0,0,-2081.695312,2966.042725,34.269661,0,0,-1983.858887,1405.739624,28.838062,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,39.776627,8a11859cf290b188
12965,10711,1,nicks,76561198254423843,3,Fluxo CS2,XANTARES,76561198044118796,2,Eternal-Fire,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-1294.549072,1074.289673,35.089691,0,0,-2011.497681,1441.304321,32.320515,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.434557,8a11859cf290b188
12991,10731,1,history,76561198885430317,3,Fluxo CS2,jottAAA,76561198410750263,2,Eternal-Fire,piriajr,76561198396338183,3,Fluxo CS2,USP-S,pistol,1,0,0,0,0,0,-1552.044067,2687.448242,6.244448,0,0,-1665.342773,1686.812744,2.390990,0,0,0,-1187.448120,2520.153320,47.340023,0,1,0,0,25.488438,8a11859cf290b188
13069,10798,1,woxic,76561198083485506,2,Eternal-Fire,history,76561198885430317,3,Fluxo CS2,MAJ3R,76561197967432889,2,Eternal-Fire,Glock-18,pistol,1,0,1,0,0,0,-1710.972534,2084.200684,-6.397522,0,0,-1657.269287,2617.241943,5.308806,0,0,0,-1965.323853,1723.757568,32.306656,1,0,0,0,13.677359,8a11859cf290b188
13142,10868,1,MAJ3R,76561197967432889,2,Eternal-Fire,arT,76561198043769572,3,Fluxo CS2,woxic,76561198083485506,2,Eternal-Fire,Glock-18,pistol,1,0,0,0,0,0,-1948.348633,1724.959595,33.204262,0,0,-2055.925049,2929.319336,33.555923,0,0,0,-1687.476562,2225.356689,16.781250,0,1,0,0,30.705219,8a11859cf290b188
13225,10936,1,nicks,76561198254423843,3,Fluxo CS2,MAJ3R,76561197967432889,2,Eternal-Fire,arT,76561198043769572,3,Fluxo CS2,Dual Berettas,pistol,1,0,0,0,0,0,-1945.105347,1118.003418,33.348133,0,0,-1979.126099,1797.096558,33.031250,0,0,0,-2055.925049,2929.319336,33.555923,1,0,0,0,17.274466,8a11859cf290b188
13524,11206,1,piriajr,76561198396338183,3,Fluxo CS2,woxic,76561198083485506,2,Eternal-Fire,arT,76561198043769572,3,Fluxo CS2,USP-S,pistol,1,0,0,0,0,0,-1345.999390,2675.755127,130.031250,0,0,-1803.457642,2564.210693,32.330872,0,0,0,-2055.925049,2929.319336,33.555923,0,0,0,0,12.132198,8a11859cf290b188
18392,15179,2,piriajr,76561198396338183,3,Fluxo CS2,Wicadia,76561198812513923,2,Eternal-Fire,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1150.918579,2249.719238,1.676755,0,0,-1925.368042,2006.832642,-1.664246,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,20.619129,8a11859cf290b188
18664,15412,2,arT,76561198043769572,3,Fluxo CS2,woxic,76561198083485506,2,Eternal-Fire,,0,0,,MP9,smg,1,0,0,0,0,0,-1867.301270,2535.417969,32.065201,0,1,-1974.165283,1726.002319,32.004753,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.737564,8a11859cf290b188
18795,15522,2,arT,76561198043769572,3,Fluxo CS2,MAJ3R,76561197967432889,2,Eternal-Fire,jottAAA,76561198410750263,2,Eternal-Fire,MP9,smg,0,0,0,0,0,0,-1810.657715,2557.146973,32.538986,0,0,-1456.797607,2015.864136,3.085714,0,0,0,-1428.724731,1917.278198,5.511089,0,0,0,0,16.469393,8a11859cf290b188
18826,15549,2,kye,76561199096031141,3,Fluxo CS2,XANTARES,76561198044118796,2,Eternal-Fire,,0,0,,M4A1,rifle,1,0,0,0,0,0,384.214447,2289.886475,-118.968750,0,0,-516.254211,1910.040039,-120.815796,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.825562,8a11859cf290b188
18864,15578,2,piriajr,76561198396338183,3,Fluxo CS2,jottAAA,76561198410750263,2,Eternal-Fire,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1366.902588,2682.604980,129.472733,0,0,-1498.986328,1838.100586,0.096340,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.844889,8a11859cf290b188
24575,20094,3,piriajr,76561198396338183,3,Fluxo CS2,XANTARES,76561198044118796,2,Eternal-Fire,kye,76561199096031141,3,Fluxo CS2,M4A1,rifle,0,1,0,0,0,0,-406.982788,2386.117188,-97.937073,0,0,-435.834595,1477.309692,-126.253540,0,0,0,468.442017,2086.460449,151.843750,0,0,0,0,23.096237,8a11859cf290b188
25145,20578,3,piriajr,76561198396338183,3,Fluxo CS2,jottAAA,76561198410750263,2,Eternal-Fire,,0,0,,M4A1,rifle,1,0,0,0,0,0,-550.613586,2413.869385,-94.874634,0,0,-195.781128,310.723846,2.160105,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,54.235645,8a11859cf290b188
26130,21449,3,piriajr,76561198396338183,3,Fluxo CS2,woxic,76561198083485506,2,Eternal-Fire,,0,0,,M4A1,rifle,1,0,0,0,0,0,-561.250977,2415.636719,-94.617004,0,0,-383.052368,1325.571411,-124.406372,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.184301,8a11859cf290b188
