number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,85,154,1779,2317,6110,7342,6558,7888,M80 CS2,FaZe.clan,1,0,3,2,4000,4000,4100,4850,3500,3350,pistol,pistol,92016,8,M80 CS2,3,0,981db6a7a27771c7
2,6558,7888,7838,9735,17036,20328,17484,20878,M80 CS2,FaZe.clan,1,1,3,2,18250,10750,20500,1500,17600,700,semi,eco,159249,1,FaZe.clan,2,0,981db6a7a27771c7
3,17484,20878,18764,22814,26749,32466,27197,32988,M80 CS2,FaZe.clan,1,2,3,2,9150,29350,13800,24750,8750,19100,force-buy,full,148342,1,FaZe.clan,2,0,981db6a7a27771c7
4,27197,32988,28477,34788,34283,41620,34731,42161,M80 CS2,FaZe.clan,1,3,3,2,9900,28350,8950,24850,200,5700,semi,full,110501,9,FaZe.clan,2,0,981db6a7a27771c7
5,34731,42161,36011,44008,42838,52301,43286,52839,M80 CS2,FaZe.clan,2,3,3,2,22600,40700,22400,24800,21400,12100,force-buy,full,129806,8,M80 CS2,3,0,981db6a7a27771c7
6,43286,52839,44566,54659,47555,58398,48003,58945,M80 CS2,FaZe.clan,3,3,3,2,18950,35900,24700,27450,9950,26650,full,full,71163,8,M80 CS2,3,0,981db6a7a27771c7
7,48003,58945,49283,60821,55662,68482,56110,69025,M80 CS2,FaZe.clan,3,4,3,2,26750,19350,30250,10100,15000,9900,full,semi,122087,1,FaZe.clan,2,0,981db6a7a27771c7
8,56110,69025,57390,70848,63260,77933,63707,78475,M80 CS2,FaZe.clan,4,4,3,2,18850,27850,29000,25600,12050,14950,full,full,114035,8,M80 CS2,3,0,981db6a7a27771c7
9,63707,78475,64987,80332,73169,90105,73617,90648,M80 CS2,FaZe.clan,5,4,3,2,23950,20200,29750,20100,9000,19200,full,full,148880,7,M80 CS2,3,0,981db6a7a27771c7
10,73617,90648,74897,92409,81278,99954,81726,100477,M80 CS2,FaZe.clan,6,4,3,2,34050,14400,30650,4700,14400,4100,full,eco,119130,8,M80 CS2,3,0,981db6a7a27771c7
11,81726,100477,83006,102383,88553,108944,89001,109462,M80 CS2,FaZe.clan,6,5,3,2,37400,22900,31350,23750,15200,22550,full,full,108389,1,FaZe.clan,2,0,981db6a7a27771c7
12,89001,109462,90281,111366,97060,119649,97604,120309,M80 CS2,FaZe.clan,7,5,3,2,29900,19350,30550,22950,25650,18650,full,full,130408,8,M80 CS2,3,0,981db6a7a27771c7
13,97604,120309,111062,137416,117340,144562,117788,145102,M80 CS2,FaZe.clan,7,6,2,3,4000,4000,4750,4000,3350,3400,pistol,pistol,310473,7,FaZe.clan,3,0,981db6a7a27771c7
14,117788,145102,119068,146985,127674,157132,128122,157678,M80 CS2,FaZe.clan,8,6,2,3,14350,19900,14000,22150,13400,19650,force-buy,semi,154001,1,M80 CS2,2,0,981db6a7a27771c7
15,128122,157678,129402,159572,135888,167281,136336,167817,M80 CS2,FaZe.clan,8,7,2,3,20250,7550,23600,8850,10550,4450,full,semi,122932,8,FaZe.clan,3,0,981db6a7a27771c7
16,136336,167817,137616,169684,146303,179857,146751,180382,M80 CS2,FaZe.clan,9,7,2,3,17000,20850,17750,28500,16650,15550,force-buy,full,154129,1,M80 CS2,2,0,981db6a7a27771c7
17,146751,180382,148031,182143,154988,190397,155436,190919,M80 CS2,FaZe.clan,10,7,2,3,19050,12900,24150,21350,11750,11950,full,force-buy,128206,9,M80 CS2,2,0,981db6a7a27771c7
18,155436,190919,156716,192890,162102,199294,162550,199843,M80 CS2,FaZe.clan,11,7,2,3,25650,12250,23550,1800,18250,1000,full,eco,107211,9,M80 CS2,2,0,981db6a7a27771c7
19,162550,199843,163830,201664,172535,212000,172983,212525,M80 CS2,FaZe.clan,12,7,2,3,25750,23550,25300,24650,8000,22850,full,full,155627,1,M80 CS2,2,0,981db6a7a27771c7
20,175532,216038,176812,217775,183203,225390,183203,225390,M80 CS2,FaZe.clan,13,7,2,3,30400,19000,25400,19450,24400,15000,full,force-buy,119718,9,M80 CS2,2,0,981db6a7a27771c7
