frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
646,549,1,76561198052888143,2,vexite,Kevlar Vest,equipment,01JM60WAQS1733AW19S85SBKAT,0,60e3db804b37fdf9
655,557,1,76561198061801241,2,dexter,Smoke Grenade,grenade,01JM60WAQS1733AW19SC5H47C0,0,60e3db804b37fdf9
706,595,1,76561198061801241,2,dexter,Flashbang,grenade,01JM60WAQS1733AW19SD8JEK2X,0,60e3db804b37fdf9
707,596,1,76561198098463229,2,regali,Kevlar Vest,equipment,01JM60WAQT47EHPDFAWVQ01F2Z,0,60e3db804b37fdf9
759,636,1,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM60WAQT47EHPDFAWXVSJP5D,0,60e3db804b37fdf9
899,752,1,76561198052888143,2,vexite,Flashbang,grenade,01JM60WAQVPXFFTARXX2RVYBZQ,0,60e3db804b37fdf9
1234,1035,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM60WAR2HPKQA4XYYTGY9R07,0,60e3db804b37fdf9
1252,1050,1,76561198098463229,2,regali,Flashbang,grenade,01JM60WAR2HPKQA4XYYYE554Q7,0,60e3db804b37fdf9
1365,1138,1,76561197987212623,2,INS,Kevlar Vest,equipment,01JM60WAR4DT6ZR01B9ZY44VAA,0,60e3db804b37fdf9
12213,10035,2,76561199063238565,3,magixx,Kevlar + Helmet,equipment,01JM60WB2MFDC3Y80NNRCMTY28,0,60e3db804b37fdf9
12217,10039,2,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM60WB2MFDC3Y80NNVDVZ678,0,60e3db804b37fdf9
12231,10046,2,76561198995880877,3,zont1x,MP9,smg,01JM60WB2MFDC3Y80NNYJJYKRJ,0,60e3db804b37fdf9
12235,10048,2,76561198386265483,3,donk,M4A1,rifle,01JM60WB2MFDC3Y80NP3E8AJ94,0,60e3db804b37fdf9
12239,10050,2,76561199063238565,3,magixx,MP9,smg,01JM60WB2NHR6WNZK78FNW3EQR,0,60e3db804b37fdf9
12252,10059,2,76561198995880877,3,zont1x,Kevlar + Helmet,equipment,01JM60WB2NHR6WNZK78KKS7R9K,0,60e3db804b37fdf9
12286,10084,2,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM60WB2NHR6WNZK78MRYVVR5,0,60e3db804b37fdf9
12303,10095,2,76561199063238565,3,magixx,HE Grenade,grenade,01JM60WARAQTNP46EM9SWTXM5X,0,60e3db804b37fdf9
12320,10104,2,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM60WB2P8WXW0SPYEAAES1N6,0,60e3db804b37fdf9
12320,10104,2,76561198386265483,3,donk,Incendiary Grenade,grenade,01JM60WB2P8WXW0SPYE9E4EZSG,0,60e3db804b37fdf9
12323,10105,2,76561198995880877,3,zont1x,HE Grenade,grenade,01JM60WB2QRY2YMNC8YJ1G5PNS,0,60e3db804b37fdf9
12326,10108,2,76561198386265483,3,donk,Smoke Grenade,grenade,01JM60WB2QRY2YMNC8YKTYBK01,0,60e3db804b37fdf9
12332,10114,2,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM60WB2QRY2YMNC8YPYEPW85,0,60e3db804b37fdf9
12342,10124,2,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM60WARF1PGMWYPN3002STGP,0,60e3db804b37fdf9
12350,10128,2,76561199063238565,3,magixx,Flashbang,grenade,01JM60WB2QRY2YMNC8YQVNXP2H,0,60e3db804b37fdf9
12450,10194,2,76561198995880877,3,zont1x,Flashbang,grenade,01JM60WB2SE2CVT0DBCCX349JS,0,60e3db804b37fdf9
