frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
791,653,1,76561198167785069,3,s1ren,Kevlar Vest,equipment,01JM60WTYHCCY42QXCXSQYR5RG,0,87783cacb1099e3b
970,803,1,76561198372023214,3,Magnojez,Kevlar Vest,equipment,01JM60WTYKEM2GS9DH9HE5R737,0,87783cacb1099e3b
1063,871,1,76561198146207066,3,Boombl4,Smoke Grenade,grenade,01JM60WTYM88D5QR1F42CR8WWZ,0,87783cacb1099e3b
1216,990,1,76561198059614402,3,zorte,Kevlar Vest,equipment,01JM60WTYP7P3Q77D2ZA4N45VV,0,87783cacb1099e3b
1466,1213,1,76561198146207066,3,Boombl4,HE Grenade,grenade,01JM60WTYSQZ91FNAYFZ127K55,0,87783cacb1099e3b
1486,1230,1,76561198146207066,3,Boombl4,Flashbang,grenade,01JM60WTYSQZ91FNAYG292XSQ6,0,87783cacb1099e3b
18526,15087,2,76561198118646644,2,skullz,Kevlar + Helmet,equipment,01JM60WVE35H7TW5SY9D10WK6J,0,87783cacb1099e3b
18589,15124,2,76561198058500492,2,KSCERATO,Kevlar + Helmet,equipment,01JM60WVE42701RK2EK7G4XN86,0,87783cacb1099e3b
18717,15205,2,76561198058500492,2,KSCERATO,AK-47,rifle,01JM60WTY7VT0X6K2FZME3XXY8,0,87783cacb1099e3b
18797,15244,2,76561198058500492,2,KSCERATO,Smoke Grenade,grenade,01JM60WTY7VT0X6K2FZ92YQZRM,0,87783cacb1099e3b
18832,15260,2,76561198058500492,2,KSCERATO,Flashbang,grenade,01JM60WTY8JV1XHD0FWKZ0SYHW,0,87783cacb1099e3b
18999,15359,2,76561198164970560,2,yuurih,Kevlar + Helmet,equipment,01JM60WVED7AZHRADTWJFMKRV9,0,87783cacb1099e3b
19301,15565,2,76561197960690195,2,FalleN,Galil AR,rifle,01JM60WVEJM7SKMF9JBSHG4J7T,1,87783cacb1099e3b
19323,15578,2,76561198067763828,2,chelo,MAC-10,smg,01JM60WVEJM7SKMF9JBYMJFFF0,0,87783cacb1099e3b
19418,15642,2,76561198067763828,2,chelo,Kevlar + Helmet,equipment,01JM60WVEMTJ84XEA6VFDFPETX,0,87783cacb1099e3b
19429,15650,2,76561198067763828,2,chelo,Smoke Grenade,grenade,01JM60WVEMTJ84XEA6VHBRRAD7,0,87783cacb1099e3b
19429,15650,2,76561198067763828,2,chelo,Molotov,grenade,01JM60WTY8JV1XHD0FW55WQ1QP,0,87783cacb1099e3b
19446,15662,2,76561198067763828,2,chelo,Flashbang,grenade,01JM60WVEMTJ84XEA6VKXSMVXD,0,87783cacb1099e3b
19447,15663,2,76561198067763828,2,chelo,HE Grenade,grenade,01JM60WTY7VT0X6K2FZJ63BNXB,0,87783cacb1099e3b
19486,15687,2,76561197960690195,2,FalleN,MAC-10,smg,01JM60WVENB3KA86DPP30EAVYW,0,87783cacb1099e3b
19504,15696,2,76561198118646644,2,skullz,Galil AR,rifle,01JM60WVENB3KA86DPP3REVNXZ,0,87783cacb1099e3b
19508,15700,2,76561197960690195,2,FalleN,Kevlar + Helmet,equipment,01JM60WVENB3KA86DPP4JR54PD,0,87783cacb1099e3b
19523,15711,2,76561198118646644,2,skullz,Smoke Grenade,grenade,01JM60WVEPWRQ239E77A6T38NH,0,87783cacb1099e3b
19536,15721,2,76561197960690195,2,FalleN,Flashbang,grenade,01JM60WVEPWRQ239E77D0M12G2,0,87783cacb1099e3b
19563,15737,2,76561197960690195,2,FalleN,Smoke Grenade,grenade,01JM60WVEPWRQ239E77D3AKXMZ,0,87783cacb1099e3b
19573,15744,2,76561198118646644,2,skullz,HE Grenade,grenade,01JM60WVEQ8W70YHPS2JSE13JC,0,87783cacb1099e3b
19580,15748,2,76561197960690195,2,FalleN,Molotov,grenade,01JM60WVEQ8W70YHPS2MKM91V3,0,87783cacb1099e3b
19613,15767,2,76561198372023214,3,Magnojez,Desert Eagle,pistol,01JM60WVEQ8W70YHPS2NS258VS,0,87783cacb1099e3b
19742,15842,2,76561198164970560,2,yuurih,AK-47,rifle,01JM60WVET802DKD6RKHEB6N5H,0,87783cacb1099e3b
19762,15858,2,76561198164970560,2,yuurih,Smoke Grenade,grenade,01JM60WVET802DKD6RKNC3HZDC,0,87783cacb1099e3b
19820,15906,2,76561198058500492,2,KSCERATO,HE Grenade,grenade,01JM60WVEVQM3KV5TWHDR1BA21,0,87783cacb1099e3b
19837,15917,2,76561198164970560,2,yuurih,Flashbang,grenade,01JM60WVEVQM3KV5TWHH796NTX,0,87783cacb1099e3b
19930,15971,2,76561198146207066,3,Boombl4,HE Grenade,grenade,01JM60WVEXJ8P8951JDRYPMYG8,0,87783cacb1099e3b
29144,23746,3,76561198372023214,3,Magnojez,Kevlar Vest,equipment,01JM60WVV7S1EKBP20DDD8XN56,0,87783cacb1099e3b
29148,23749,3,76561198118646644,2,skullz,Kevlar + Helmet,equipment,01JM60WVV7S1EKBP20DE9GMM0R,0,87783cacb1099e3b
29151,23752,3,76561198045433304,3,Ax1Le,Kevlar Vest,equipment,01JM60WVV7S1EKBP20DG2BZN7E,0,87783cacb1099e3b
