frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
2553,2285,1,Magnojez,76561198372023214,3,Team A,FalleN,76561197960690195,2,Team B,s1ren,76561198167785069,3,Team A,Knife,melee,0,0,0,0,0,0,-4.588989,243.690063,8.031250,0,0,-38.810303,196.279755,2.153801,0,0,0,-41.336731,236.167801,3.409211,0,0,0,0,1.408381,569a1128a75ef5ff
2623,2348,1,Ax1Le,76561198045433304,3,Team A,chelo,76561198067763828,2,Team B,,0,0,,Knife,melee,0,0,0,0,0,0,-105.038818,181.474747,0.177918,0,0,-130.510254,122.497147,43.156250,1,0,0,0.000000,0.000000,0.000000,0,1,0,0,1.460101,569a1128a75ef5ff
2639,2363,1,skullz,76561198118646644,2,Team B,Boombl4,76561198146207066,3,Team A,,0,0,,Knife,melee,0,0,0,0,0,0,-199.968018,248.936310,0.387597,0,0,-197.040588,280.944305,0.443466,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,0.834811,569a1128a75ef5ff
2641,2365,1,Magnojez,76561198372023214,3,Team A,yuurih,76561198164970560,2,Team B,zorte,76561198059614402,3,Team A,Knife,melee,0,0,0,0,0,0,-73.057922,112.384865,0.219155,0,0,-93.332886,68.236839,0.193226,0,0,0,-132.435486,244.569656,0.187120,0,0,0,0,1.276968,569a1128a75ef5ff
2697,2418,1,Ax1Le,76561198045433304,3,Team A,KSCERATO,76561198058500492,2,Team B,zorte,76561198059614402,3,Team A,Knife,melee,0,0,0,0,0,0,-146.223755,263.099365,0.168339,0,0,-172.759033,200.857666,0.010833,0,0,0,-69.028320,322.525513,0.267594,0,1,0,0,1.534296,569a1128a75ef5ff
2713,2433,1,skullz,76561198118646644,2,Team B,Ax1Le,76561198045433304,3,Team A,chelo,76561198067763828,2,Team B,Knife,melee,0,0,0,0,0,0,-178.518799,298.268219,0.268417,0,0,-145.107117,302.341309,0.268417,0,0,0,-135.510742,62.351845,0.197315,1,1,0,0,0.790816,569a1128a75ef5ff
2738,2453,1,zorte,76561198059614402,3,Team A,skullz,76561198118646644,2,Team B,Boombl4,76561198146207066,3,Team A,Knife,melee,0,0,0,0,0,0,-153.709778,327.057648,0.267946,0,0,-186.810242,280.699249,0.253170,0,0,0,-198.580872,280.944794,0.475183,1,0,0,0,1.176925,569a1128a75ef5ff
18840,16091,3,Magnojez,76561198372023214,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,,0,0,,USP-S,pistol,1,0,0,0,0,0,935.747559,2164.773682,-39.968750,0,0,1762.058105,1276.862793,-145.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,30.974548,569a1128a75ef5ff
19614,16770,3,Boombl4,76561198146207066,2,BetBoom Team,skullz,76561198118646644,3,FURIA Esports_1,,0,0,,Glock-18,pistol,1,0,0,0,0,0,818.676758,1282.563843,-87.968750,0,0,1692.121338,1852.045166,-82.808594,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,26.471729,569a1128a75ef5ff
19636,16791,3,s1ren,76561198167785069,2,BetBoom Team,FalleN,76561197960690195,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,Glock-18,pistol,1,0,0,0,0,0,775.108765,1582.603394,-87.968750,0,0,1397.505737,1836.066162,-149.968750,0,0,0,856.562317,1516.564697,-87.968750,0,0,0,0,17.221628,569a1128a75ef5ff
19658,16812,3,yuurih,76561198164970560,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,,0,0,,USP-S,pistol,1,0,0,0,0,0,1445.878174,2055.335205,-191.968750,0,0,852.386902,1523.352051,-87.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,20.430979,569a1128a75ef5ff
19774,16913,3,s1ren,76561198167785069,2,BetBoom Team,yuurih,76561198164970560,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,Glock-18,pistol,1,0,0,0,0,0,831.806702,1555.462158,-87.968750,0,0,1391.992798,2107.979004,-191.968750,0,0,0,886.138672,1497.832275,-87.968750,1,0,0,0,20.195688,569a1128a75ef5ff
20446,17506,3,zorte,76561198059614402,2,BetBoom Team,KSCERATO,76561198058500492,3,FURIA Esports_1,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1520.354858,979.542053,-145.968750,0,0,1120.441895,754.549438,-148.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.600823,569a1128a75ef5ff
27286,23141,4,Ax1Le,76561198045433304,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-1891.536255,298.346161,58.031250,0,0,-571.764587,624.048767,93.936569,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,34.531075,569a1128a75ef5ff
27319,23172,4,Ax1Le,76561198045433304,2,BetBoom Team,skullz,76561198118646644,3,FURIA Esports_1,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-1882.254272,260.824738,58.031250,0,0,-564.134094,588.553589,92.062500,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,34.502029,569a1128a75ef5ff
27349,23195,4,yuurih,76561198164970560,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,,0,0,,USP-S,pistol,0,0,0,0,0,0,-565.694519,610.617859,38.031246,0,0,-1884.241211,268.682922,58.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,34.613140,569a1128a75ef5ff
27473,23303,4,KSCERATO,76561198058500492,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1309.536255,935.444519,0.031250,0,0,-1013.328613,418.601868,-10.629333,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.312338,569a1128a75ef5ff
27507,23336,4,KSCERATO,76561198058500492,3,FURIA Esports_1,s1ren,76561198167785069,2,BetBoom Team,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1298.244873,941.590332,0.031250,0,0,-978.106445,334.281067,-22.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,17.441669,569a1128a75ef5ff
27580,23401,4,FalleN,76561197960690195,3,FURIA Esports_1,zorte,76561198059614402,2,BetBoom Team,,0,0,,USP-S,pistol,1,0,0,0,0,0,-897.484375,786.665161,27.228436,0,0,-880.095032,389.747314,-29.978882,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.253199,569a1128a75ef5ff
27701,23510,4,Boombl4,76561198146207066,2,BetBoom Team,KSCERATO,76561198058500492,3,FURIA Esports_1,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-1589.634399,220.720749,0.336945,0,0,-1268.732788,907.168396,31.984375,1,0,0,0.000000,0.000000,0.000000,1,0,0,0,19.215096,569a1128a75ef5ff
28626,24340,4,yuurih,76561198164970560,3,FURIA Esports_1,Boombl4,76561198146207066,2,BetBoom Team,,0,0,,USP-S,pistol,1,0,0,0,0,0,-606.197876,640.585693,38.031250,0,0,-1356.144043,326.024414,0.031251,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.681274,569a1128a75ef5ff
33681,28317,5,skullz,76561198118646644,3,FURIA Esports_1,Boombl4,76561198146207066,2,BetBoom Team,yuurih,76561198164970560,3,FURIA Esports_1,M4A1,rifle,0,0,1,0,0,0,-1637.436279,256.801147,1.266625,0,0,-1326.364502,66.967796,0.031250,0,1,0,-1075.262451,933.551331,13.034858,0,0,0,0,9.194619,569a1128a75ef5ff
33785,28398,5,skullz,76561198118646644,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1613.497803,276.030029,0.031251,0,0,-870.264099,-560.683960,67.040863,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.301813,569a1128a75ef5ff
35726,30082,5,skullz,76561198118646644,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,-641.781982,651.528625,38.031250,0,0,-1157.723633,283.315369,-19.907471,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.186102,569a1128a75ef5ff
35822,30164,5,yuurih,76561198164970560,3,FURIA Esports_1,zorte,76561198059614402,2,BetBoom Team,,0,0,,AK-47,rifle,0,0,0,0,0,0,-964.702637,861.765381,30.849876,0,0,-862.804321,314.058746,-55.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.225096,569a1128a75ef5ff
37546,31686,5,chelo,76561198067763828,3,FURIA Esports_1,s1ren,76561198167785069,2,BetBoom Team,KSCERATO,76561198058500492,3,FURIA Esports_1,AK-47,rifle,0,0,0,0,0,0,-356.674072,-83.419739,16.031250,0,0,-1062.070068,-1109.917358,64.031250,0,0,0,1728.886719,1974.845459,-83.968750,0,0,0,0,31.684986,569a1128a75ef5ff
43122,36094,6,FalleN,76561197960690195,3,FURIA Esports_1,Boombl4,76561198146207066,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,-784.590515,217.566696,-76.251343,0,0,-508.036865,92.671700,-56.703125,1,0,0,0.000000,0.000000,0.000000,0,1,0,0,7.881756,569a1128a75ef5ff
43146,36113,6,Magnojez,76561198372023214,2,BetBoom Team,FalleN,76561197960690195,3,FURIA Esports_1,Boombl4,76561198146207066,2,BetBoom Team,Glock-18,pistol,0,0,0,0,0,0,-473.873657,81.896759,-119.968750,0,0,-779.448242,229.060364,-68.588867,0,0,0,-549.401367,67.214325,-93.968750,1,1,0,0,8.664511,569a1128a75ef5ff
43181,36138,6,yuurih,76561198164970560,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,,0,0,,AK-47,rifle,0,0,0,0,0,0,-899.833984,416.009460,-12.367798,0,0,-528.612244,72.031715,-105.264771,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,13.128055,569a1128a75ef5ff
43266,36215,6,yuurih,76561198164970560,3,FURIA Esports_1,s1ren,76561198167785069,2,BetBoom Team,,0,0,,AK-47,rifle,1,0,0,0,0,0,-897.815369,420.018127,-9.679626,0,0,-499.243896,82.206245,-119.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.622015,569a1128a75ef5ff
43419,36341,6,skullz,76561198118646644,3,FURIA Esports_1,zorte,76561198059614402,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1286.625854,750.491516,0.031249,0,0,-635.635254,177.960281,-95.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.406864,569a1128a75ef5ff
43615,36509,6,skullz,76561198118646644,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1307.919678,724.347534,0.031249,0,0,-729.922302,245.250000,-57.795776,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.171501,569a1128a75ef5ff
50987,42409,7,Magnojez,76561198372023214,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,,0,0,,AK-47,rifle,1,0,0,0,0,0,658.066711,1255.674683,-87.968750,0,0,869.968628,1619.165649,-69.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.585721,569a1128a75ef5ff
51158,42560,7,KSCERATO,76561198058500492,3,FURIA Esports_1,Boombl4,76561198146207066,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,M4A1,rifle,1,0,0,0,0,0,836.697571,2133.319824,-39.968750,0,0,768.078003,1385.286011,-87.968750,0,0,0,869.968628,1619.165649,-69.968750,0,0,0,0,19.347067,569a1128a75ef5ff
52312,43521,7,KSCERATO,76561198058500492,3,FURIA Esports_1,zorte,76561198059614402,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,M4A1,rifle,1,0,0,0,0,0,748.513733,1721.750000,-39.968750,0,0,1052.551880,1491.975464,-112.408752,0,0,0,869.968628,1619.165649,-69.968750,0,1,0,0,9.925614,569a1128a75ef5ff
52522,43696,7,Ax1Le,76561198045433304,2,BetBoom Team,KSCERATO,76561198058500492,3,FURIA Esports_1,,0,0,,AK-47,rifle,1,0,0,0,0,0,740.187073,1325.543823,-87.968750,0,0,743.208496,1649.954468,-64.659485,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,8.323639,569a1128a75ef5ff
53386,44448,7,Ax1Le,76561198045433304,2,BetBoom Team,yuurih,76561198164970560,3,FURIA Esports_1,,0,0,,AK-47,rifle,1,0,0,0,0,0,769.524292,1355.655762,-87.968750,0,0,774.443237,1979.801392,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.859896,569a1128a75ef5ff
53461,44513,7,skullz,76561198118646644,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,,0,0,,M4A1,rifle,0,0,0,0,0,0,742.006775,1974.680542,-39.968750,0,0,783.509277,1355.370605,-87.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,15.820898,569a1128a75ef5ff
54024,45007,7,skullz,76561198118646644,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,,0,0,,M4A1,rifle,1,0,0,0,0,0,868.098206,1433.580200,-87.968750,0,0,1136.841431,1520.898315,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.341083,569a1128a75ef5ff
54572,45497,7,s1ren,76561198167785069,2,BetBoom Team,skullz,76561198118646644,3,FURIA Esports_1,Ax1Le,76561198045433304,2,BetBoom Team,AK-47,rifle,0,0,0,0,0,0,1702.640137,1708.705444,-124.825500,0,0,1477.477661,1716.490356,-151.968750,0,0,0,783.836365,1355.392212,-87.968750,0,0,0,0,5.727457,569a1128a75ef5ff
54629,45549,7,s1ren,76561198167785069,2,BetBoom Team,FalleN,76561197960690195,3,FURIA Esports_1,,0,0,,AK-47,rifle,1,0,0,0,0,0,1700.081421,1694.878296,-134.043579,0,0,1221.881836,1810.111938,-191.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.614359,569a1128a75ef5ff
54980,45861,7,World,0,0,,s1ren,76561198167785069,2,BetBoom Team,,0,0,,C4,equipment,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,1633.638184,1364.578613,-100.250000,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,569a1128a75ef5ff
66595,54881,8,chelo,76561198067763828,3,FURIA Esports_1,Magnojez,76561198372023214,2,BetBoom Team,KSCERATO,76561198058500492,3,FURIA Esports_1,M4A1,rifle,1,0,0,0,0,0,318.068390,791.047729,-29.162537,0,0,188.632645,704.168945,-28.968750,0,0,0,78.017639,1587.651001,-29.968750,0,1,0,0,3.961332,569a1128a75ef5ff
66703,54979,8,zorte,76561198059614402,2,BetBoom Team,chelo,76561198067763828,3,FURIA Esports_1,,0,0,,AK-47,rifle,1,0,0,0,0,0,-127.146545,781.789368,0.266543,0,0,286.994110,797.242004,-28.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.576775,569a1128a75ef5ff
67866,55946,8,KSCERATO,76561198058500492,3,FURIA Esports_1,zorte,76561198059614402,2,BetBoom Team,,0,0,,M4A1,rifle,0,0,0,0,0,0,308.539398,1630.181274,-24.401245,0,0,328.205078,1289.390015,-30.112854,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.668886,569a1128a75ef5ff
