frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
9050,7360,1,kensizor,76561198382173659,3,[B8],malbsMd,76561198080703143,2,G2 Esports CS2,,0,0,,USP-S,pistol,1,0,0,0,0,0,2468.837646,-71.700195,104.038712,0,0,1553.583008,76.744270,132.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,23.668930,759d1628c3ad98f7
9160,7454,1,m0NESY,76561198074762801,2,G2 Esports CS2,kensizor,76561198382173659,3,[B8],HeavyGod,76561198068002993,2,G2 Esports CS2,Molotov,grenade,0,0,0,0,0,0,1844.396606,-246.455566,261.031250,0,0,2460.927246,-204.377747,102.031250,0,0,0,1549.902588,-77.964844,142.031250,1,0,0,0,16.237671,759d1628c3ad98f7
9407,7664,1,m0NESY,76561198074762801,2,G2 Esports CS2,npl,76561198305036904,3,[B8],Snax,76561197982141573,2,G2 Esports CS2,Glock-18,pistol,1,0,1,0,0,0,2101.887451,-251.828857,96.400665,0,1,2124.804443,-163.033508,97.193924,0,1,0,1749.455933,26.782530,129.152679,0,0,0,0,2.316287,759d1628c3ad98f7
9631,7859,1,Snax,76561197982141573,2,G2 Esports CS2,esenthial,76561199149812353,3,[B8],,0,0,,Glock-18,pistol,1,0,0,0,0,0,1978.608765,202.553436,160.031250,0,0,1969.779541,498.187622,160.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.463703,759d1628c3ad98f7
12831,10671,1,m0NESY,76561198074762801,2,G2 Esports CS2,headtr1ck,76561198359519930,3,[B8],,0,0,,USP-S,pistol,1,0,0,0,0,0,982.673096,-651.165527,97.546738,0,0,848.477417,-479.361755,100.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.565861,759d1628c3ad98f7
17807,14486,2,Snax,76561197982141573,2,G2 Esports CS2,alex666,76561198304115519,3,[B8],,0,0,,MAC-10,smg,1,0,0,0,0,0,579.279785,2043.542847,136.031219,0,1,746.565552,2170.055664,136.031296,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.440124,759d1628c3ad98f7
18822,15349,2,esenthial,76561199149812353,3,[B8],Snax,76561197982141573,2,G2 Esports CS2,,0,0,,Five-SeveN,pistol,0,0,0,0,0,0,464.059357,2446.813721,167.031250,0,0,660.874817,2965.880859,144.004944,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.126728,759d1628c3ad98f7
18933,15450,2,headtr1ck,76561198359519930,3,[B8],m0NESY,76561198074762801,2,G2 Esports CS2,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,1565.505859,2931.093750,133.081985,0,0,758.999634,2646.313477,136.031479,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,21.730093,759d1628c3ad98f7
19160,15649,2,esenthial,76561199149812353,3,[B8],malbsMd,76561198080703143,2,G2 Esports CS2,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,464.477997,2455.527344,167.031250,0,0,644.572205,2968.142090,189.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.856308,759d1628c3ad98f7
19280,15750,2,huNter,76561198012872053,2,G2 Esports CS2,esenthial,76561199149812353,3,[B8],,0,0,,MAC-10,smg,1,0,0,0,0,0,549.857544,2511.935059,279.031250,0,0,498.394470,2439.144775,167.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,3.604628,759d1628c3ad98f7
