steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198178209109,xfl0ud,2,0,0,650,pistol,1,39ee7741554cb1d4
76561198016255205,Twistzz,3,0,0,650,pistol,1,39ee7741554cb1d4
76561198053126645,NertZ,3,0,0,650,pistol,1,39ee7741554cb1d4
76561198104626893,LNZ,2,0,0,650,pistol,1,39ee7741554cb1d4
76561198001151695,NAF-FLY,3,0,0,650,pistol,1,39ee7741554cb1d4
76561199137143905,yxngstxr,2,0,0,650,pistol,1,39ee7741554cb1d4
76561198872013168,tN1R,2,0,0,650,pistol,1,39ee7741554cb1d4
76561198309839541,SunPayus,2,0,0,650,pistol,1,39ee7741554cb1d4
76561198283989223,ultimate,3,0,0,650,pistol,1,39ee7741554cb1d4
76561197977105184,jks,3,0,0,650,pistol,1,39ee7741554cb1d4
76561198104626893,LNZ,2,0,0,650,eco,2,39ee7741554cb1d4
76561198872013168,tN1R,2,0,0,650,eco,2,39ee7741554cb1d4
76561198309839541,SunPayus,2,0,0,650,eco,2,39ee7741554cb1d4
76561198283989223,ultimate,3,0,0,650,eco,2,39ee7741554cb1d4
76561199137143905,yxngstxr,2,0,0,650,eco,2,39ee7741554cb1d4
76561198001151695,NAF-FLY,3,0,0,650,eco,2,39ee7741554cb1d4
76561197977105184,jks,3,0,0,650,eco,2,39ee7741554cb1d4
76561198178209109,xfl0ud,2,0,0,650,eco,2,39ee7741554cb1d4
76561198016255205,Twistzz,3,0,0,650,eco,2,39ee7741554cb1d4
76561198053126645,NertZ,3,0,0,650,eco,2,39ee7741554cb1d4
76561198001151695,NAF-FLY,2,800,750,950,eco,3,39ee7741554cb1d4
76561197977105184,jks,2,800,800,700,eco,3,39ee7741554cb1d4
76561198178209109,xfl0ud,3,800,650,850,eco,3,39ee7741554cb1d4
76561198016255205,Twistzz,2,800,700,900,eco,3,39ee7741554cb1d4
76561198309839541,SunPayus,3,800,650,850,eco,3,39ee7741554cb1d4
76561199137143905,yxngstxr,3,800,650,1250,force-buy,3,39ee7741554cb1d4
76561198053126645,NertZ,2,800,700,900,eco,3,39ee7741554cb1d4
76561198104626893,LNZ,3,800,800,700,eco,3,39ee7741554cb1d4
76561198872013168,tN1R,3,800,650,850,eco,3,39ee7741554cb1d4
76561198283989223,ultimate,2,800,650,950,eco,3,39ee7741554cb1d4
76561198178209109,xfl0ud,3,3400,3350,4250,semi,4,39ee7741554cb1d4
76561198016255205,Twistzz,2,2600,2600,2600,force-buy,4,39ee7741554cb1d4
76561198053126645,NertZ,2,2000,2000,2000,force-buy,4,39ee7741554cb1d4
76561198104626893,LNZ,3,3250,3250,3750,semi,4,39ee7741554cb1d4
76561198283989223,ultimate,2,2350,2000,2000,force-buy,4,39ee7741554cb1d4
76561198001151695,NAF-FLY,2,1950,1800,1800,force-buy,4,39ee7741554cb1d4
76561197977105184,jks,2,1900,1100,800,eco,4,39ee7741554cb1d4
76561199137143905,yxngstxr,3,3400,3350,3550,semi,4,39ee7741554cb1d4
