name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Brollan,76561198138828475,72,MOUZ,31,4,21,9,29,1.476190,80.555557,82.416664,0.861111,0.583333,4.833333,5,-1,0,0,0,3,0,0,2967,500,174,3,5,11,9,8,2,0,1,0,0,1,5,10,9,8,6,4,6,5,0,1,11,5,2,1,0,1.357737,1.334146,CSGO-QOS5y-kyeKF-7ExW2-ZH3K8-dv6KQ,2,0,8099f5bd95004f24
s1ren,76561198167785069,38,BetBoom Team,15,5,24,10,66,0.625000,69.444443,46.805557,0.416667,0.666667,2.444444,1,-1,0,0,0,1,0,0,1685,291,88,9,11,17,15,14,2,0,1,0,0,7,11,16,15,14,0,1,4,6,0,0,11,2,0,0,0,0.736880,0.652967,CSGO-jwHia-EObbX-qV9j8-qBzZT-ey3JE,4,0,8099f5bd95004f24
xertioN,76561198193174134,53,MOUZ,18,12,24,13,72,0.750000,75.000000,73.194443,0.500000,0.666667,8.166667,3,-1,0,0,0,0,3,0,2635,460,294,6,8,14,12,11,2,0,1,0,0,4,8,13,12,11,1,6,5,6,0,1,10,4,0,0,0,0.953279,0.754817,CSGO-usVDK-dBUVN-j4Ffp-POw9z-DLpYF,4,0,8099f5bd95004f24
Boombl4,76561198146207066,55,BetBoom Team,19,9,26,4,21,0.730769,63.888889,71.583336,0.527778,0.722222,4.972222,4,-1,0,0,0,2,1,0,2577,402,179,6,8,14,12,11,3,1,2,1,1,3,7,12,11,10,4,7,3,4,0,0,15,2,0,0,0,0.853115,0.700363,CSGO-kUKcU-eELT9-xZsrC-ion7z-DOQNN,3,0,8099f5bd95004f24
Magnojez,76561198372023214,63,BetBoom Team,23,3,27,15,65,0.851852,58.333332,60.944443,0.638889,0.750000,5.444445,5,-1,0,0,0,4,0,0,2194,372,196,5,7,13,11,10,2,0,1,0,0,3,7,12,11,10,5,5,8,5,0,2,10,2,3,0,0,0.843145,0.915494,CSGO-VcLCF-iKDSt-56GKR-7Vpe2-VtjjD,0,0,8099f5bd95004f24
Ax1Le,76561198045433304,70,BetBoom Team,25,15,27,15,60,0.925926,75.000000,83.777779,0.694444,0.750000,8.277778,2,-1,0,0,0,3,0,0,3016,682,298,10,12,18,16,15,3,1,2,1,1,7,11,16,15,14,2,4,6,6,0,1,12,5,1,0,0,1.119105,0.913572,CSGO-FbLLp-kGRLH-2w8kr-YXzAH-HwpcG,1,0,8099f5bd95004f24
zorte,76561198059614402,59,BetBoom Team,23,7,24,7,30,0.958333,75.000000,69.083336,0.638889,0.666667,4.027778,5,-1,0,0,0,1,0,0,2487,186,145,7,9,15,13,12,3,1,2,1,1,4,8,13,12,11,5,3,4,8,0,1,10,5,1,0,0,1.046334,0.935310,CSGO-QXEEu-NKz38-ymidX-mJcEG-pqAQL,2,0,8099f5bd95004f24
Jimpphat,76561198855375325,76,MOUZ,29,8,19,20,68,1.526316,80.555557,87.250000,0.805556,0.527778,8.694445,7,-1,0,0,0,1,2,0,3141,607,313,7,9,15,13,12,2,0,1,0,0,5,9,14,13,12,1,0,6,2,0,0,8,8,2,0,0,1.365860,1.292883,CSGO-t3F8R-3M9vV-qVikH-JF3PV-9mUCP,1,0,8099f5bd95004f24
torzsi,76561198355739212,62,MOUZ,24,3,19,5,20,1.263158,80.555557,65.805557,0.666667,0.527778,2.611111,3,-1,0,0,0,4,0,0,2369,116,94,8,10,16,14,13,2,0,1,0,0,6,10,15,14,13,6,2,5,5,0,1,12,6,0,0,0,1.163355,1.039883,CSGO-hP4eK-PqkTQ-jo4T7-cmpxc-ZHZML,0,0,8099f5bd95004f24
siuhy,76561198150673360,65,MOUZ,25,10,23,14,56,1.086957,86.111107,81.638885,0.694444,0.638889,4.611111,1,-1,0,0,0,1,0,0,2939,530,166,5,7,13,11,10,2,0,1,0,0,3,7,12,11,10,6,4,2,9,0,1,10,6,1,0,0,1.238746,1.020557,CSGO-FBMfW-qEj5b-bBT2t-H5LbQ-qseKP,3,0,8099f5bd95004f24
