steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198855375325,Jimpphat,3,0,0,0,pistol,1,fbf78c246823fe98
76561198372023214,Magnojez,2,0,0,0,pistol,1,fbf78c246823fe98
76561198146207066,Boombl4,2,0,0,0,pistol,1,fbf78c246823fe98
76561198193174134,xertioN,3,0,0,0,pistol,1,fbf78c246823fe98
76561198138828475,Brollan,3,0,0,0,pistol,1,fbf78c246823fe98
76561198059614402,zorte,2,0,0,0,pistol,1,fbf78c246823fe98
76561198150673360,siuhy,3,0,0,0,pistol,1,fbf78c246823fe98
76561198167785069,s1ren,2,0,0,0,pistol,1,fbf78c246823fe98
76561198355739212,torzsi,3,0,0,0,pistol,1,fbf78c246823fe98
76561198045433304,Ax1Le,2,0,0,0,pistol,1,fbf78c246823fe98
76561198372023214,Magnojez,2,0,0,0,eco,2,fbf78c246823fe98
76561198355739212,torzsi,3,0,0,0,eco,2,fbf78c246823fe98
76561198146207066,Boombl4,2,0,0,0,eco,2,fbf78c246823fe98
76561198855375325,Jimpphat,3,0,0,0,eco,2,fbf78c246823fe98
76561198150673360,siuhy,3,0,0,0,eco,2,fbf78c246823fe98
76561198167785069,s1ren,2,0,0,0,eco,2,fbf78c246823fe98
76561198045433304,Ax1Le,2,0,0,0,eco,2,fbf78c246823fe98
76561198193174134,xertioN,3,0,0,0,eco,2,fbf78c246823fe98
76561198138828475,Brollan,3,0,0,0,eco,2,fbf78c246823fe98
76561198059614402,zorte,2,0,0,0,eco,2,fbf78c246823fe98
76561198138828475,Brollan,3,800,800,700,eco,3,fbf78c246823fe98
76561198059614402,zorte,2,800,650,950,eco,3,fbf78c246823fe98
76561198150673360,siuhy,3,800,700,900,eco,3,fbf78c246823fe98
76561198372023214,Magnojez,2,800,650,1450,force-buy,3,fbf78c246823fe98
76561198146207066,Boombl4,2,800,800,200,eco,3,fbf78c246823fe98
76561198193174134,xertioN,3,800,650,1150,semi,3,fbf78c246823fe98
76561198167785069,s1ren,2,800,800,700,eco,3,fbf78c246823fe98
76561198355739212,torzsi,3,800,650,950,eco,3,fbf78c246823fe98
76561198045433304,Ax1Le,2,800,650,850,eco,3,fbf78c246823fe98
76561198855375325,Jimpphat,3,800,800,1000,eco,3,fbf78c246823fe98
76561198855375325,Jimpphat,3,1900,1800,1800,force-buy,4,fbf78c246823fe98
76561198138828475,Brollan,3,1900,1900,2100,force-buy,4,fbf78c246823fe98
76561198059614402,zorte,2,4600,4600,4500,full,4,fbf78c246823fe98
76561198150673360,siuhy,3,2300,2300,2300,force-buy,4,fbf78c246823fe98
76561198167785069,s1ren,2,3250,3100,3300,semi,4,fbf78c246823fe98
