number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,48,88,1327,1514,2909,3270,3357,3758,MOUZ,BetBoom Team,1,0,3,2,0,0,0,0,0,0,pistol,pistol,40113,8,MOUZ,3,0,fbf78c246823fe98
3,4078,4584,6632,8153,12774,15233,13222,15780,MOUZ,BetBoom Team,1,1,3,2,4000,4000,4700,4150,3600,3550,eco,eco,134244,9,BetBoom Team,2,0,fbf78c246823fe98
4,13222,15780,14502,17635,23556,28220,24004,28762,MOUZ,BetBoom Team,1,2,3,2,10500,18500,10050,19750,9650,17900,force-buy,semi,156821,1,BetBoom Team,2,0,fbf78c246823fe98
5,24004,28762,25284,30683,28157,34156,28605,34685,MOUZ,BetBoom Team,2,2,3,2,13750,19900,5350,22850,2750,13950,semi,full,67998,8,MOUZ,3,0,fbf78c246823fe98
6,28605,34685,29885,36648,34926,42782,35374,43342,MOUZ,BetBoom Team,3,2,3,2,28750,13850,29900,13100,22300,13000,full,force-buy,102072,8,MOUZ,3,0,fbf78c246823fe98
7,37358,46000,38638,47782,41575,51317,42023,51904,MOUZ,BetBoom Team,4,2,3,2,23600,10150,28050,1000,7550,0,full,eco,67027,8,MOUZ,3,0,fbf78c246823fe98
8,42023,51904,43303,53781,48676,60336,49124,60856,MOUZ,BetBoom Team,4,3,3,2,33600,22150,29500,23200,5300,21800,full,full,106296,1,BetBoom Team,2,0,fbf78c246823fe98
9,49124,60856,50404,62763,56269,69907,56717,70456,MOUZ,BetBoom Team,4,4,3,2,35400,19050,30650,25200,18800,9100,full,full,114099,9,BetBoom Team,2,0,fbf78c246823fe98
10,58934,73504,60214,75358,66639,83116,67087,83671,MOUZ,BetBoom Team,5,4,3,2,26400,28000,26100,27250,25100,9300,full,full,121171,8,MOUZ,3,0,fbf78c246823fe98
11,67087,83671,68367,85684,75413,94128,75861,94650,MOUZ,BetBoom Team,5,5,3,2,19350,26400,28550,25250,17050,24250,full,full,131823,1,BetBoom Team,2,0,fbf78c246823fe98
12,75861,94650,77141,96551,81496,101855,81944,102407,MOUZ,BetBoom Team,6,5,3,2,9600,20950,13950,27250,9250,8200,force-buy,full,90828,8,MOUZ,3,0,fbf78c246823fe98
13,84730,106048,86010,107788,91170,113941,91618,114477,MOUZ,BetBoom Team,6,6,3,2,17900,20350,30750,21050,14150,20050,full,full,99501,1,BetBoom Team,2,0,fbf78c246823fe98
14,91618,114477,92898,116469,97363,121917,97907,122565,MOUZ,BetBoom Team,6,7,3,2,11450,19300,17650,24250,11150,17600,force-buy,full,93790,9,BetBoom Team,2,0,fbf78c246823fe98
15,97907,122565,111133,139763,115342,144673,115790,145187,MOUZ,BetBoom Team,6,8,2,3,4000,4000,2350,4050,700,3450,pistol,pistol,278699,7,BetBoom Team,3,0,fbf78c246823fe98
16,115790,145187,117070,147181,124690,156310,125138,156840,MOUZ,BetBoom Team,7,8,2,3,17300,19550,18200,20600,17200,19200,force-buy,semi,140219,1,MOUZ,2,0,fbf78c246823fe98
17,125138,156840,126418,158736,131736,165070,132184,165621,MOUZ,BetBoom Team,8,8,2,3,18800,8250,23300,16700,13100,7700,full,force-buy,103749,1,MOUZ,2,0,fbf78c246823fe98
18,132184,165621,133464,167385,139128,174119,139576,174657,MOUZ,BetBoom Team,9,8,2,3,24700,10650,23450,5800,10250,650,full,semi,107128,1,MOUZ,2,0,fbf78c246823fe98
19,139576,174657,140856,176544,148312,185435,148760,185958,MOUZ,BetBoom Team,10,8,2,3,33450,22300,25200,24900,11500,17350,full,full,135870,1,MOUZ,2,0,fbf78c246823fe98
20,150988,189086,152268,190933,158866,198626,159314,199156,MOUZ,BetBoom Team,11,8,2,3,40950,20950,27150,12550,26450,11350,full,semi,120263,9,MOUZ,2,0,fbf78c246823fe98
21,162028,203032,163308,204769,166541,208864,166989,209405,MOUZ,BetBoom Team,11,9,2,3,32150,28100,27350,27950,20600,26950,full,full,73519,8,BetBoom Team,3,0,fbf78c246823fe98
22,166989,209405,168269,211292,177689,222573,178137,223145,MOUZ,BetBoom Team,12,9,2,3,18750,18900,19150,29850,18350,12100,force-buy,full,165999,1,MOUZ,2,0,fbf78c246823fe98
23,178137,223145,179417,224933,186777,233785,187225,234315,MOUZ,BetBoom Team,12,10,2,3,19100,21600,27650,30200,10300,19150,full,full,134130,12,BetBoom Team,3,0,fbf78c246823fe98
24,190106,238042,191386,239785,198746,248439,199194,248988,MOUZ,BetBoom Team,12,11,2,3,15000,19700,8600,30550,2250,13700,semi,full,131067,12,BetBoom Team,3,0,fbf78c246823fe98
25,199194,248988,207977,259913,213494,266579,213942,267099,MOUZ,BetBoom Team,12,12,2,3,16000,23250,26550,29100,20400,12850,full,full,221756,8,BetBoom Team,3,0,fbf78c246823fe98
26,213942,267099,215222,269083,222025,277334,222025,277334,MOUZ,BetBoom Team,12,13,2,3,11350,23350,13650,31550,12750,23900,force-buy,full,129025,7,BetBoom Team,3,0,fbf78c246823fe98
