frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
13788,11428,1,5,2,0,76561199009468655,ztr,0,0,1c84ce40cd34a0c4
23790,19701,2,4,3,0,76561198377335846,snow,1,0,1c84ce40cd34a0c4
34941,28966,3,2,3,0,76561198015308884,biguzera,0,0,1c84ce40cd34a0c4
43097,35774,4,3,3,0,76561198377335846,snow,1,1,1c84ce40cd34a0c4
67789,56195,6,2,3,0,76561198350342505,nqz,0,0,1c84ce40cd34a0c4
82500,67981,7,3,2,0,76561198310561479,PR,0,0,1c84ce40cd34a0c4
93640,76817,8,2,2,1,76561198310561479,PR,0,1,1c84ce40cd34a0c4
95491,78460,8,1,3,0,76561198350342505,nqz,0,1,1c84ce40cd34a0c4
118002,96951,10,4,2,0,76561198316706174,Tauson,0,1,1c84ce40cd34a0c4
141647,116489,12,2,2,1,76561198310561479,PR,1,2,1c84ce40cd34a0c4
141653,116495,12,1,3,0,76561198120491311,dav1deuS,0,0,1c84ce40cd34a0c4
162328,133780,13,3,2,0,76561198377335846,snow,0,0,1c84ce40cd34a0c4
166687,137253,14,4,2,0,76561198350342505,nqz,0,0,1c84ce40cd34a0c4
191220,157350,16,3,2,1,76561198350342505,nqz,0,2,1c84ce40cd34a0c4
192163,158175,16,1,3,0,76561198316706174,Tauson,0,1,1c84ce40cd34a0c4
230937,190022,19,3,3,0,76561198316706174,Tauson,1,0,1c84ce40cd34a0c4
243137,200213,20,4,2,0,76561198377335846,snow,0,0,1c84ce40cd34a0c4
257531,212008,21,4,2,0,76561198350342505,nqz,0,0,1c84ce40cd34a0c4
266268,219101,22,2,3,0,76561198310561479,PR,1,1,1c84ce40cd34a0c4
267425,220111,22,1,2,1,76561198377335846,snow,0,0,1c84ce40cd34a0c4
272199,223895,23,4,2,0,76561198350342505,nqz,0,0,1c84ce40cd34a0c4
