steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198098071693,sl3nd,2,0,0,0,pistol,1,2632360dbef620f0
76561198316706174,Tauson,2,0,0,0,pistol,1,2632360dbef620f0
76561198015308884,biguzera,3,0,0,0,pistol,1,2632360dbef620f0
76561198377335846,snow,3,0,0,0,pistol,1,2632360dbef620f0
76561198034172415,REZ,2,0,0,0,pistol,1,2632360dbef620f0
76561198350342505,nqz,3,0,0,0,pistol,1,2632360dbef620f0
76561198310561479,PR,2,0,0,0,pistol,1,2632360dbef620f0
76561198120491311,dav1deuS,3,0,0,0,pistol,1,2632360dbef620f0
76561199009468655,ztr,2,0,0,0,pistol,1,2632360dbef620f0
76561198385657675,kauez,3,0,0,0,pistol,1,2632360dbef620f0
76561198377335846,snow,3,0,0,0,eco,2,2632360dbef620f0
76561198034172415,REZ,2,0,0,0,eco,2,2632360dbef620f0
76561198385657675,kauez,3,0,0,0,eco,2,2632360dbef620f0
76561198120491311,dav1deuS,3,0,0,0,eco,2,2632360dbef620f0
76561199009468655,ztr,2,0,0,0,eco,2,2632360dbef620f0
76561198350342505,nqz,3,0,0,0,eco,2,2632360dbef620f0
76561198098071693,sl3nd,2,0,0,0,eco,2,2632360dbef620f0
76561198310561479,PR,2,0,0,0,eco,2,2632360dbef620f0
76561198316706174,Tauson,2,0,0,0,eco,2,2632360dbef620f0
76561198015308884,biguzera,3,0,0,0,eco,2,2632360dbef620f0
76561198316706174,Tauson,2,800,700,900,eco,3,2632360dbef620f0
76561198377335846,snow,3,800,650,950,eco,3,2632360dbef620f0
76561198120491311,dav1deuS,3,800,650,1150,semi,3,2632360dbef620f0
76561199009468655,ztr,2,800,650,850,eco,3,2632360dbef620f0
76561198034172415,REZ,2,800,650,850,eco,3,2632360dbef620f0
76561198098071693,sl3nd,2,800,700,900,eco,3,2632360dbef620f0
76561198015308884,biguzera,3,800,800,200,eco,3,2632360dbef620f0
76561198350342505,nqz,3,800,650,1050,semi,3,2632360dbef620f0
76561198385657675,kauez,3,800,650,850,eco,3,2632360dbef620f0
76561198310561479,PR,2,800,650,850,eco,3,2632360dbef620f0
76561198316706174,Tauson,2,3600,3500,3700,semi,4,2632360dbef620f0
76561198015308884,biguzera,3,2200,2200,2200,force-buy,4,2632360dbef620f0
76561198377335846,snow,3,2050,2000,2000,force-buy,4,2632360dbef620f0
76561198120491311,dav1deuS,3,2350,2200,2400,force-buy,4,2632360dbef620f0
76561198350342505,nqz,3,2650,2050,2900,semi,4,2632360dbef620f0
76561198385657675,kauez,3,2050,1900,2400,force-buy,4,2632360dbef620f0
76561199009468655,ztr,2,3950,3400,3600,semi,4,2632360dbef620f0
76561198034172415,REZ,2,3650,3500,3700,semi,4,2632360dbef620f0
76561198098071693,sl3nd,2,4500,4400,4600,full,4,2632360dbef620f0
76561198310561479,PR,2,3950,3700,4200,full,4,2632360dbef620f0
76561198377335846,snow,3,3600,2900,4850,full,5,2632360dbef620f0
76561198120491311,dav1deuS,3,4000,2200,3950,semi,5,2632360dbef620f0
76561198034172415,REZ,2,1550,1450,1450,force-buy,5,2632360dbef620f0
76561198098071693,sl3nd,2,1500,1450,1450,force-buy,5,2632360dbef620f0
76561198316706174,Tauson,2,2100,2000,3900,force-buy,5,2632360dbef620f0
76561198015308884,biguzera,3,3850,3800,5600,full,5,2632360dbef620f0
76561199009468655,ztr,2,1950,1800,800,eco,5,2632360dbef620f0
76561198350342505,nqz,3,3850,2400,5800,full,5,2632360dbef620f0
76561198385657675,kauez,3,4000,2600,4300,semi,5,2632360dbef620f0
76561198310561479,PR,2,1650,1650,1650,force-buy,5,2632360dbef620f0
76561199009468655,ztr,2,2050,0,200,eco,6,2632360dbef620f0
76561198034172415,REZ,2,2300,0,500,eco,6,2632360dbef620f0
76561198350342505,nqz,3,5000,500,6100,full,6,2632360dbef620f0
76561198385657675,kauez,3,4650,1500,4700,full,6,2632360dbef620f0
76561198120491311,dav1deuS,3,6250,5600,5800,full,6,2632360dbef620f0
