name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
story,76561198065448360,46,SAW,19,3,18,5,26,1.055556,63.333332,62.133335,0.633333,0.600000,4.100000,3,-1,0,0,0,1,0,0,1864,220,123,8,10,10,14,7,4,5,2,2,2,4,5,8,12,5,4,4,4,4,0,1,5,2,2,1,0,0.960243,1.126985,CSGO-jyPRN-8exSX-6SN3s-dKfxK-CFCEB,3,0,fa9fcdfe9c4fc7d1
tabseN,76561197961491680,63,BIG CS2,28,6,19,16,57,1.473684,76.666664,100.300003,0.933333,0.633333,7.033333,4,-1,0,0,0,2,0,0,3009,576,211,6,8,8,12,5,2,3,0,0,0,4,5,8,12,5,4,1,6,5,0,0,11,7,1,0,0,1.431210,1.273030,CSGO-xVxZX-wS2oV-JV642-rGEUn-wHSZQ,4,0,fa9fcdfe9c4fc7d1
MUTiRiS,76561197997981170,28,SAW,12,5,24,3,25,0.500000,60.000004,53.333332,0.400000,0.800000,4.166667,1,-1,0,0,0,0,0,0,1600,339,125,9,11,11,15,8,2,3,0,0,0,7,8,11,15,8,1,5,5,2,0,0,8,2,0,0,0,0.606133,0.536440,CSGO-Bd7ys-qT9Ti-9a24R-DZ5Dh-Y2hWA,1,0,fa9fcdfe9c4fc7d1
Krimbo,76561198170631091,40,BIG CS2,16,7,17,10,62,0.941176,83.333328,69.099998,0.533333,0.566667,10.500000,2,-1,0,0,0,1,0,0,2073,443,315,9,11,11,15,8,2,3,0,0,0,7,8,11,15,8,3,2,1,3,0,0,6,5,0,0,0,1.073150,0.896678,CSGO-iMuyc-upHZB-n8Qbq-QSeZX-TXQ3A,2,0,fa9fcdfe9c4fc7d1
shr,76561198026724513,30,SAW,13,3,23,6,46,0.565217,56.666668,53.400002,0.433333,0.766667,3.133333,1,-1,0,0,0,0,0,0,1602,318,94,8,10,10,14,7,3,4,1,1,1,5,6,9,13,6,3,4,3,3,0,0,9,2,0,0,0,0.621946,0.591551,CSGO-dvR7v-vreTS-GSjkz-nVqUG-YuAkE,0,0,fa9fcdfe9c4fc7d1
ag1L,76561198186878873,62,SAW,19,6,22,11,57,0.863636,76.666664,70.800003,0.633333,0.733333,0.233333,7,-1,0,0,0,4,2,0,2124,318,7,8,10,10,14,7,3,4,1,1,1,5,6,9,13,6,2,2,5,4,0,2,8,4,1,0,0,1.024219,0.882590,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,2,0,fa9fcdfe9c4fc7d1
roman,76561197994395491,43,SAW,19,3,22,11,57,0.863636,63.333332,72.533333,0.633333,0.733333,2.900000,2,-1,0,0,0,0,0,0,2176,489,87,6,8,8,12,5,3,4,1,1,1,3,4,7,11,4,4,1,1,7,0,0,13,3,0,0,0,0.922470,0.805248,CSGO-35wSk-tN7q7-h8UCJ-oVFmQ-NTivN,4,0,fa9fcdfe9c4fc7d1
hyped,76561198139604328,64,BIG CS2,30,5,16,9,30,1.875000,80.000000,88.000000,1.000000,0.533333,0.666667,6,-1,0,0,0,0,0,0,2640,109,20,5,7,7,11,4,2,3,0,0,0,3,4,7,11,4,4,3,5,3,0,0,7,7,3,0,0,1.523775,1.526528,CSGO-aGNS6-9YLJ9-HrGMG-wAxKm-PprBE,3,0,fa9fcdfe9c4fc7d1
kyuubii,76561198144926364,44,BIG CS2,16,6,12,6,37,1.333333,93.333336,50.966667,0.533333,0.400000,1.333333,3,-1,0,0,0,2,0,0,1529,217,40,6,8,8,12,5,2,3,0,0,0,4,5,8,12,5,1,3,4,4,0,3,10,3,0,0,0,1.173619,0.994316,CSGO-PEyU6-UvE8k-dSmOF-UPneX-G847M,1,0,fa9fcdfe9c4fc7d1
JDC,76561198078771373,44,BIG CS2,19,5,18,10,52,1.055556,70.000000,76.800003,0.633333,0.600000,3.666667,1,-1,0,0,0,1,0,0,2304,386,110,4,6,6,10,3,2,3,0,0,0,2,3,6,10,3,4,5,3,6,0,2,8,4,1,0,0,1.062485,0.991637,CSGO-vd88G-Tcc8V-h5tKX-36zMZ-KU43L,0,0,fa9fcdfe9c4fc7d1
