frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
646,458,1,76561198022365638,2,stavn,Kevlar Vest,equipment,01JM6D52Q1WKM7HCM6TBC7ZG9K,0,d6a5da1b4e77c240
969,717,1,76561198022365638,2,stavn,Molotov,grenade,01JM6D52Q93WRM6W2HJ94KTKM0,0,d6a5da1b4e77c240
982,730,1,76561198081484775,3,sh1ro,Kevlar Vest,equipment,01JM6D52Q93WRM6W2HJBD5MEF6,0,d6a5da1b4e77c240
1015,755,1,76561198022365638,2,stavn,Flashbang,grenade,01JM6D52QAV3XWZ9RQNWV9A36Q,0,d6a5da1b4e77c240
1020,759,1,76561198005107817,2,Staehr,Kevlar Vest,equipment,01JM6D52QAV3XWZ9RQP0P5T328,0,d6a5da1b4e77c240
1060,788,1,76561198120557348,2,jabbi,Smoke Grenade,grenade,01JM6D52QB1XWFN7QZSC53M36R,0,d6a5da1b4e77c240
1062,790,1,76561198120557348,2,jabbi,Molotov,grenade,01JM6D52QB1XWFN7QZSG3G78XA,0,d6a5da1b4e77c240
1678,1304,1,76561198120557348,2,jabbi,Flashbang,grenade,01JM6D52QE3JYC0Q5GN0CY00RT,0,d6a5da1b4e77c240
1799,1394,1,76561197987713664,2,dev1ce,Flashbang,grenade,01JM6D52QMRSMKQ6R05C3S4J9W,0,d6a5da1b4e77c240
1810,1403,1,76561197987713664,2,dev1ce,Smoke Grenade,grenade,01JM6D52QN2RVTAXY9N5KY3F17,0,d6a5da1b4e77c240
2022,1569,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6D52QQ8GN5YSY65PKY8DA9,0,d6a5da1b4e77c240
21335,16992,2,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM6D536CSTNME92T32V1PV7C,0,d6a5da1b4e77c240
21337,16994,2,76561199063238565,3,magixx,Kevlar + Helmet,equipment,01JM6D536CSTNME92T33N3AC4Q,0,d6a5da1b4e77c240
21348,17004,2,76561198386265483,3,donk,M4A1,rifle,01JM6D52QMRSMKQ6R05CZV6SS1,0,d6a5da1b4e77c240
21363,17016,2,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6D536E49NJPPSW7DSPCJAE,0,d6a5da1b4e77c240
21368,17021,2,76561198386265483,3,donk,Flashbang,grenade,01JM6D536E49NJPPSW7GJPEJZJ,0,d6a5da1b4e77c240
21396,17042,2,76561198005107817,2,Staehr,Kevlar + Helmet,equipment,01JM6D536FNQCJ1E98Q4BKAEBQ,0,d6a5da1b4e77c240
21466,17088,2,76561198005107817,2,Staehr,Desert Eagle,pistol,01JM6D536GNMXT89CHTX1ESHPC,0,d6a5da1b4e77c240
21470,17092,2,76561198995880877,3,zont1x,M4A1,rifle,01JM6D536GNMXT89CHV4A6F2WQ,0,d6a5da1b4e77c240
