frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
10749,8438,1,chopper,76561198045898864,3,Spirit,Staehr,76561198005107817,2,Astralis,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1263.540405,934.791260,11776.031250,0,0,-1049.997559,411.278046,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,14.430955,b52e1d9753015e28
11001,8663,1,stavn,76561198022365638,2,Astralis,chopper,76561198045898864,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1421.875610,493.310303,11868.827148,0,0,-1685.517944,832.242126,11776.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,11.084608,b52e1d9753015e28
11799,9364,1,stavn,76561198022365638,2,Astralis,magixx,76561199063238565,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1703.830078,577.069458,11776.031250,0,0,-1955.401489,641.555359,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.597739,b52e1d9753015e28
11836,9396,1,stavn,76561198022365638,2,Astralis,zont1x,76561198995880877,3,Spirit,dev1ce,76561197987713664,2,Astralis,Glock-18,pistol,0,0,0,0,0,0,-1700.592773,591.657715,11776.031250,0,0,-2340.085693,877.186890,11744.031250,0,0,0,-2346.942383,-156.177979,11684.031250,0,0,0,0,17.807583,b52e1d9753015e28
12042,9574,1,cadiaN,76561198004115516,2,Astralis,sh1ro,76561198081484775,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1064.917480,410.741119,11776.031250,0,0,-901.592529,-107.487427,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.768119,b52e1d9753015e28
12414,9878,1,cadiaN,76561198004115516,2,Astralis,donk,76561198386265483,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-962.171326,302.315735,11776.031250,0,0,-1177.042114,521.323486,11777.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.825727,b52e1d9753015e28
15927,12468,2,cadiaN,76561198004115516,2,Astralis,sh1ro,76561198081484775,3,Spirit,,0,0,,MAC-10,smg,0,0,0,0,0,0,-1480.273315,-226.987244,11776.031250,0,0,-1897.322632,-246.329956,11780.267578,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.604486,b52e1d9753015e28
16088,12613,2,cadiaN,76561198004115516,2,Astralis,zont1x,76561198995880877,3,Spirit,,0,0,,MAC-10,smg,0,0,0,0,0,0,-1723.261108,-164.168091,11776.031250,0,0,-1832.783081,323.832977,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.707964,b52e1d9753015e28
16147,12663,2,dev1ce,76561197987713664,2,Astralis,chopper,76561198045898864,3,Spirit,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-1788.954346,-261.692749,11792.451172,0,0,-1779.185181,438.891388,11840.017578,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.852676,b52e1d9753015e28
16550,13004,2,dev1ce,76561197987713664,2,Astralis,donk,76561198386265483,3,Spirit,cadiaN,76561198004115516,2,Astralis,Galil AR,rifle,1,0,0,0,0,0,-1956.332031,248.258347,11776.031250,0,0,-1498.986938,142.746964,11776.031250,0,0,0,-1909.912476,134.215866,11776.031250,0,0,0,0,11.920872,b52e1d9753015e28
16833,13231,2,stavn,76561198022365638,2,Astralis,magixx,76561199063238565,3,Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,-2206.148682,592.067139,11759.121094,0,0,-2320.123047,763.632263,11744.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.236637,b52e1d9753015e28
22558,17485,3,sh1ro,76561198081484775,3,Spirit,Staehr,76561198005107817,2,Astralis,zont1x,76561198995880877,3,Spirit,M4A1,rifle,0,0,0,0,0,0,-1148.718262,950.553467,11776.031250,0,0,-1120.548950,294.395569,11776.031250,0,0,0,-1445.818115,739.099915,11776.031250,0,0,0,0,16.681786,b52e1d9753015e28
22714,17624,3,donk,76561198386265483,3,Spirit,jabbi,76561198120557348,2,Astralis,,0,0,,M4A1,rifle,1,0,0,0,0,0,-872.886658,849.505188,11776.031250,0,1,-1179.851807,113.843803,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.259354,b52e1d9753015e28
22826,17716,3,stavn,76561198022365638,2,Astralis,zont1x,76561198995880877,3,Spirit,jabbi,76561198120557348,2,Astralis,AK-47,rifle,1,0,0,0,0,0,-1551.820679,486.582428,11908.031250,0,0,-1546.483643,713.948486,11776.031250,0,0,0,-1179.597778,113.830009,11776.031250,0,1,0,0,6.616899,b52e1d9753015e28
