steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198120557348,jabbi,2,800,650,850,pistol,1,b52e1d9753015e28
76561198386265483,donk,3,800,650,850,pistol,1,b52e1d9753015e28
76561198022365638,stavn,2,800,650,1250,pistol,1,b52e1d9753015e28
76561198004115516,cadiaN,2,800,650,850,pistol,1,b52e1d9753015e28
76561199063238565,magixx,3,800,650,950,pistol,1,b52e1d9753015e28
76561198045898864,chopper,3,800,800,400,pistol,1,b52e1d9753015e28
76561198005107817,Staehr,2,800,650,850,pistol,1,b52e1d9753015e28
76561198995880877,zont1x,3,800,650,950,pistol,1,b52e1d9753015e28
76561197987713664,dev1ce,2,800,700,900,pistol,1,b52e1d9753015e28
76561198081484775,sh1ro,3,800,650,850,pistol,1,b52e1d9753015e28
76561198120557348,jabbi,2,3400,3400,3600,semi,2,b52e1d9753015e28
76561198004115516,cadiaN,2,4000,4000,2550,semi,2,b52e1d9753015e28
76561198081484775,sh1ro,3,2050,0,200,eco,2,b52e1d9753015e28
76561198386265483,donk,3,2050,50,250,eco,2,b52e1d9753015e28
76561198022365638,stavn,2,4600,4600,4900,full,2,b52e1d9753015e28
76561198045898864,chopper,3,2200,200,400,eco,2,b52e1d9753015e28
76561198005107817,Staehr,2,3400,3250,5100,full,2,b52e1d9753015e28
76561198995880877,zont1x,3,2050,0,200,eco,2,b52e1d9753015e28
76561197987713664,dev1ce,2,3350,3300,3600,semi,2,b52e1d9753015e28
76561199063238565,magixx,3,2050,0,200,eco,2,b52e1d9753015e28
76561198386265483,donk,3,4400,4400,4600,full,3,b52e1d9753015e28
76561198045898864,chopper,3,4400,4350,4550,full,3,b52e1d9753015e28
76561198995880877,zont1x,3,4450,4200,4700,full,3,b52e1d9753015e28
76561198004115516,cadiaN,2,4450,900,3450,semi,3,b52e1d9753015e28
76561198081484775,sh1ro,3,4450,4350,4550,full,3,b52e1d9753015e28
76561198120557348,jabbi,2,3250,600,4200,full,3,b52e1d9753015e28
76561198022365638,stavn,2,3850,700,5100,full,3,b52e1d9753015e28
76561198005107817,Staehr,2,3400,400,5100,full,3,b52e1d9753015e28
76561197987713664,dev1ce,2,3900,400,4200,full,3,b52e1d9753015e28
76561199063238565,magixx,3,4450,4350,4850,full,3,b52e1d9753015e28
76561198995880877,zont1x,3,3500,2700,5800,full,4,b52e1d9753015e28
76561197987713664,dev1ce,2,4900,4800,5000,full,4,b52e1d9753015e28
76561198004115516,cadiaN,2,4950,4800,5000,full,4,b52e1d9753015e28
76561198081484775,sh1ro,3,3650,1000,4850,full,4,b52e1d9753015e28
76561198386265483,donk,3,3850,1400,5600,full,4,b52e1d9753015e28
76561198022365638,stavn,2,4850,4800,5000,full,4,b52e1d9753015e28
76561198045898864,chopper,3,3300,1300,5400,full,4,b52e1d9753015e28
76561199063238565,magixx,3,3950,3950,5100,full,4,b52e1d9753015e28
76561198120557348,jabbi,2,4050,4000,4600,full,4,b52e1d9753015e28
76561198005107817,Staehr,2,4400,4400,4600,full,4,b52e1d9753015e28
76561198386265483,donk,3,4350,4200,4600,full,5,b52e1d9753015e28
76561198022365638,stavn,2,4200,3500,5200,full,5,b52e1d9753015e28
76561198045898864,chopper,3,3900,3750,3750,force-buy,5,b52e1d9753015e28
76561198005107817,Staehr,2,3250,2200,5100,full,5,b52e1d9753015e28
76561198995880877,zont1x,3,2700,2700,2900,force-buy,5,b52e1d9753015e28
76561197987713664,dev1ce,2,3350,1100,5200,full,5,b52e1d9753015e28
76561198004115516,cadiaN,2,3700,1400,5100,full,5,b52e1d9753015e28
76561199063238565,magixx,3,2200,2200,2400,force-buy,5,b52e1d9753015e28
76561198081484775,sh1ro,3,4550,4550,4750,full,5,b52e1d9753015e28
76561198120557348,jabbi,2,3900,1100,5000,full,5,b52e1d9753015e28
76561198120557348,jabbi,2,6050,3500,5000,full,6,b52e1d9753015e28
76561198386265483,donk,3,2550,700,700,eco,6,b52e1d9753015e28
76561198022365638,stavn,2,4250,2200,5100,full,6,b52e1d9753015e28
76561198045898864,chopper,3,3750,0,200,eco,6,b52e1d9753015e28
76561197987713664,dev1ce,2,6400,1200,5300,full,6,b52e1d9753015e28
76561199063238565,magixx,3,2400,600,900,eco,6,b52e1d9753015e28
76561198005107817,Staehr,2,4600,2200,5100,full,6,b52e1d9753015e28
76561198995880877,zont1x,3,2400,600,600,eco,6,b52e1d9753015e28
76561198004115516,cadiaN,2,5850,1950,3450,semi,6,b52e1d9753015e28
76561198081484775,sh1ro,3,2400,700,700,eco,6,b52e1d9753015e28
76561198004115516,cadiaN,2,7150,4900,5100,full,7,b52e1d9753015e28
76561199063238565,magixx,3,4700,4650,4850,full,7,b52e1d9753015e28
76561198386265483,donk,3,5350,5200,5400,full,7,b52e1d9753015e28
76561198005107817,Staehr,2,5950,4900,5100,full,7,b52e1d9753015e28
76561198995880877,zont1x,3,4700,4650,4850,full,7,b52e1d9753015e28
76561198081484775,sh1ro,3,4600,4550,6600,full,7,b52e1d9753015e28
76561198120557348,jabbi,2,5800,4800,5000,full,7,b52e1d9753015e28
76561198022365638,stavn,2,5900,1200,5100,full,7,b52e1d9753015e28
76561198045898864,chopper,3,6950,6850,5200,full,7,b52e1d9753015e28
76561197987713664,dev1ce,2,9350,900,5300,full,7,b52e1d9753015e28
76561199063238565,magixx,3,3450,2200,2400,semi,8,b52e1d9753015e28
76561198386265483,donk,3,3550,2250,2450,semi,8,b52e1d9753015e28
76561198022365638,stavn,2,7950,4900,5100,full,8,b52e1d9753015e28
76561198005107817,Staehr,2,4300,900,5100,full,8,b52e1d9753015e28
76561198995880877,zont1x,3,3450,1550,1550,semi,8,b52e1d9753015e28
76561197987713664,dev1ce,2,12600,800,5400,full,8,b52e1d9753015e28
76561198004115516,cadiaN,2,6100,300,5100,full,8,b52e1d9753015e28
76561198081484775,sh1ro,3,3450,950,1450,semi,8,b52e1d9753015e28
76561198120557348,jabbi,2,4550,700,5000,full,8,b52e1d9753015e28
76561198045898864,chopper,3,3800,2450,1950,semi,8,b52e1d9753015e28
76561198120557348,jabbi,2,7650,900,5000,full,9,b52e1d9753015e28
76561198005107817,Staehr,2,7200,700,5200,full,9,b52e1d9753015e28
76561197987713664,dev1ce,2,15300,7350,7350,full,9,b52e1d9753015e28
76561198386265483,donk,3,4700,4700,4900,full,9,b52e1d9753015e28
76561198022365638,stavn,2,7150,900,5100,full,9,b52e1d9753015e28
76561198045898864,chopper,3,5050,5050,5050,full,9,b52e1d9753015e28
76561198995880877,zont1x,3,5300,5250,5450,full,9,b52e1d9753015e28
76561198004115516,cadiaN,2,9600,1100,5300,full,9,b52e1d9753015e28
76561199063238565,magixx,3,4650,4600,5450,full,9,b52e1d9753015e28
76561198081484775,sh1ro,3,5900,5900,6300,full,9,b52e1d9753015e28
76561198022365638,stavn,2,7950,4900,5100,full,10,b52e1d9753015e28
76561198045898864,chopper,3,3250,2050,5800,full,10,b52e1d9753015e28
76561198005107817,Staehr,2,7900,4900,5100,full,10,b52e1d9753015e28
76561198995880877,zont1x,3,3600,3200,3400,semi,10,b52e1d9753015e28
76561197987713664,dev1ce,2,9350,6850,7050,full,10,b52e1d9753015e28
76561198004115516,cadiaN,2,10500,5100,5100,full,10,b52e1d9753015e28
76561199063238565,magixx,3,3900,3550,3750,semi,10,b52e1d9753015e28
76561198081484775,sh1ro,3,3550,3500,6200,full,10,b52e1d9753015e28
76561198120557348,jabbi,2,8150,5100,5100,full,10,b52e1d9753015e28
76561198386265483,donk,3,3550,2700,5800,full,10,b52e1d9753015e28
76561198022365638,stavn,2,6900,4900,5100,full,11,b52e1d9753015e28
76561198045898864,chopper,3,4400,4350,4550,full,11,b52e1d9753015e28
76561198995880877,zont1x,3,4500,4350,4550,full,11,b52e1d9753015e28
76561197987713664,dev1ce,2,6050,1700,7150,full,11,b52e1d9753015e28
76561199063238565,magixx,3,3250,3250,3450,force-buy,11,b52e1d9753015e28
76561198081484775,sh1ro,3,2950,2900,3100,force-buy,11,b52e1d9753015e28
76561198386265483,donk,3,4050,3900,4100,force-buy,11,b52e1d9753015e28
76561198005107817,Staehr,2,6250,4900,5100,full,11,b52e1d9753015e28
76561198004115516,cadiaN,2,8650,5100,5100,full,11,b52e1d9753015e28
76561198120557348,jabbi,2,6600,4800,5000,full,11,b52e1d9753015e28
76561198995880877,zont1x,3,3850,3850,4250,force-buy,12,b52e1d9753015e28
76561198004115516,cadiaN,2,6800,5100,5100,full,12,b52e1d9753015e28
76561199063238565,magixx,3,3400,3300,4000,force-buy,12,b52e1d9753015e28
76561198386265483,donk,3,3850,3850,4050,force-buy,12,b52e1d9753015e28
76561198022365638,stavn,2,6450,3200,5200,full,12,b52e1d9753015e28
76561198005107817,Staehr,2,4900,3100,5600,full,12,b52e1d9753015e28
