frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
17429,13619,1,3,2,0,76561198012872053,huNter,0,0,428db1f9ec319bd3
26777,21245,2,4,2,0,76561198074762801,m0NESY,0,0,428db1f9ec319bd3
46620,36913,4,2,3,0,76561198081484775,sh1ro,0,0,428db1f9ec319bd3
52957,41830,5,4,3,0,76561198386265483,donk,0,1,428db1f9ec319bd3
69341,54978,6,2,3,0,76561198386265483,donk,0,0,428db1f9ec319bd3
77917,61794,7,5,2,0,76561198012872053,huNter,0,0,428db1f9ec319bd3
87786,69858,8,5,2,0,76561198012872053,huNter,0,1,428db1f9ec319bd3
94446,74887,9,5,2,0,76561198074762801,m0NESY,0,2,428db1f9ec319bd3
107282,85160,10,5,2,0,76561198080703143,malbsMd,0,1,428db1f9ec319bd3
120232,95396,11,3,2,0,76561198041683378,NiKo,0,0,428db1f9ec319bd3
125366,99204,12,4,3,0,76561198995880877,zont1x,0,2,428db1f9ec319bd3
151683,120296,13,4,2,0,76561198081484775,sh1ro,0,1,428db1f9ec319bd3
163317,129546,14,5,2,0,76561198081484775,sh1ro,0,0,428db1f9ec319bd3
186503,147888,16,5,2,0,76561198995880877,zont1x,0,1,428db1f9ec319bd3
192846,152845,17,3,2,0,76561198081484775,sh1ro,0,0,428db1f9ec319bd3
200822,158996,18,2,2,0,76561198081484775,sh1ro,0,1,428db1f9ec319bd3
201112,159254,18,1,3,1,76561198074762801,m0NESY,1,1,428db1f9ec319bd3
215096,170288,19,3,2,0,76561199063238565,magixx,0,2,428db1f9ec319bd3
217021,171999,19,1,3,1,76561198074762801,m0NESY,1,1,428db1f9ec319bd3
229688,182175,20,2,2,0,76561199063238565,magixx,0,1,428db1f9ec319bd3
230103,182541,20,1,3,1,76561197982141573,Snax,1,1,428db1f9ec319bd3
