steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561197972242917,JACKZ,2,800,650,850,eco,1,8daa396e113e118c
76561197978835160,flameZ,2,800,700,900,eco,1,8daa396e113e118c
76561197989744167,apEX,2,800,800,900,eco,1,8daa396e113e118c
76561198113666193,ZywOo,2,800,650,850,eco,1,8daa396e113e118c
76561198063336407,Spinx,2,800,650,1150,semi,1,8daa396e113e118c
76561198041683378,NiKo,3,800,650,1050,semi,1,8daa396e113e118c
76561197982141573,Snax,3,800,800,700,eco,1,8daa396e113e118c
76561198080703143,malbsMd,3,800,650,950,eco,1,8daa396e113e118c
76561198074762801,m0NESY,3,800,650,850,eco,1,8daa396e113e118c
76561198012872053,huNter,3,800,650,850,eco,1,8daa396e113e118c
76561197978835160,flameZ,2,2900,2750,2650,force-buy,2,8daa396e113e118c
76561197982141573,Snax,3,3800,3750,3450,semi,2,8daa396e113e118c
76561198063336407,Spinx,2,2950,2050,2750,semi,2,8daa396e113e118c
76561198074762801,m0NESY,3,4250,4200,4500,full,2,8daa396e113e118c
76561198041683378,NiKo,3,3950,3900,4400,semi,2,8daa396e113e118c
76561198012872053,huNter,3,4250,4200,4700,full,2,8daa396e113e118c
76561197989744167,apEX,2,2500,2500,2500,force-buy,2,8daa396e113e118c
76561198113666193,ZywOo,2,2650,1850,1850,semi,2,8daa396e113e118c
76561198080703143,malbsMd,3,3650,3550,3750,semi,2,8daa396e113e118c
76561197972242917,JACKZ,2,2950,2950,3150,force-buy,2,8daa396e113e118c
76561197982141573,Snax,3,3300,1000,3750,semi,3,8daa396e113e118c
76561197989744167,apEX,2,2400,700,700,eco,3,8daa396e113e118c
76561198113666193,ZywOo,2,3500,700,700,eco,3,8daa396e113e118c
76561198063336407,Spinx,2,2850,1150,1150,semi,3,8daa396e113e118c
76561198074762801,m0NESY,3,3900,1700,5900,full,3,8daa396e113e118c
76561197972242917,JACKZ,2,2400,500,500,eco,3,8daa396e113e118c
76561197978835160,flameZ,2,2550,700,700,eco,3,8daa396e113e118c
76561198080703143,malbsMd,3,4550,3950,4150,semi,3,8daa396e113e118c
76561198041683378,NiKo,3,3300,2300,5400,full,3,8daa396e113e118c
76561198012872053,huNter,3,3600,3400,5200,full,3,8daa396e113e118c
76561197972242917,JACKZ,2,4800,4700,4600,full,4,8daa396e113e118c
76561197982141573,Snax,3,5550,800,3750,semi,4,8daa396e113e118c
76561197989744167,apEX,2,4600,4600,4800,full,4,8daa396e113e118c
76561198113666193,ZywOo,2,5700,5700,5900,full,4,8daa396e113e118c
76561198063336407,Spinx,2,4600,4600,5000,full,4,8daa396e113e118c
76561198080703143,malbsMd,3,3850,1300,6300,full,4,8daa396e113e118c
76561198041683378,NiKo,3,4850,600,5700,full,4,8daa396e113e118c
76561197978835160,flameZ,2,4750,4600,4800,full,4,8daa396e113e118c
76561198074762801,m0NESY,3,6350,5050,7950,full,4,8daa396e113e118c
76561198012872053,huNter,3,3450,1300,5700,full,4,8daa396e113e118c
76561197982141573,Snax,3,6150,1000,3750,semi,5,8daa396e113e118c
76561197989744167,apEX,2,3500,1100,5000,full,5,8daa396e113e118c
76561198074762801,m0NESY,3,2700,600,7950,full,5,8daa396e113e118c
76561198041683378,NiKo,3,5650,4950,5150,full,5,8daa396e113e118c
76561197978835160,flameZ,2,3650,1200,5100,full,5,8daa396e113e118c
76561198113666193,ZywOo,2,3500,2200,7150,full,5,8daa396e113e118c
76561198063336407,Spinx,2,3500,700,5100,full,5,8daa396e113e118c
76561198080703143,malbsMd,3,3950,1500,6200,full,5,8daa396e113e118c
76561198012872053,huNter,3,3550,1300,5700,full,5,8daa396e113e118c
76561197972242917,JACKZ,2,4200,1200,5100,full,5,8daa396e113e118c
76561197972242917,JACKZ,2,7100,3900,5100,full,6,8daa396e113e118c
76561197982141573,Snax,3,7050,7000,5200,full,6,8daa396e113e118c
76561197989744167,apEX,2,5900,1000,5100,full,6,8daa396e113e118c
76561198063336407,Spinx,2,6300,2200,5100,full,6,8daa396e113e118c
76561198080703143,malbsMd,3,4350,4000,4200,force-buy,6,8daa396e113e118c
76561197978835160,flameZ,2,6850,4900,5100,full,6,8daa396e113e118c
76561198113666193,ZywOo,2,4800,1400,7050,full,6,8daa396e113e118c
76561198074762801,m0NESY,3,4000,2700,7650,full,6,8daa396e113e118c
76561198041683378,NiKo,3,2900,2350,5550,full,6,8daa396e113e118c
76561198012872053,huNter,3,4150,4150,4350,force-buy,6,8daa396e113e118c
76561197978835160,flameZ,2,5750,2200,5100,full,7,8daa396e113e118c
76561197982141573,Snax,3,2450,2250,3750,force-buy,7,8daa396e113e118c
76561198113666193,ZywOo,2,6900,1400,7450,full,7,8daa396e113e118c
76561198063336407,Spinx,2,7900,3400,5100,full,7,8daa396e113e118c
76561198080703143,malbsMd,3,2750,2700,5800,full,7,8daa396e113e118c
76561198041683378,NiKo,3,2950,2350,5450,full,7,8daa396e113e118c
76561198012872053,huNter,3,3000,2900,4350,force-buy,7,8daa396e113e118c
76561197972242917,JACKZ,2,6700,1200,5100,full,7,8daa396e113e118c
76561197989744167,apEX,2,8700,4900,5100,full,7,8daa396e113e118c
76561198074762801,m0NESY,3,3700,1200,7050,full,7,8daa396e113e118c
76561198074762801,m0NESY,3,5950,3900,7550,full,8,8daa396e113e118c
