steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198113666193,ZywOo,2,800,650,950,pistol,1,c37ee9184f0fccf3
76561197978835160,flameZ,2,800,650,850,pistol,1,c37ee9184f0fccf3
76561197977105184,jks,3,800,650,850,pistol,1,c37ee9184f0fccf3
76561198134401925,YEKINDAR,3,800,700,1600,pistol,1,c37ee9184f0fccf3
76561197972242917,JACKZ,2,800,800,500,pistol,1,c37ee9184f0fccf3
76561198001151695,NAF-FLY,3,800,700,900,pistol,1,c37ee9184f0fccf3
76561198016255205,Twistzz,3,800,650,850,pistol,1,c37ee9184f0fccf3
76561197989744167,apEX,2,800,700,1100,pistol,1,c37ee9184f0fccf3
76561198063336407,Spinx,2,800,650,850,pistol,1,c37ee9184f0fccf3
76561198283989223,ultimate,3,800,650,850,pistol,1,c37ee9184f0fccf3
76561198063336407,Spinx,2,4550,4250,5100,full,2,c37ee9184f0fccf3
76561198113666193,ZywOo,2,3650,3500,3700,semi,2,c37ee9184f0fccf3
76561197977105184,jks,3,2350,1950,1950,force-buy,2,c37ee9184f0fccf3
76561197972242917,JACKZ,2,3800,3700,3700,semi,2,c37ee9184f0fccf3
76561198016255205,Twistzz,3,2050,1900,2100,force-buy,2,c37ee9184f0fccf3
76561197989744167,apEX,2,3600,3500,3700,semi,2,c37ee9184f0fccf3
76561198283989223,ultimate,3,2050,1700,1900,force-buy,2,c37ee9184f0fccf3
76561197978835160,flameZ,2,3950,3150,3350,semi,2,c37ee9184f0fccf3
76561198134401925,YEKINDAR,3,2000,2000,2000,force-buy,2,c37ee9184f0fccf3
76561198001151695,NAF-FLY,3,2300,2250,3050,force-buy,2,c37ee9184f0fccf3
76561197977105184,jks,3,2700,300,2200,semi,3,c37ee9184f0fccf3
76561198016255205,Twistzz,3,2550,300,1200,semi,3,c37ee9184f0fccf3
76561197989744167,apEX,2,3600,700,3900,semi,3,c37ee9184f0fccf3
76561198063336407,Spinx,2,4400,300,5100,full,3,c37ee9184f0fccf3
76561198113666193,ZywOo,2,3650,900,4100,full,3,c37ee9184f0fccf3
76561198134401925,YEKINDAR,3,2400,0,1700,semi,3,c37ee9184f0fccf3
76561197972242917,JACKZ,2,3600,1200,5100,full,3,c37ee9184f0fccf3
76561198001151695,NAF-FLY,3,2450,300,500,eco,3,c37ee9184f0fccf3
76561198283989223,ultimate,3,2750,0,2100,semi,3,c37ee9184f0fccf3
76561197978835160,flameZ,2,4900,3250,3450,semi,3,c37ee9184f0fccf3
76561198134401925,YEKINDAR,3,5300,5200,5400,full,4,c37ee9184f0fccf3
76561197972242917,JACKZ,2,5900,4900,5100,full,4,c37ee9184f0fccf3
76561198016255205,Twistzz,3,5150,4850,5050,full,4,c37ee9184f0fccf3
76561198113666193,ZywOo,2,6250,900,7050,full,4,c37ee9184f0fccf3
76561197977105184,jks,3,6200,5600,5800,full,4,c37ee9184f0fccf3
76561198001151695,NAF-FLY,3,5050,4900,5100,full,4,c37ee9184f0fccf3
76561197989744167,apEX,2,6700,2100,4100,full,4,c37ee9184f0fccf3
76561198063336407,Spinx,2,7900,4750,5100,full,4,c37ee9184f0fccf3
