frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
10987,8924,1,ZywOo,76561198113666193,2,Vitality,Brollan,76561198138828475,3,MOUZ,flameZ,76561197978835160,2,Vitality,P250,pistol,1,0,0,0,0,0,-1945.400391,1274.334229,30.587845,0,0,-1958.875366,1829.622192,26.783291,0,1,0,-2025.685303,1527.902344,33.851486,0,0,1,0,14.049204,feb54802b6a9c832
11323,9210,1,siuhy,76561198150673360,3,MOUZ,Spinx,76561198063336407,2,Vitality,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1304.114258,2681.436523,130.031250,0,0,-2155.690674,2008.687134,4.263466,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,27.802923,feb54802b6a9c832
11387,9259,1,siuhy,76561198150673360,3,MOUZ,ZywOo,76561198113666193,2,Vitality,Jimpphat,76561198855375325,3,MOUZ,USP-S,pistol,1,0,0,0,0,0,-1308.693359,2683.613525,130.031250,0,0,-2072.806641,1838.763916,20.151060,0,1,0,-2090.936768,2905.031250,33.697266,0,0,0,0,29.003027,feb54802b6a9c832
11473,9332,1,siuhy,76561198150673360,3,MOUZ,flameZ,76561197978835160,2,Vitality,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1255.284546,2671.322998,127.899612,0,0,-1784.604736,2586.953125,31.842579,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,13.834298,feb54802b6a9c832
11556,9405,1,siuhy,76561198150673360,3,MOUZ,apEX,76561197989744167,2,Vitality,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1345.780884,2677.360596,130.031250,0,0,-1386.856323,2135.095459,1.718386,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.168347,feb54802b6a9c832
11681,9493,1,siuhy,76561198150673360,3,MOUZ,JACKZ,76561197972242917,2,Vitality,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1363.762207,2672.557861,130.031250,0,0,-2088.338623,2057.983398,2.148409,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.334297,feb54802b6a9c832
16172,12864,2,Brollan,76561198138828475,3,MOUZ,apEX,76561197989744167,2,Vitality,,0,0,,MP9,smg,0,0,0,0,0,0,-2019.272461,2036.735718,-0.311401,0,0,-1874.555298,1095.906372,81.331467,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.235296,feb54802b6a9c832
17636,14109,2,Brollan,76561198138828475,3,MOUZ,flameZ,76561197978835160,2,Vitality,,0,0,,MP9,smg,0,0,0,0,0,0,-595.601929,2200.417969,-121.776855,0,0,-565.757019,1743.440674,-115.339478,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,11.649287,feb54802b6a9c832
18072,14489,2,Brollan,76561198138828475,3,MOUZ,ZywOo,76561198113666193,2,Vitality,,0,0,,MP9,smg,1,0,0,0,0,0,-602.454895,2286.427002,-118.229126,0,0,-347.420288,1364.760132,-27.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,24.361509,feb54802b6a9c832
18706,15029,2,siuhy,76561198150673360,3,MOUZ,JACKZ,76561197972242917,2,Vitality,,0,0,,M4A1,rifle,1,0,0,0,0,0,1356.589844,2753.442627,107.447754,0,0,321.568115,2003.382446,98.137184,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.474148,feb54802b6a9c832
