frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
707,478,1,76561198355739212,2,torzsi,Desert Eagle,pistol,01JM6DD968BKSC5AH8QMD124TN,0,fe36626287e46b88
965,667,1,76561197989744167,3,apEX,Defuse Kit,equipment,01JM6DD96F04T7F2YJYYFKW7VA,0,fe36626287e46b88
966,668,1,76561198063336407,3,Spinx,Kevlar Vest,equipment,01JM6DD96F04T7F2YJYZB5RYHE,0,fe36626287e46b88
993,690,1,76561198138828475,2,Brollan,Kevlar Vest,equipment,01JM6DD96F04T7F2YJZ3B4Q4VY,0,fe36626287e46b88
1049,735,1,76561198855375325,2,Jimpphat,Smoke Grenade,grenade,01JM6DD96G3E5Y9GY8B117R3WY,0,fe36626287e46b88
1051,737,1,76561197989744167,3,apEX,HE Grenade,grenade,01JM6DD96G3E5Y9GY8B73VYC2B,0,fe36626287e46b88
1064,748,1,76561198855375325,2,Jimpphat,Molotov,grenade,01JM6DD96B7S3R42Y2AQ6VCXJN,0,fe36626287e46b88
1363,998,1,76561198193174134,2,xertioN,Kevlar Vest,equipment,01JM6DD96N7STM55NXHBZDSFDK,0,fe36626287e46b88
1396,1029,1,76561197978835160,3,flameZ,Kevlar Vest,equipment,01JM6DD96N7STM55NXHEKC9ACF,0,fe36626287e46b88
1406,1038,1,76561198150673360,2,siuhy,Flashbang,grenade,01JM6DD96N7STM55NXHMTA12QH,0,fe36626287e46b88
1453,1081,1,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM6DD96QYK2ZXQM913TG3MN9,0,fe36626287e46b88
1464,1091,1,76561198150673360,2,siuhy,Molotov,grenade,01JM6DD96QYK2ZXQM9182WM21E,0,fe36626287e46b88
15303,12457,2,76561198063336407,3,Spinx,M4A1,rifle,01JM6DD9K928JSHK1FRJSYHR3X,0,fe36626287e46b88
15330,12477,2,76561198063336407,3,Spinx,Kevlar + Helmet,equipment,01JM6DD9K928JSHK1FRMVJEJ42,0,fe36626287e46b88
15379,12509,2,76561198113666193,3,ZywOo,Kevlar + Helmet,equipment,01JM6DD9KAQGGYT3E0NBXZR8Y9,0,fe36626287e46b88
15469,12565,2,76561198113666193,3,ZywOo,FAMAS,rifle,01JM6DD9K5TW5CCA7G6NPHJ4DY,0,fe36626287e46b88
15563,12623,2,76561198113666193,3,ZywOo,Smoke Grenade,grenade,01JM6DD9KDDNEACMMQQ73SCNBM,0,fe36626287e46b88
15574,12629,2,76561197978835160,3,flameZ,Kevlar + Helmet,equipment,01JM6DD9KDDNEACMMQQ7W0AY41,0,fe36626287e46b88
15581,12634,2,76561198113666193,3,ZywOo,Flashbang,grenade,01JM6DD9K928JSHK1FRGS449X9,0,fe36626287e46b88
15612,12653,2,76561198063336407,3,Spinx,Smoke Grenade,grenade,01JM6DD9KESNK3GMAGPPM7AQP9,0,fe36626287e46b88
15612,12653,2,76561197978835160,3,flameZ,M4A1,rifle,01JM6DD9KESNK3GMAGPSJWCVH3,0,fe36626287e46b88
15616,12656,2,76561198193174134,2,xertioN,AK-47,rifle,01JM6DD9K3ZCXP5V1P9B6JVE4H,0,fe36626287e46b88
15616,12656,2,76561198193174134,2,xertioN,Kevlar + Helmet,equipment,01JM6DD9KESNK3GMAGPVX8VBTD,0,fe36626287e46b88
15621,12661,2,76561198193174134,2,xertioN,Smoke Grenade,grenade,01JM6DD9KESNK3GMAGPY8X80CH,0,fe36626287e46b88
15663,12692,2,76561197989744167,3,apEX,M4A1,rifle,01JM6DD9KF580JD26W7NCVDK10,0,fe36626287e46b88
15667,12696,2,76561197978835160,3,flameZ,Smoke Grenade,grenade,01JM6DD9KF580JD26W7R81HAFQ,0,fe36626287e46b88
15682,12711,2,76561197972242917,3,JACKZ,MP9,smg,01JM6DD9KF580JD26W7VAZ6KFF,0,fe36626287e46b88
15737,12750,2,76561197972242917,3,JACKZ,Kevlar + Helmet,equipment,01JM6DD9KGJBS4943WZD10XWXD,0,fe36626287e46b88
15777,12776,2,76561197972242917,3,JACKZ,Incendiary Grenade,grenade,01JM6DD9K3ZCXP5V1P98TCMN5F,0,fe36626287e46b88
15804,12792,2,76561197972242917,3,JACKZ,Smoke Grenade,grenade,01JM6DD9K3ZCXP5V1P9CXNSDMK,0,fe36626287e46b88
15816,12803,2,76561197972242917,3,JACKZ,HE Grenade,grenade,01JM6DD9K3ZCXP5V1P917S4CSS,0,fe36626287e46b88
15840,12815,2,76561197972242917,3,JACKZ,Flashbang,grenade,01JM6DD9K4AHA9WK9B8Z4PG06B,0,fe36626287e46b88
15990,12917,2,76561197989744167,3,apEX,Kevlar Vest,equipment,01JM6DD9KM4Q0ZA1GJZ8GB76ZE,0,fe36626287e46b88
16034,12949,2,76561198138828475,2,Brollan,Galil AR,rifle,01JM6DD9KM4Q0ZA1GJZ9YKDCZK,0,fe36626287e46b88
16056,12969,2,76561198138828475,2,Brollan,Kevlar Vest,equipment,01JM6DD9KN31QAZ87TBJ5H9X3D,0,fe36626287e46b88
16104,13004,2,76561197989744167,3,apEX,Smoke Grenade,grenade,01JM6DD9KPBTKXJGRTAK2YBHZN,0,fe36626287e46b88
16106,13005,2,76561198855375325,2,Jimpphat,Kevlar Vest,equipment,01JM6DD9KPBTKXJGRTAQCE4N0H,0,fe36626287e46b88
16137,13028,2,76561198855375325,2,Jimpphat,Galil AR,rifle,01JM6DD96G3E5Y9GY8B3AT5JBF,1,fe36626287e46b88
16156,13043,2,76561198138828475,2,Brollan,Flashbang,grenade,01JM6DD966MGPR4428ZA9D9YYP,0,fe36626287e46b88
16213,13090,2,76561198355739212,2,torzsi,SSG 08,sniper,01JM6DD9KR7F6RHFD49Q3G03FQ,0,fe36626287e46b88
16239,13110,2,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM6DD9KS54EV8VF03QQFWSKX,0,fe36626287e46b88
16350,13192,2,76561198355739212,2,torzsi,Smoke Grenade,grenade,01JM6DD9KTNZTK84CDW2EN36RR,0,fe36626287e46b88
16557,13340,2,76561198855375325,2,Jimpphat,Desert Eagle,pistol,01JM6DD9KX0RK03TVX4HVJBRVP,1,fe36626287e46b88
16606,13369,2,76561198855375325,2,Jimpphat,Kevlar + Helmet,equipment,01JM6DD9KYE3FFWDA96T715WN2,0,fe36626287e46b88
16642,13391,2,76561198855375325,2,Jimpphat,Smoke Grenade,grenade,01JM6DD9KZ5MVFFW8CVT7813RK,1,fe36626287e46b88
16859,13547,2,76561198150673360,2,siuhy,Tec-9,pistol,01JM6DD9M2DVRX3K7QVPXWTTXQ,0,fe36626287e46b88
16882,13563,2,76561198150673360,2,siuhy,Kevlar + Helmet,equipment,01JM6DD9M2DVRX3K7QVSGPGVZX,0,fe36626287e46b88
16914,13583,2,76561198150673360,2,siuhy,Smoke Grenade,grenade,01JM6DD9M325ZRV7QK7ENBESD0,0,fe36626287e46b88
16931,13596,2,76561198150673360,2,siuhy,Flashbang,grenade,01JM6DD9M325ZRV7QK7HMFVKF9,0,fe36626287e46b88
24964,20251,3,76561198113666193,3,ZywOo,Defuse Kit,equipment,01JM6DDA07QQK3A1DPJ1ESVXM4,0,fe36626287e46b88
24986,20269,3,76561198113666193,3,ZywOo,Incendiary Grenade,grenade,01JM6DDA07QQK3A1DPJ23QC711,0,fe36626287e46b88
25007,20280,3,76561198113666193,3,ZywOo,Smoke Grenade,grenade,01JM6DDA04VYHW376A6Z7CE7N8,0,fe36626287e46b88
25027,20290,3,76561198113666193,3,ZywOo,Flashbang,grenade,01JM6DDA08F4J32QS3TR4HFT6F,0,fe36626287e46b88
25049,20304,3,76561198113666193,3,ZywOo,HE Grenade,grenade,01JM6DDA0549MMAKDAG0NVV1ZZ,0,fe36626287e46b88
25096,20339,3,76561197972242917,3,JACKZ,Incendiary Grenade,grenade,01JM6DDA0549MMAKDAG0VEAJ8B,0,fe36626287e46b88
25110,20352,3,76561197972242917,3,JACKZ,HE Grenade,grenade,01JM6DDA09BBF1QCYGKTGVSKZC,0,fe36626287e46b88
25198,20411,3,76561197972242917,3,JACKZ,Defuse Kit,equipment,01JM6DDA0AAKSDZ7CHPDBME2CJ,0,fe36626287e46b88
