name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
cadiaN,76561198004115516,21,Astralis,7,2,13,3,42,0.538462,78.947372,36.000000,0.368421,0.684211,0.421053,1,-1,0,0,0,1,0,0,684,129,8,8,9,10,6,6,4,3,1,1,1,4,6,9,5,5,0,1,1,5,0,0,5,1,0,0,0,0.717274,0.596613,CSGO-epZ4P-q6Nyk-MuvPW-bD24O-uhmwG,1,0,396cb5177b9dae02
iM,76561198050250233,30,Natus Vincere,12,3,16,6,50,0.750000,47.368423,68.210526,0.631579,0.842105,0.263158,2,-1,0,0,0,0,1,0,1296,226,5,6,7,8,4,4,3,2,0,0,0,3,5,8,4,4,1,3,0,4,0,1,1,4,1,0,0,0.738380,0.870524,CSGO-rsDHb-QDmGE-VikD2-dApWC-kJCEB,1,0,396cb5177b9dae02
stavn,76561198022365638,59,Astralis,22,3,10,11,50,2.200000,89.473686,113.315788,1.157895,0.526316,4.842105,4,-1,0,0,0,3,2,0,2153,236,92,6,7,8,4,4,4,3,1,1,1,2,4,7,3,3,4,0,1,3,0,0,10,4,0,1,0,1.813283,1.660117,CSGO-R4VWt-GuLXO-er6Ha-QJZN3-qdq3B,2,0,396cb5177b9dae02
Staehr,76561198005107817,33,Astralis,14,3,14,7,50,1.000000,68.421051,82.210526,0.736842,0.736842,7.736842,2,-1,0,0,0,1,1,0,1562,239,147,6,7,8,4,4,3,2,0,0,0,3,5,8,4,4,1,2,5,0,0,0,8,3,0,0,0,1.083942,0.922442,CSGO-tcLe2-hWr4m-YLDyq-LxskU-fcEBM,0,0,396cb5177b9dae02
jL,76561198176878303,20,Natus Vincere,7,6,18,5,71,0.388889,68.421051,46.105263,0.368421,0.947368,2.000000,0,-1,0,0,0,0,0,0,876,194,38,5,6,7,3,3,3,2,0,0,0,2,4,7,3,3,1,2,0,3,0,0,7,0,0,0,0,0.553506,0.350859,CSGO-w7HCo-w5HYW-vkd2O-bQVhY-fxwPB,2,0,396cb5177b9dae02
dev1ce,76561197987713664,61,Astralis,21,6,8,6,28,2.625000,78.947372,109.578949,1.105263,0.421053,4.473684,4,-1,0,0,0,3,1,0,2082,241,85,9,10,11,7,7,5,4,2,2,2,4,6,9,5,5,4,0,4,2,0,0,6,3,3,0,0,1.750817,1.763292,CSGO-cnets-4GBkX-aKhsR-RnZHw-4jdBN,4,0,396cb5177b9dae02
w0nderful,76561199063068840,41,Natus Vincere,14,3,14,5,35,1.000000,63.157890,74.473686,0.736842,0.736842,5.263158,1,-1,0,0,0,3,1,0,1415,190,100,12,13,14,10,10,3,2,0,0,0,9,11,14,10,10,0,1,3,1,0,0,6,1,2,0,0,1.020763,1.044561,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,396cb5177b9dae02
b1t,76561198246607476,28,Natus Vincere,11,3,13,9,81,0.846154,52.631580,79.526314,0.578947,0.684211,1.157895,2,-1,0,0,0,0,1,0,1511,242,22,9,10,11,7,7,4,3,1,1,1,5,7,10,6,6,1,3,0,1,0,0,3,1,2,0,0,0.851662,0.955685,CSGO-TpLLK-EJ5vT-aYEpF-VphTW-k8aYO,3,0,396cb5177b9dae02
jabbi,76561198120557348,33,Astralis,12,7,16,10,83,0.750000,68.421051,86.157898,0.631579,0.842105,1.526316,2,-1,0,0,0,1,0,0,1637,169,29,6,7,8,4,4,3,2,0,0,0,3,5,8,4,4,4,3,2,4,0,0,7,1,1,0,0,0.970469,0.778935,CSGO-tcLe2-hWr4m-YLDyq-LxskU-fcEBM,3,0,396cb5177b9dae02
Aleksib,76561198013243326,44,Natus Vincere,17,4,15,8,47,1.133333,78.947372,109.000000,0.894737,0.789474,2.157895,1,-1,0,0,0,2,0,0,2071,375,41,7,8,9,5,5,3,2,0,0,0,4,6,9,5,5,3,4,6,1,0,1,5,6,0,0,0,1.360180,1.102906,CSGO-SkoGm-N5yir-M8p3V-QyOxC-z2urD,0,0,396cb5177b9dae02
