number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,521,647,4717,5833,9182,11036,9630,11772,Astralis,Natus Vincere,0,1,3,2,4000,4000,4400,4450,3400,3450,pistol,pistol,130531,9,Natus Vincere,2,0,6c692080c5f6abee
2,9630,11772,10910,13548,15614,19263,16062,19951,Astralis,Natus Vincere,0,2,3,2,11000,18600,11150,18000,10750,16900,force-buy,semi,94119,9,Natus Vincere,2,0,6c692080c5f6abee
3,16062,19951,17342,21729,20513,25537,20961,26228,Astralis,Natus Vincere,0,3,3,2,13450,19750,1900,24000,1500,17400,eco,full,70184,9,Natus Vincere,2,0,6c692080c5f6abee
4,20961,26228,22241,28035,26684,33377,27132,34053,Astralis,Natus Vincere,0,4,3,2,26450,20400,28100,24300,26100,3200,full,full,89822,1,Natus Vincere,2,0,6c692080c5f6abee
5,27132,34053,28412,35711,34066,42476,34514,43151,Astralis,Natus Vincere,1,4,3,2,18350,36200,13600,25400,7800,20600,semi,full,105829,8,Astralis,3,0,6c692080c5f6abee
6,34514,43151,35794,44921,39789,49703,40237,50341,Astralis,Natus Vincere,2,4,3,2,28200,22900,28550,23150,9350,22250,full,full,82321,8,Astralis,3,0,6c692080c5f6abee
7,40237,50341,41517,52112,45569,57019,46017,57603,Astralis,Natus Vincere,3,4,3,2,36400,11350,27600,3100,20100,2900,full,eco,83904,7,Astralis,3,0,6c692080c5f6abee
8,48700,61101,49980,62779,56998,71172,57446,71898,Astralis,Natus Vincere,4,4,3,2,35400,24050,30950,24550,9300,23250,full,full,126535,8,Astralis,3,0,6c692080c5f6abee
9,57446,71898,58726,73714,61327,76952,61775,77632,Astralis,Natus Vincere,5,4,3,2,43450,15600,30450,7200,9100,7500,full,semi,63500,8,Astralis,3,0,6c692080c5f6abee
10,61775,77632,63055,79405,69674,87284,70122,87975,Astralis,Natus Vincere,6,4,3,2,51900,25100,31250,25100,5800,24400,full,full,121271,8,Astralis,3,0,6c692080c5f6abee
11,70122,87975,71402,89762,77714,97259,78162,97932,Astralis,Natus Vincere,7,4,3,2,63650,18600,32250,8800,22950,8900,full,semi,116647,8,Astralis,3,0,6c692080c5f6abee
12,78162,97932,79442,99713,84975,106401,85935,107609,Astralis,Natus Vincere,7,5,3,2,58450,27600,34200,27450,31400,26650,full,full,106407,9,Natus Vincere,2,0,6c692080c5f6abee
13,85935,107609,98153,122557,101481,126377,101929,126987,Astralis,Natus Vincere,8,5,2,3,4000,4000,4300,4000,3300,3400,pistol,pistol,235808,9,Astralis,2,0,6c692080c5f6abee
14,101929,126987,103209,128805,109393,136085,109841,136735,Astralis,Natus Vincere,9,5,2,3,18750,10400,20850,1500,18450,700,full,eco,114310,9,Astralis,2,0,6c692080c5f6abee
15,109841,136735,111121,138478,116215,144465,116663,145031,Astralis,Natus Vincere,10,5,2,3,18350,22600,24500,23600,15400,22300,full,full,97122,9,Astralis,2,0,6c692080c5f6abee
16,116663,145031,117943,146823,124348,154333,124796,155007,Astralis,Natus Vincere,11,5,2,3,21000,15700,24800,8700,16500,8500,full,semi,116873,9,Astralis,2,0,6c692080c5f6abee
17,127468,158714,128748,160591,133265,166108,133713,166782,Astralis,Natus Vincere,12,5,2,3,22550,25100,23350,25750,14550,24750,full,full,92901,1,Astralis,2,0,6c692080c5f6abee
18,133713,166782,134993,168599,142353,177338,142801,177927,Astralis,Natus Vincere,12,6,2,3,27600,18650,23450,19500,22450,18200,full,force-buy,132629,12,Natus Vincere,3,0,6c692080c5f6abee
19,142801,177927,144081,179695,150236,187138,150236,187138,Astralis,Natus Vincere,13,6,2,3,18600,17050,15100,27000,10800,15650,force-buy,full,115730,9,Astralis,2,0,6c692080c5f6abee
