name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Aleksib,76561198013243326,40,Natus Vincere,16,4,13,3,18,1.230769,76.190475,73.047623,0.761905,0.619048,6.571429,1,-1,0,0,0,2,0,0,1534,264,138,6,9,6,7,5,2,1,0,0,0,4,8,6,7,5,1,2,5,1,0,0,8,4,0,0,0,1.199018,1.058619,CSGO-SkoGm-N5yir-M8p3V-QyOxC-z2urD,0,0,61978a585e80788f
w0nderful,76561199063068840,28,Natus Vincere,7,2,15,5,71,0.466667,52.380955,48.809525,0.333333,0.714286,2.333333,3,-1,0,0,0,3,0,0,1025,162,49,4,7,4,5,3,2,1,0,0,0,2,6,4,5,3,2,3,1,2,0,1,4,0,1,0,0,0.516977,0.595037,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,61978a585e80788f
ropz,76561197991272318,47,FaZe Clan,19,5,11,10,52,1.727273,90.476189,94.095238,0.904762,0.523810,3.904762,1,-1,0,0,0,0,1,0,1976,274,82,4,7,4,5,3,3,2,1,1,1,1,5,3,4,2,5,3,2,4,0,1,7,3,2,0,0,1.549629,1.393977,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,1,0,61978a585e80788f
b1t,76561198246607476,34,Natus Vincere,12,2,17,7,58,0.705882,61.904762,72.333336,0.571429,0.809524,0.904762,1,-1,0,0,0,1,0,0,1519,183,19,5,8,5,6,4,2,1,0,0,0,3,7,5,6,4,2,4,0,3,0,0,8,0,0,1,0,0.816819,0.798940,CSGO-TpLLK-EJ5vT-aYEpF-VphTW-k8aYO,1,0,61978a585e80788f
jL,76561198176878303,27,Natus Vincere,10,6,16,9,90,0.625000,71.428574,68.000000,0.476190,0.761905,2.714286,1,-1,0,0,0,0,0,0,1428,247,57,8,11,8,9,7,2,1,0,0,0,6,10,8,9,7,1,3,1,3,0,1,2,4,0,0,0,0.834510,0.703070,CSGO-w7HCo-w5HYW-vkd2O-bQVhY-fxwPB,2,0,61978a585e80788f
frozen,76561198068422762,40,FaZe Clan,15,3,8,7,46,1.875000,80.952385,75.904762,0.714286,0.380952,1.857143,5,-1,0,0,0,0,1,0,1594,119,39,5,8,5,6,4,3,2,1,1,1,2,6,4,5,3,1,1,4,2,0,0,3,3,2,0,0,1.323901,1.351671,CSGO-nJRo4-ru8c8-PeXA8-4uzFS-EXYwP,0,0,61978a585e80788f
karrigan,76561197989430253,25,FaZe Clan,9,9,13,5,55,0.692308,80.952385,51.095238,0.428571,0.619048,7.047619,1,-1,0,0,0,0,0,0,1073,97,148,4,7,4,5,3,2,1,0,0,0,2,6,4,5,3,2,0,1,3,0,0,4,1,1,0,0,0.899140,0.780121,CSGO-yfcfw-3ehpF-6xj4X-PvrDQ-Rx6KQ,4,0,61978a585e80788f
broky,76561198201620490,58,FaZe Clan,17,5,7,4,23,2.428571,95.238098,82.095238,0.809524,0.333333,2.047619,3,-1,0,0,0,6,0,0,1724,91,43,4,7,4,5,3,3,2,1,1,1,1,5,3,4,2,2,1,4,2,0,0,7,5,0,0,0,1.565178,1.359699,CSGO-nJRo4-ru8c8-PeXA8-4uzFS-EXYwP,3,0,61978a585e80788f
rain,76561197997351207,39,FaZe Clan,16,6,14,8,50,1.142857,80.952385,78.380951,0.761905,0.666667,3.000000,3,-1,0,0,0,0,0,0,1646,302,63,4,7,4,5,3,2,1,0,0,0,2,6,4,5,3,5,1,1,3,0,0,5,4,1,0,0,1.234958,1.102540,CSGO-vC7Jr-neLEG-GUoVy-UMH8D-OjPJM,2,0,61978a585e80788f
iM,76561198050250233,31,Natus Vincere,8,4,15,2,25,0.533333,61.904762,45.761906,0.380952,0.714286,1.809524,2,-1,0,0,0,3,0,0,961,176,38,4,7,4,5,3,2,1,0,0,0,2,6,4,5,3,0,3,3,3,0,1,4,2,0,0,0,0.627395,0.607201,CSGO-rsDHb-QDmGE-VikD2-dApWC-kJCEB,3,0,61978a585e80788f
