name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
frozen,76561198068422762,50,Natus Vincere,20,10,13,10,50,1.538462,84.210526,117.157898,1.052632,0.684211,9.631579,2,-1,0,0,0,1,1,0,2226,424,183,6,8,6,3,1,2,4,0,0,0,4,4,6,3,1,4,3,2,5,0,2,6,2,2,1,0,1.648735,1.565154,CSGO-nJRo4-ru8c8-PeXA8-4uzFS-EXYwP,0,0,af4da788cca3cf47
iM,76561198050250233,29,FaZe Clan,12,4,17,5,41,0.705882,63.157890,74.894737,0.631579,0.894737,0.000000,1,-1,0,0,0,1,0,0,1423,203,0,9,11,9,6,4,4,6,2,2,2,5,5,7,4,2,3,5,2,2,0,2,5,2,1,0,0,0.852228,0.766420,CSGO-rsDHb-QDmGE-VikD2-dApWC-kJCEB,3,0,af4da788cca3cf47
Aleksib,76561198013243326,30,FaZe Clan,13,4,16,7,53,0.812500,68.421051,60.684212,0.684211,0.842105,0.105263,1,-1,0,0,0,0,0,0,1153,236,2,8,10,8,5,3,2,4,0,0,0,6,6,8,5,3,2,3,2,2,0,0,7,0,2,0,0,0.918715,0.883968,CSGO-SkoGm-N5yir-M8p3V-QyOxC-z2urD,0,0,af4da788cca3cf47
b1t,76561198246607476,43,FaZe Clan,14,8,17,9,64,0.823529,73.684212,93.947365,0.736842,0.894737,0.473684,2,-1,0,0,0,2,1,0,1785,238,9,11,13,11,8,6,2,4,0,0,0,9,9,11,8,6,0,1,5,3,0,0,5,2,2,0,0,1.101995,0.961220,CSGO-TpLLK-EJ5vT-aYEpF-VphTW-k8aYO,1,0,af4da788cca3cf47
jL,76561198176878303,22,FaZe Clan,10,6,18,7,70,0.555556,73.684212,70.526314,0.526316,0.947368,2.052632,0,-1,0,0,0,0,0,0,1340,239,39,6,8,6,3,1,2,4,0,0,0,4,4,6,3,1,2,0,1,4,0,0,6,2,0,0,0,0.806548,0.543839,CSGO-w7HCo-w5HYW-vkd2O-bQVhY-fxwPB,2,0,af4da788cca3cf47
rain,76561197997351207,34,Natus Vincere,16,6,14,8,50,1.142857,68.421051,85.736839,0.842105,0.736842,5.315790,3,-1,0,0,0,0,0,0,1629,250,101,7,9,7,4,2,3,5,1,1,1,4,4,6,3,1,2,2,4,4,0,1,3,5,1,0,0,1.201939,1.163037,CSGO-vC7Jr-neLEG-GUoVy-UMH8D-OjPJM,4,0,af4da788cca3cf47
karrigan,76561197989430253,36,Natus Vincere,15,7,11,5,33,1.363636,89.473686,73.631577,0.789474,0.578947,10.105263,3,-1,0,0,0,0,0,0,1399,330,192,7,9,7,4,2,3,5,1,1,1,4,4,6,3,1,1,2,5,3,0,0,4,2,1,1,0,1.360780,1.339787,CSGO-yfcfw-3ehpF-6xj4X-PvrDQ-Rx6KQ,2,0,af4da788cca3cf47
broky,76561198201620490,37,Natus Vincere,13,4,10,3,23,1.300000,84.210526,58.631580,0.684211,0.526316,5.263158,2,-1,0,0,0,3,2,0,1114,228,100,10,12,10,7,5,3,5,1,1,1,7,7,9,6,4,1,0,2,2,0,0,8,1,1,0,0,1.195693,1.081178,CSGO-Jb4XP-d3aGZ-RMeEr-GsERG-cMwLA,3,0,af4da788cca3cf47
ropz,76561197991272318,50,Natus Vincere,20,6,13,8,40,1.538462,94.736847,119.263161,1.052632,0.684211,0.421053,3,-1,0,0,0,1,0,0,2266,257,8,8,10,8,5,3,2,4,0,0,0,6,6,8,5,3,3,1,4,5,0,0,7,5,1,0,0,1.711341,1.381976,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,1,0,af4da788cca3cf47
w0nderful,76561199063068840,36,FaZe Clan,11,4,17,5,45,0.647059,73.684212,64.736839,0.578947,0.894737,3.263158,2,-1,0,0,0,3,0,0,1230,164,62,12,14,12,9,7,3,5,1,1,1,9,9,11,8,6,1,2,2,4,0,1,7,2,0,0,0,0.851074,0.630857,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,af4da788cca3cf47
