number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,550,758,8093,10752,13711,17372,14159,17967,Spirit,Vitality,1,0,3,2,4000,4000,4850,4300,3450,3300,pistol,pistol,203387,8,Spirit,3,0,dbff32cc281390d2
2,14159,17967,15439,19892,19035,24172,19483,24910,Spirit,Vitality,2,0,3,2,18300,10500,19200,9850,16500,9650,semi,force-buy,75961,8,Spirit,3,0,dbff32cc281390d2
3,19483,24910,20763,26790,27253,34410,27701,35201,Spirit,Vitality,3,0,3,2,19550,12850,25300,3200,5700,3000,full,eco,116298,7,Spirit,3,0,dbff32cc281390d2
4,27701,35201,28981,37110,35612,45396,36060,46053,Spirit,Vitality,3,1,3,2,34050,28550,32250,25300,20550,24600,full,full,124806,1,Vitality,2,0,dbff32cc281390d2
5,37980,48565,39260,50444,44507,56838,44955,57560,Spirit,Vitality,3,2,3,2,20500,22350,31000,25400,11850,3900,full,full,101277,1,Vitality,2,0,dbff32cc281390d2
6,44955,57560,46235,59720,52503,67446,52951,68113,Spirit,Vitality,4,2,3,2,18550,37450,21550,25300,15750,13050,semi,full,121023,8,Spirit,3,0,dbff32cc281390d2
7,55078,71052,56358,72992,62294,80339,62742,81004,Spirit,Vitality,4,3,3,2,20850,34800,26900,24500,17300,23500,full,full,113690,1,Vitality,2,0,dbff32cc281390d2
8,62742,81004,64022,82913,72120,92823,72568,93530,Spirit,Vitality,4,4,3,2,10850,30000,19450,25300,9250,8300,force-buy,full,144687,1,Vitality,2,0,dbff32cc281390d2
9,75016,96607,76296,98445,83971,107590,84419,108298,Spirit,Vitality,4,5,3,2,11400,40100,13400,25600,800,9300,semi,full,134453,1,Vitality,2,0,dbff32cc281390d2
10,84419,108298,85699,110247,91721,117761,92169,118412,Spirit,Vitality,5,5,3,2,22700,49500,25250,25800,19500,9700,full,full,115845,8,Spirit,3,0,dbff32cc281390d2
11,92169,118412,93449,120334,101532,130036,101980,130795,Spirit,Vitality,5,6,3,2,20750,47700,28450,25300,17050,25500,full,full,142300,9,Vitality,2,0,dbff32cc281390d2
12,101980,130795,103260,132812,107472,138018,108432,139253,Spirit,Vitality,5,7,3,2,14000,40250,14650,26200,13650,22200,force-buy,full,88423,9,Vitality,2,0,dbff32cc281390d2
13,108432,139253,121659,156546,127521,163289,127969,163994,Spirit,Vitality,6,7,2,3,4000,4000,5050,4250,3550,3250,pistol,pistol,294247,1,Spirit,2,0,dbff32cc281390d2
14,127969,163994,129249,165938,138038,176176,138486,176864,Spirit,Vitality,7,7,2,3,19150,10850,19750,12750,18100,10450,semi,force-buy,149131,1,Spirit,2,0,dbff32cc281390d2
15,138486,176864,139766,178710,144943,184962,145391,185593,Spirit,Vitality,8,7,2,3,20650,14500,20350,7350,16250,3200,full,semi,99135,1,Spirit,2,0,dbff32cc281390d2
16,145391,185593,146671,187461,151595,193581,152043,194249,Spirit,Vitality,9,7,2,3,23400,26400,26100,26500,12700,25500,full,full,97788,9,Spirit,2,0,dbff32cc281390d2
17,152043,194249,153323,196144,160643,204853,161091,205468,Spirit,Vitality,10,7,2,3,28750,18200,28050,8900,7400,8500,full,semi,129813,1,Spirit,2,0,dbff32cc281390d2
18,163266,208555,164546,210477,173310,221200,173758,221863,Spirit,Vitality,11,7,2,3,39950,27600,27950,28150,12100,23800,full,full,154799,1,Spirit,2,0,dbff32cc281390d2
19,173758,221863,175038,223770,182261,232673,182709,233357,Spirit,Vitality,11,8,2,3,46850,21400,27950,25550,13100,18550,full,full,132335,8,Vitality,3,0,dbff32cc281390d2
20,182709,233357,183989,235274,190288,242895,190736,243513,Spirit,Vitality,12,8,2,3,41450,20200,27150,26500,26450,16250,full,full,116763,1,Spirit,2,0,dbff32cc281390d2
21,190736,243513,192016,245531,199376,254434,199824,255060,Spirit,Vitality,12,9,2,3,33700,19050,27450,28850,13000,17400,full,full,133694,12,Vitality,3,0,dbff32cc281390d2
22,201848,257881,203128,259821,206893,264426,206893,264426,Spirit,Vitality,13,9,2,3,21400,12950,26950,26400,22050,18450,full,full,80123,9,Spirit,2,0,dbff32cc281390d2
