frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4387,3435,1,XANTARES,76561198044118796,3,Team A,alex666,76561198304115519,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-59.267334,2276.083008,-126.707275,0,0,-531.123108,1784.734375,-118.514587,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,17.313166,59bf5364fd4cd21
4599,3613,1,esenthial,76561199149812353,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-599.255310,1841.681641,-118.599976,0,0,30.348135,2164.703125,-128.551941,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,17.974548,59bf5364fd4cd21
5493,4373,1,Calyx,76561198052546265,3,Team A,npl,76561198305036904,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1449.799683,2800.387207,11.021093,0,0,-1970.761108,1758.550293,32.022198,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.686157,59bf5364fd4cd21
5748,4597,1,Wicadia,76561198812513923,3,Team A,esenthial,76561199149812353,2,Team B,Calyx,76561198052546265,3,Team A,Dual Berettas,pistol,1,0,0,0,0,0,-1568.207764,1798.143311,0.031249,0,0,-2034.415649,2001.523315,0.182383,0,0,0,-1542.268555,2807.737305,8.620835,0,1,0,0,12.873844,59bf5364fd4cd21
5838,4674,1,cptkurtka023,76561198136488014,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1873.913696,1822.184326,132.031250,0,0,-1496.638916,1810.847534,0.604155,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,10.203063,59bf5364fd4cd21
5873,4703,1,Calyx,76561198052546265,3,Team A,cptkurtka023,76561198136488014,2,Team B,Wicadia,76561198812513923,3,Team A,USP-S,pistol,1,0,0,0,0,0,-1475.672852,2803.763916,9.040525,0,0,-1872.318237,1828.219849,132.031250,0,0,0,-1497.359497,1810.720581,0.535630,1,0,0,0,26.925587,59bf5364fd4cd21
6130,4930,1,Calyx,76561198052546265,3,Team A,headtr1ck,76561198359519930,2,Team B,MAJ3R,76561197967432889,3,Team A,USP-S,pistol,1,0,1,0,0,0,-1415.278076,2794.794434,14.988993,0,0,-1994.916504,1729.328857,31.746155,0,1,0,-832.750122,2295.507080,-91.674622,0,0,0,0,30.805416,59bf5364fd4cd21
13750,11106,2,XANTARES,76561198044118796,3,Team A,alex666,76561198304115519,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,1300.130249,2607.770752,92.761696,0,0,417.008759,2559.896729,95.338341,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.484673,59bf5364fd4cd21
13836,11182,2,XANTARES,76561198044118796,3,Team A,headtr1ck,76561198359519930,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,1300.833862,2589.205811,89.270203,0,0,330.930176,2572.462158,97.084694,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.641354,59bf5364fd4cd21
13909,11252,2,woxic,76561198083485506,3,Team A,cptkurtka023,76561198136488014,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,1638.890381,1821.124756,1.031250,0,0,349.710144,2520.711914,96.639145,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,37.340965,59bf5364fd4cd21
14039,11363,2,woxic,76561198083485506,3,Team A,esenthial,76561199149812353,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,1620.649780,1785.272339,-0.445801,0,0,367.814392,2617.156250,96.340363,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,38.278576,59bf5364fd4cd21
14119,11438,2,MAJ3R,76561197967432889,3,Team A,npl,76561198305036904,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-665.434509,2319.548340,-114.525940,0,0,-391.823669,1770.225220,-125.966370,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.588563,59bf5364fd4cd21
22134,17660,3,Wicadia,76561198812513923,3,Team A,cptkurtka023,76561198136488014,2,Team B,,0,0,,MP9,smg,1,0,0,0,0,0,-847.215393,2352.037598,-77.957703,0,0,-470.172119,2058.832031,-125.173340,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,12.167988,59bf5364fd4cd21
