number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1251,1780,4930,6130,5250,6574,Team A,Team B,1,0,3,2,4000,4000,4750,4250,3450,3450,pistol,pistol,76688,8,Team A,3,0,59bf5364fd4cd21
2,5250,6574,6530,8354,11438,14119,11758,14568,Team A,Team B,2,0,3,2,18300,10650,20650,1000,17200,0,semi,eco,94406,8,Team A,3,0,59bf5364fd4cd21
3,11758,14568,13038,16396,21158,26232,21478,26606,Team A,Team B,2,1,3,2,19150,22650,22950,23400,6500,22400,full,full,145944,1,Team B,2,0,59bf5364fd4cd21
4,21478,26606,22758,28473,28844,36057,29164,36441,Team A,Team B,2,2,3,2,20250,18650,28100,25300,13900,8500,full,full,118254,1,Team B,2,0,59bf5364fd4cd21
5,29164,36441,30444,38279,37389,46720,37709,47114,Team A,Team B,2,3,3,2,15850,28850,24100,25200,14500,3000,full,full,128615,1,Team B,2,0,59bf5364fd4cd21
6,39802,49799,41082,51575,47846,59554,48166,59953,Team A,Team B,2,4,3,2,13950,44250,15850,25300,2900,11100,semi,full,122058,9,Team B,2,0,59bf5364fd4cd21
7,48166,59953,49446,61867,55255,68880,55575,69282,Team A,Team B,3,4,3,2,26750,51200,27950,27350,26450,22550,full,full,111698,8,Team A,3,0,59bf5364fd4cd21
8,55575,69282,56855,71103,64559,80525,64879,80931,Team A,Team B,3,5,3,2,17650,36050,31900,27150,14350,26150,full,full,140677,1,Team B,2,0,59bf5364fd4cd21
9,64879,80931,66159,82733,72402,90218,72722,90599,Team A,Team B,3,6,3,2,15300,28300,21600,27350,4550,4500,semi,full,116202,1,Team B,2,0,59bf5364fd4cd21
10,72722,90599,74002,92350,79597,99150,79917,99545,Team A,Team B,3,7,3,2,25650,42500,31700,27450,21200,12600,full,full,106993,1,Team B,2,0,59bf5364fd4cd21
11,79917,99545,81197,101427,85075,106197,85395,106576,Team A,Team B,4,7,3,2,22150,48600,29800,27850,17850,16900,full,full,83232,7,Team A,3,0,59bf5364fd4cd21
12,85395,106576,86675,108525,93246,116508,93790,117162,Team A,Team B,4,8,3,2,23400,43200,27800,28150,22600,27550,full,full,124273,9,Team B,2,0,59bf5364fd4cd21
13,93790,117162,106634,132808,110525,137382,110845,137783,Team A,Team B,4,9,2,3,4000,4000,4300,4250,3300,3450,pistol,pistol,253000,7,Team B,3,0,59bf5364fd4cd21
14,113320,141006,114600,142841,123167,153306,123487,153679,Team A,Team B,5,9,2,3,15000,19250,16900,19800,14850,18800,force-buy,semi,153902,1,Team A,2,0,59bf5364fd4cd21
15,125600,156485,126880,158236,134377,167231,134697,167633,Team A,Team B,6,9,2,3,18550,8050,23150,16450,10650,7100,full,force-buy,134458,1,Team A,2,0,59bf5364fd4cd21
16,134697,167633,135977,169426,140107,174465,140427,174899,Team A,Team B,7,9,2,3,26900,11050,25700,5700,13400,800,full,semi,85484,9,Team A,2,0,59bf5364fd4cd21
17,140427,174899,141707,176821,146873,183171,147193,183561,Team A,Team B,7,10,2,3,31250,22250,28650,23450,8750,21950,full,full,103502,8,Team B,3,0,59bf5364fd4cd21
18,147193,183561,148473,185585,153510,191714,153830,192125,Team A,Team B,8,10,2,3,30500,18050,26950,23500,25950,16350,full,full,102013,1,Team A,2,0,59bf5364fd4cd21
19,155864,194640,157144,196323,160957,200939,161277,201339,Team A,Team B,9,10,2,3,23450,12100,27550,2750,13650,2350,full,eco,78815,9,Team A,2,0,59bf5364fd4cd21
20,161277,201339,162557,203161,170511,212810,170831,213211,Team A,Team B,9,11,2,3,27550,22350,27450,22900,13250,21900,full,full,143529,7,Team B,3,0,59bf5364fd4cd21
21,170831,213211,172111,215189,179471,224111,179791,224494,Team A,Team B,9,12,2,3,25500,19750,24800,27550,24100,17350,full,full,136385,12,Team B,3,0,59bf5364fd4cd21
22,182086,227740,183366,229666,190726,238652,191046,239049,Team A,Team B,10,12,2,3,9200,19650,15300,30550,8950,15550,force-buy,full,136535,1,Team A,2,0,59bf5364fd4cd21
23,191046,239049,192326,240927,199785,249752,200105,250135,Team A,Team B,11,12,2,3,18650,11700,27550,17350,13500,600,full,semi,133920,9,Team A,2,0,59bf5364fd4cd21
24,202220,253059,203500,254765,210900,263661,210900,263661,Team A,Team B,11,13,2,3,9450,19750,27950,22150,18400,20650,full,force-buy,132656,7,Team B,3,0,59bf5364fd4cd21
