frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
5318,4375,1,2,3,1,76561198044118796,XANTARES,1,2,aff1be81e0d222e2
5632,4653,1,1,2,0,76561198165452027,maden,0,0,aff1be81e0d222e2
17452,14392,2,2,2,0,76561198165452027,maden,1,0,aff1be81e0d222e2
26933,22133,3,3,2,0,76561197989423065,Snappi,0,0,aff1be81e0d222e2
38176,31065,4,4,2,0,76561198004854956,dupreeh,0,0,aff1be81e0d222e2
42911,34670,5,3,2,0,76561198004854956,dupreeh,0,1,aff1be81e0d222e2
69554,55983,7,5,2,0,76561198034202275,s1mple,0,1,aff1be81e0d222e2
76566,61488,8,2,2,0,76561197989423065,Snappi,0,0,aff1be81e0d222e2
92160,73771,9,3,2,0,76561197983956651,Magisk,1,0,aff1be81e0d222e2
104631,83755,10,5,2,0,76561198034202275,s1mple,0,0,aff1be81e0d222e2
111146,88748,11,5,2,0,76561197989423065,Snappi,0,0,aff1be81e0d222e2
117487,93565,12,3,3,0,76561198052546265,Calyx,0,1,aff1be81e0d222e2
141152,113196,13,5,2,0,76561198083485506,woxic,0,0,aff1be81e0d222e2
152482,122533,14,2,3,1,76561197989423065,Snappi,1,2,aff1be81e0d222e2
152494,122545,14,1,2,0,76561198083485506,woxic,0,0,aff1be81e0d222e2
160751,129229,15,4,2,0,76561198812513923,Wicadia,0,0,aff1be81e0d222e2
171121,137610,16,4,3,0,76561197983956651,Magisk,1,0,aff1be81e0d222e2
179951,144577,17,4,3,0,76561197983956651,Magisk,0,0,aff1be81e0d222e2
