number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1247,1724,6425,7715,6745,8112,Team A,Team B,1,0,3,2,4000,4000,4000,4150,3400,3550,pistol,pistol,94383,8,Team A,3,0,9df59068c7fce089
2,6745,8112,8025,10008,10601,13274,10921,13677,Team A,Team B,2,0,3,2,18050,9800,21500,9950,17850,9550,semi,force-buy,63159,8,Team A,3,0,9df59068c7fce089
3,10921,13677,12201,15583,13952,17740,14272,18137,Team A,Team B,3,0,3,2,18550,12550,25100,2100,10200,1700,full,eco,49712,8,Team A,3,0,9df59068c7fce089
4,14272,18137,15552,19984,18435,23519,18755,23922,Team A,Team B,4,0,3,2,26400,25650,27650,25200,8300,24200,full,full,65850,8,Team A,3,0,9df59068c7fce089
5,18755,23922,20035,25744,23573,30234,23893,30632,Team A,Team B,5,0,3,2,35850,18750,29650,9350,9950,9150,full,semi,77229,7,Team A,3,0,9df59068c7fce089
6,23893,30632,25173,32682,31799,40744,32119,41134,Team A,Team B,5,1,3,2,45200,30200,30650,27250,9900,26850,full,full,123724,9,Team B,2,0,9df59068c7fce089
7,34437,44343,35717,46215,39722,51262,40042,51663,Team A,Team B,6,1,3,2,43500,20700,30100,23950,29400,17300,full,full,84656,7,Team A,3,0,9df59068c7fce089
8,40042,51663,41322,53696,43479,56527,43799,56928,Team A,Team B,7,1,3,2,33400,21900,30450,22100,19400,20800,full,full,59513,8,Team A,3,0,9df59068c7fce089
9,45719,59401,46999,61288,50965,66302,51285,66693,Team A,Team B,8,1,3,2,31550,18700,30250,9500,14100,9600,full,semi,84436,7,Team A,3,0,9df59068c7fce089
10,51285,66693,52565,68631,59573,77258,59893,77639,Team A,Team B,9,1,3,2,36150,30300,30550,27350,25250,25650,full,full,129267,8,Team A,3,0,9df59068c7fce089
11,59893,77639,61173,79546,68059,87847,68379,88243,Team A,Team B,10,1,3,2,28650,21850,31150,22600,16300,21600,full,full,124899,8,Team A,3,0,9df59068c7fce089
12,68379,88243,69659,90148,74133,95695,74677,96354,Team A,Team B,11,1,3,2,29900,17650,31850,17300,16400,16600,full,force-buy,91178,8,Team A,3,0,9df59068c7fce089
13,74677,96354,87692,113049,92858,118997,93178,119377,Team A,Team B,12,1,2,3,4000,4000,5750,4400,3350,3400,pistol,pistol,277046,1,Team A,2,0,9df59068c7fce089
14,93178,119377,94458,121327,97877,125414,97877,125414,Team A,Team B,13,1,2,3,18100,14250,20600,11450,19300,10850,full,force-buy,73865,9,Team A,2,0,9df59068c7fce089
