frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6374,5072,1,4,2,0,76561198100494962,saadzin,0,0,cd2645f85a9d982a
13011,10110,2,2,3,0,76561198157388473,Lucaozy,1,2,cd2645f85a9d982a
13037,10132,2,1,2,1,76561198194325317,dumau,0,0,cd2645f85a9d982a
24229,18980,3,4,3,0,76561198388056582,drop,0,0,cd2645f85a9d982a
34048,26632,4,2,3,0,76561198157388473,Lucaozy,0,0,cd2645f85a9d982a
46413,36457,5,2,3,0,76561198388056582,drop,0,0,cd2645f85a9d982a
59950,47187,6,2,3,0,76561197985565685,saffee,1,0,cd2645f85a9d982a
69826,55058,7,3,2,0,76561198100494962,saadzin,0,0,cd2645f85a9d982a
101179,79754,10,3,3,0,76561197985565685,saffee,0,0,cd2645f85a9d982a
122212,95991,12,3,2,0,76561198130084582,b4rtiN,0,1,cd2645f85a9d982a
144510,113740,13,2,2,0,76561198010496342,exit,0,0,cd2645f85a9d982a
152698,120133,14,2,3,0,76561198194325317,dumau,0,2,cd2645f85a9d982a
152740,120168,14,1,2,1,76561198061423730,insani,0,0,cd2645f85a9d982a
164345,129415,15,5,3,0,76561198100494962,saadzin,0,0,cd2645f85a9d982a
169537,133259,16,5,3,0,76561198100494962,saadzin,0,0,cd2645f85a9d982a
188152,147930,18,3,2,0,76561198010496342,exit,0,1,cd2645f85a9d982a
203595,160596,19,2,2,0,76561197985565685,saffee,0,1,cd2645f85a9d982a
204537,161408,19,1,3,1,76561198194325317,dumau,1,1,cd2645f85a9d982a
211735,166995,20,3,2,0,76561197985565685,saffee,0,0,cd2645f85a9d982a
