number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1249,1881,5242,6570,5562,6984,Team A,Team B,1,0,3,2,4000,4000,4200,4250,3400,3450,pistol,pistol,81102,8,Team A,3,0,cd2645f85a9d982a
2,5562,6984,6842,8975,10844,13837,11164,14237,Team A,Team B,1,1,3,2,18350,10350,20300,10400,17300,10200,semi,force-buy,84609,1,Team B,2,0,cd2645f85a9d982a
3,11164,14237,12444,16333,21323,26911,21643,27317,Team A,Team B,1,2,3,2,9550,19150,12700,19500,8600,18500,force-buy,semi,156477,9,Team B,2,0,cd2645f85a9d982a
4,21643,27317,22923,29487,26926,34385,27246,34782,Team A,Team B,1,3,3,2,10750,18700,1000,21650,0,8150,eco,full,87263,9,Team B,2,0,cd2645f85a9d982a
5,27246,34782,28526,36891,37859,48016,38179,48404,Team A,Team B,1,4,3,2,23650,29500,24300,24600,23300,17000,full,full,163391,9,Team B,2,0,cd2645f85a9d982a
6,40357,51406,41637,53308,50121,63251,50441,63622,Team A,Team B,1,5,3,2,15750,30550,5950,25400,5950,17000,semi,full,146242,1,Team B,2,0,cd2645f85a9d982a
7,50441,63622,51721,65768,56422,71361,56742,71764,Team A,Team B,2,5,3,2,27700,32550,27500,27350,23400,20100,full,full,95548,8,Team A,3,0,cd2645f85a9d982a
8,56742,71764,58022,73767,62695,79566,63015,79936,Team A,Team B,2,6,3,2,21850,20050,29800,19850,14250,19050,full,force-buy,96325,1,Team B,2,0,cd2645f85a9d982a
9,63015,79936,64295,81890,69545,88448,69865,88819,Team A,Team B,2,7,3,2,22400,19400,29300,25950,13600,10300,full,full,105091,1,Team B,2,0,cd2645f85a9d982a
10,71953,91517,73233,93400,80045,101525,80365,101914,Team A,Team B,2,8,3,2,25800,27200,30050,26850,9400,10250,full,full,123561,9,Team B,2,0,cd2645f85a9d982a
11,80365,101914,81645,103886,86501,109882,86821,110260,Team A,Team B,2,9,3,2,34000,35000,29400,28050,28400,13600,full,full,98375,1,Team B,2,0,cd2645f85a9d982a
12,89533,113965,90813,116000,96758,123100,97302,123750,Team A,Team B,3,9,3,2,23000,40100,28800,27950,22050,16000,full,full,112783,8,Team A,3,0,cd2645f85a9d982a
13,97302,123750,110264,140426,114315,145162,114635,145560,Team A,Team B,3,10,2,3,4000,4000,4700,4050,3300,3450,pistol,pistol,264359,7,Team B,3,0,cd2645f85a9d982a
14,114635,145560,115915,147523,120982,153657,121302,154037,Team A,Team B,4,10,2,3,14400,19850,12250,21850,12150,19600,semi,semi,99968,1,Team A,2,0,cd2645f85a9d982a
15,121302,154037,122582,156135,129983,164990,130303,165396,Team A,Team B,5,10,2,3,22150,9350,21550,9100,20850,8900,full,force-buy,135229,9,Team A,2,0,cd2645f85a9d982a
16,130303,165396,131583,167431,133331,169624,133651,170041,Team A,Team B,6,10,2,3,19650,9950,23550,1000,4600,0,full,eco,52200,9,Team A,2,0,cd2645f85a9d982a
17,136333,173499,137613,175383,144443,183518,144763,183914,Team A,Team B,7,10,2,3,33100,21950,23650,23100,2500,21600,full,full,123697,1,Team A,2,0,cd2645f85a9d982a
18,144763,183914,146043,185724,152724,193616,153044,194044,Team A,Team B,7,11,2,3,49300,15450,25800,12850,13000,4700,full,semi,119783,7,Team B,3,0,cd2645f85a9d982a
19,153044,194044,154324,196056,162790,206112,163110,206495,Team A,Team B,7,12,2,3,47500,30050,27350,29500,26650,21150,full,full,148995,7,Team B,3,0,cd2645f85a9d982a
20,163110,206495,164390,208444,167070,211822,167070,211822,Team A,Team B,7,13,2,3,21900,20450,26350,28900,25350,25100,full,full,65768,8,Team B,3,0,cd2645f85a9d982a
