frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
9393,7857,1,3,3,0,76561198157388473,Lucaozy,0,0,b849a0efe34ed8e5
28903,23687,3,5,3,0,76561198010496342,exit,0,3,b849a0efe34ed8e5
54873,44761,5,2,2,0,76561198296417934,kRaSnaL,0,0,b849a0efe34ed8e5
82480,66974,7,3,2,0,76561198050922008,hades,0,2,b849a0efe34ed8e5
82856,67302,7,1,3,1,76561197985565685,saffee,1,1,b849a0efe34ed8e5
104087,84523,9,2,3,0,76561198157388473,Lucaozy,1,0,b849a0efe34ed8e5
132803,107133,12,3,3,0,76561198010496342,exit,0,1,b849a0efe34ed8e5
165162,133373,14,4,3,0,76561198050922008,hades,0,1,b849a0efe34ed8e5
174875,141299,15,4,3,0,76561198081687729,KEi,0,0,b849a0efe34ed8e5
184513,148962,16,2,2,0,76561198061423730,insani,0,1,b849a0efe34ed8e5
184542,148989,16,1,3,1,76561198041416993,dycha,1,1,b849a0efe34ed8e5
194638,156889,17,3,3,0,76561198081687729,KEi,0,0,b849a0efe34ed8e5
202225,162601,18,4,3,0,76561198126171426,DemQQ,0,0,b849a0efe34ed8e5
208022,166828,19,4,2,0,76561197985565685,saffee,1,0,b849a0efe34ed8e5
220785,177248,20,5,3,0,76561198041416993,dycha,1,0,b849a0efe34ed8e5
227437,182402,21,4,2,0,76561198010496342,exit,0,0,b849a0efe34ed8e5
242447,194451,22,3,3,0,76561198081687729,KEi,0,0,b849a0efe34ed8e5
249279,199900,23,4,3,0,76561198081687729,KEi,0,0,b849a0efe34ed8e5
263412,211153,24,3,3,0,76561198126171426,DemQQ,0,1,b849a0efe34ed8e5
276812,221744,25,2,3,0,76561198126171426,DemQQ,0,0,b849a0efe34ed8e5
289693,232182,26,3,3,0,76561198041416993,dycha,0,1,b849a0efe34ed8e5
299854,240064,27,4,3,0,76561198126171426,DemQQ,0,1,b849a0efe34ed8e5
315450,252951,28,5,3,0,76561198010496342,exit,0,2,b849a0efe34ed8e5
326639,261860,29,3,3,0,76561198157388473,Lucaozy,0,1,b849a0efe34ed8e5
337723,270793,30,2,3,0,76561197985565685,saffee,0,0,b849a0efe34ed8e5
344517,276035,31,2,2,0,76561198081687729,KEi,0,1,b849a0efe34ed8e5
344579,276093,31,1,3,1,76561198010496342,exit,1,1,b849a0efe34ed8e5
355170,284730,32,2,3,0,76561198157388473,Lucaozy,1,1,b849a0efe34ed8e5
355523,285043,32,1,2,1,76561198041416993,dycha,0,0,b849a0efe34ed8e5
364441,291892,33,4,3,0,76561197985565685,saffee,0,0,b849a0efe34ed8e5
377867,302595,34,4,2,0,76561197985565685,saffee,0,1,b849a0efe34ed8e5
384481,307612,35,4,3,0,76561198050922008,hades,1,2,b849a0efe34ed8e5
401497,321258,36,2,2,0,76561198157388473,Lucaozy,0,0,b849a0efe34ed8e5
