frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
120,62,1,76561198041416993,2,dycha,Smoke Grenade,grenade,01JM6DMFPMBKRDC6857CRJ8DK5,0,b849a0efe34ed8e5
141,76,1,76561198041416993,2,dycha,Molotov,grenade,01JM6DMFPMBKRDC6857F2ZN8EA,0,b849a0efe34ed8e5
272,174,1,76561198010496342,3,exit,Smoke Grenade,grenade,01JM6DMFPPTVXEW93GF2CAPYQ6,0,b849a0efe34ed8e5
322,216,1,76561198081687729,2,KEi,Kevlar Vest,equipment,01JM6DMFPQKZEFC2SBMCVQ2RPG,0,b849a0efe34ed8e5
338,229,1,76561198388056582,3,drop,Flashbang,grenade,01JM6DMFPQKZEFC2SBMFTSQW7D,0,b849a0efe34ed8e5
514,362,1,76561198296417934,2,kRaSnaL,Kevlar Vest,equipment,01JM6DMFPVNN3218N8CRPG1KCT,0,b849a0efe34ed8e5
521,368,1,76561198010496342,3,exit,Kevlar Vest,equipment,01JM6DMFPVNN3218N8CV9AEY77,0,b849a0efe34ed8e5
548,392,1,76561198050922008,2,hades,Kevlar Vest,equipment,01JM6DMFPVNN3218N8CXV2NYRY,0,b849a0efe34ed8e5
579,417,1,76561198126171426,2,DemQQ,Kevlar Vest,equipment,01JM6DMFPWX9Y9R2WDP7B55TY3,0,b849a0efe34ed8e5
978,711,1,76561197985565685,3,saffee,Kevlar Vest,equipment,01JM6DMFQ274ZAT6X8FK522HPN,0,b849a0efe34ed8e5
1096,787,1,76561198157388473,3,Lucaozy,Dual Berettas,pistol,01JM6DMFPPTVXEW93GF1341JCV,0,b849a0efe34ed8e5
1280,909,1,76561198157388473,3,Lucaozy,Kevlar Vest,equipment,01JM6DMFQ7Q3K8C0VR86Y0DD62,0,b849a0efe34ed8e5
1600,1132,1,76561198061423730,3,insani,Kevlar Vest,equipment,01JM6DMFQDA3VY71C6M0SSG4W8,0,b849a0efe34ed8e5
10868,9084,2,76561197985565685,3,saffee,Kevlar Vest,equipment,01JM6DMG7WQK9W8HEXQF5DK9KG,0,b849a0efe34ed8e5
10883,9098,2,76561198296417934,2,kRaSnaL,Kevlar + Helmet,equipment,01JM6DMG7WQK9W8HEXQHDXWH1P,0,b849a0efe34ed8e5
10898,9108,2,76561198061423730,3,insani,Kevlar Vest,equipment,01JM6DMG7X1KKFRNJ57TS6P17J,0,b849a0efe34ed8e5
10918,9118,2,76561197985565685,3,saffee,MP9,smg,01JM6DMG7X1KKFRNJ57XCBXCX6,1,b849a0efe34ed8e5
11027,9204,2,76561198061423730,3,insani,Smoke Grenade,grenade,01JM6DMG7YSKKK0W3B2M6HVFFC,0,b849a0efe34ed8e5
11066,9233,2,76561197985565685,3,saffee,Five-SeveN,pistol,01JM6DMG7ZSR7ZD1R40894H70H,0,b849a0efe34ed8e5
11112,9273,2,76561197985565685,3,saffee,Flashbang,grenade,01JM6DMG80PTZA983BE4E9VCBD,0,b849a0efe34ed8e5
11141,9287,2,76561198041416993,2,dycha,Galil AR,rifle,01JM6DMG80PTZA983BE5SZSBWR,0,b849a0efe34ed8e5
11175,9306,2,76561198041416993,2,dycha,Kevlar + Helmet,equipment,01JM6DMG81Q1PT88YEDSNC7HR0,0,b849a0efe34ed8e5
11208,9328,2,76561198041416993,2,dycha,Smoke Grenade,grenade,01JM6DMG81Q1PT88YEDVKNBE9D,0,b849a0efe34ed8e5
11212,9330,2,76561198296417934,2,kRaSnaL,HE Grenade,grenade,01JM6DMG8233E534EJYCSVEDQF,1,b849a0efe34ed8e5
11212,9330,2,76561198296417934,2,kRaSnaL,Molotov,grenade,01JM6DMG8233E534EJYFESF8SV,1,b849a0efe34ed8e5
11214,9332,2,76561198296417934,2,kRaSnaL,Flashbang,grenade,01JM6DMG8233E534EJYJJ3CNQP,1,b849a0efe34ed8e5
11216,9334,2,76561198296417934,2,kRaSnaL,Smoke Grenade,grenade,01JM6DMG8233E534EJYMFN8VX9,1,b849a0efe34ed8e5
11218,9336,2,76561198041416993,2,dycha,HE Grenade,grenade,01JM6DMG8233E534EJYP30TRCB,0,b849a0efe34ed8e5
11229,9344,2,76561198041416993,2,dycha,Molotov,grenade,01JM6DMG8233E534EJYQ5CWPJ2,0,b849a0efe34ed8e5
11287,9379,2,76561198061423730,3,insani,Five-SeveN,pistol,01JM6DMG83G55KG4Q54VRS8HBY,0,b849a0efe34ed8e5
11300,9387,2,76561198010496342,3,exit,MP9,smg,01JM6DMG83G55KG4Q54WVYKVV6,0,b849a0efe34ed8e5
11328,9407,2,76561198010496342,3,exit,Kevlar + Helmet,equipment,01JM6DMG84HQW3QHKRK09QJX6Z,0,b849a0efe34ed8e5
11481,9493,2,76561198388056582,3,drop,Kevlar Vest,equipment,01JM6DMG86HE27EVBDEMTPBNV1,0,b849a0efe34ed8e5
11497,9502,2,76561198081687729,2,KEi,AK-47,rifle,01JM6DMG874P0MG36WMNXWGM5Z,0,b849a0efe34ed8e5
11534,9527,2,76561198388056582,3,drop,MP9,smg,01JM6DMG874P0MG36WMS2JJ86C,0,b849a0efe34ed8e5
11602,9566,2,76561198081687729,2,KEi,Kevlar + Helmet,equipment,01JM6DMG894355BFDZSTPRD981,0,b849a0efe34ed8e5
11629,9586,2,76561198296417934,2,kRaSnaL,Galil AR,rifle,01JM6DMG894355BFDZSXGKRJA4,0,b849a0efe34ed8e5
11629,9586,2,76561198157388473,3,Lucaozy,Kevlar Vest,equipment,01JM6DMG894355BFDZSZEZENCA,0,b849a0efe34ed8e5
11713,9645,2,76561198126171426,2,DemQQ,MAC-10,smg,01JM6DMG8A3R00ZH90TKTN11HP,0,b849a0efe34ed8e5
11747,9666,2,76561198126171426,2,DemQQ,Kevlar + Helmet,equipment,01JM6DMG8B0KMS9DSPZMPZ963C,0,b849a0efe34ed8e5
11763,9678,2,76561198296417934,2,kRaSnaL,HE Grenade,grenade,01JM6DMG8B0KMS9DSPZRDX8FQ4,1,b849a0efe34ed8e5
11788,9699,2,76561198050922008,2,hades,Kevlar + Helmet,equipment,01JM6DMG8B0KMS9DSPZW86RR3N,0,b849a0efe34ed8e5
11808,9715,2,76561198050922008,2,hades,AK-47,rifle,01JM6DMG8CSSVMXV4Q48W5F6ER,0,b849a0efe34ed8e5
11821,9726,2,76561198050922008,2,hades,Smoke Grenade,grenade,01JM6DMG8CSSVMXV4Q4AVM0VQN,0,b849a0efe34ed8e5
11840,9734,2,76561198126171426,2,DemQQ,HE Grenade,grenade,01JM6DMG8CSSVMXV4Q4CC0ZQDG,0,b849a0efe34ed8e5
11853,9744,2,76561198126171426,2,DemQQ,Molotov,grenade,01JM6DMG8CSSVMXV4Q4CRZXJAP,0,b849a0efe34ed8e5
