number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1246,1775,8700,10393,9020,10785,Team A,Team B,0,1,3,2,4000,4000,4500,4300,3400,3300,pistol,pistol,130040,9,Team B,2,0,b849a0efe34ed8e5
2,9020,10785,10300,12716,19822,23843,20142,24221,Team A,Team B,0,2,3,2,10700,18750,10100,19650,9700,18250,force-buy,semi,163401,1,Team B,2,0,b849a0efe34ed8e5
3,20142,24221,21422,26090,26035,31616,26355,32023,Team A,Team B,0,3,3,2,14200,19200,9850,22750,3850,11450,semi,full,92537,9,Team B,2,0,b849a0efe34ed8e5
4,26355,32023,27635,33937,36335,44428,36655,44796,Team A,Team B,0,4,3,2,26350,26400,26350,25700,25350,16300,full,full,155229,1,Team B,2,0,b849a0efe34ed8e5
5,36655,44796,37935,46614,46365,56731,46685,57123,Team A,Team B,1,4,3,2,18100,28300,27850,25900,12900,9600,full,full,149348,7,Team A,3,0,b849a0efe34ed8e5
6,46685,57123,49468,61133,56828,69992,57148,70356,Team A,Team B,2,4,3,2,24500,29900,27150,27050,19300,26350,full,full,161036,12,Team A,3,0,b849a0efe34ed8e5
7,59392,73260,60672,75028,67368,82932,67688,83327,Team A,Team B,3,4,3,2,22350,9550,28700,13200,13000,1950,full,semi,121030,8,Team A,3,0,b849a0efe34ed8e5
8,67688,83327,68968,85239,75385,92917,75705,93294,Team A,Team B,3,5,3,2,27100,20000,28800,20300,20750,19300,full,full,120004,1,Team B,2,0,b849a0efe34ed8e5
9,75705,93294,76985,95146,86889,106812,87209,107235,Team A,Team B,3,6,3,2,16150,19400,24250,24600,13050,12050,full,full,169157,1,Team B,2,0,b849a0efe34ed8e5
10,89546,110233,90826,112163,96356,118847,96676,119233,Team A,Team B,3,7,3,2,16000,26350,8950,25600,4000,17000,semi,full,107791,1,Team B,2,0,b849a0efe34ed8e5
11,96676,119233,97956,121195,103045,127432,103365,127815,Team A,Team B,3,8,3,2,26500,27250,28950,25400,21850,4000,full,full,102598,1,Team B,2,0,b849a0efe34ed8e5
