frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
5770,4723,1,4,3,0,76561198377335846,snow,0,0,d98db98f2d8cae08
13207,10737,2,2,3,1,76561198377335846,snow,1,2,d98db98f2d8cae08
14024,11466,2,1,2,0,76561198304115519,alex666,0,0,d98db98f2d8cae08
23425,19128,3,2,3,0,76561198350342505,nqz,1,0,d98db98f2d8cae08
32303,26255,4,3,2,0,76561198305036904,npl,0,1,d98db98f2d8cae08
44794,36254,5,5,2,0,76561198359519930,headtr1ck,0,0,d98db98f2d8cae08
52627,42382,6,5,2,0,76561198359519930,headtr1ck,0,1,d98db98f2d8cae08
61486,49425,7,3,3,0,76561198377335846,snow,0,1,d98db98f2d8cae08
71637,57673,8,3,2,1,76561198305036904,npl,1,2,d98db98f2d8cae08
71955,57952,8,1,3,0,76561198015308884,biguzera,1,0,d98db98f2d8cae08
91936,73972,10,3,2,0,76561198359519930,headtr1ck,0,0,d98db98f2d8cae08
98376,79084,11,2,2,0,76561198304115519,alex666,0,1,d98db98f2d8cae08
98438,79137,11,1,3,1,76561198015308884,biguzera,1,1,d98db98f2d8cae08
112934,91196,12,3,2,1,76561198359519930,headtr1ck,1,3,d98db98f2d8cae08
113412,91616,12,1,3,0,76561198350342505,nqz,0,0,d98db98f2d8cae08
137027,110870,13,4,3,0,76561198305036904,npl,0,0,d98db98f2d8cae08
167134,135225,16,4,2,0,76561198385657675,kauez,0,0,d98db98f2d8cae08
176901,143063,17,4,3,0,76561198359519930,headtr1ck,0,0,d98db98f2d8cae08
190352,154217,18,2,2,0,76561198377335846,snow,0,1,d98db98f2d8cae08
191757,155445,18,1,3,1,76561198305036904,npl,1,1,d98db98f2d8cae08
202745,164548,19,2,2,0,76561198385657675,kauez,0,0,d98db98f2d8cae08
207405,168257,20,4,2,0,76561198074017668,lux,0,0,d98db98f2d8cae08
217747,176545,21,4,2,0,76561198015308884,biguzera,1,0,d98db98f2d8cae08
225566,182836,22,4,2,0,76561198350342505,nqz,0,1,d98db98f2d8cae08
239639,194161,23,3,3,0,76561198304115519,alex666,1,0,d98db98f2d8cae08
251782,203821,24,4,2,0,76561198377335846,snow,0,2,d98db98f2d8cae08
