number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1249,1702,4871,5935,5191,6324,Team A,Team B,0,1,3,2,4000,4000,4950,4400,3450,3400,pistol,pistol,75209,9,Team B,2,0,d98db98f2d8cae08
2,5191,6324,6471,8123,12387,15054,12707,15438,Team A,Team B,1,1,3,2,10350,18650,10200,20350,9400,18200,force-buy,full,110647,7,Team A,3,0,d98db98f2d8cae08
3,12707,15438,13987,17216,21012,25567,21332,25953,Team A,Team B,1,2,3,2,20850,11950,25250,11650,19750,11450,full,force-buy,128378,1,Team B,2,0,d98db98f2d8cae08
4,21332,25953,22612,27783,26382,32449,26702,32835,Team A,Team B,2,2,3,2,9000,19500,12550,25000,7350,15500,force-buy,full,82332,8,Team A,3,0,d98db98f2d8cae08
5,29816,36906,31096,38603,36578,45161,36898,45553,Team A,Team B,3,2,3,2,19700,11900,26900,12450,17600,11650,full,force-buy,104626,8,Team A,3,0,d98db98f2d8cae08
6,38818,48019,40098,49853,42888,53211,43208,53593,Team A,Team B,4,2,3,2,19850,9750,28400,1100,5100,300,full,eco,65805,8,Team A,3,0,d98db98f2d8cae08
7,43208,53593,44488,55475,50475,62678,50795,63059,Team A,Team B,4,3,3,2,32500,21750,29950,21600,10150,20900,full,full,115146,9,Team B,2,0,d98db98f2d8cae08
8,50795,63059,52075,64871,58350,72408,58670,72793,Team A,Team B,4,4,3,2,29850,18900,28850,26350,28150,15400,full,full,118492,1,Team B,2,0,d98db98f2d8cae08
9,58670,72793,59950,74574,64378,79969,64698,80341,Team A,Team B,4,5,3,2,12200,22500,5800,26350,700,19600,semi,full,90951,1,Team B,2,0,d98db98f2d8cae08
10,66974,83223,68254,85010,74304,92304,74624,92685,Team A,Team B,5,5,3,2,23500,21000,26600,27400,21700,5950,full,full,115095,8,Team A,3,0,d98db98f2d8cae08
11,74624,92685,75904,94536,84664,104683,84984,105064,Team A,Team B,6,5,3,2,19150,22650,29300,22450,14900,21250,full,full,152066,7,Team A,3,0,d98db98f2d8cae08
12,84984,105064,86264,106902,92180,114046,92724,114690,Team A,Team B,6,6,3,2,23550,15400,27500,15750,22300,14950,full,force-buy,113841,9,Team B,2,0,d98db98f2d8cae08
13,92724,114690,106009,131312,110899,137061,111219,137444,Team A,Team B,7,6,2,3,4000,4000,4200,4450,3400,3450,pistol,pistol,283538,9,Team A,2,0,d98db98f2d8cae08
14,111219,137444,112499,139175,120379,148460,120699,148826,Team A,Team B,8,6,2,3,18650,10350,21500,1400,18450,800,full,eco,139620,1,Team A,2,0,d98db98f2d8cae08
15,122716,151472,123996,153283,129723,160221,130043,160593,Team A,Team B,9,6,2,3,18300,21850,23850,24850,9450,20250,full,full,110887,1,Team A,2,0,d98db98f2d8cae08
16,130043,160593,131323,162390,135583,167547,135903,167950,Team A,Team B,9,7,2,3,27250,16700,27350,26250,14350,12800,full,full,88137,8,Team B,3,0,d98db98f2d8cae08
17,135903,167950,137183,169803,145849,180074,146169,180464,Team A,Team B,10,7,2,3,20200,21650,20900,30250,19900,10750,full,full,153663,1,Team A,2,0,d98db98f2d8cae08
18,146169,180464,147449,182308,156491,192936,156811,193327,Team A,Team B,10,8,2,3,19500,23200,29900,24150,8700,22850,full,full,158074,7,Team B,3,0,d98db98f2d8cae08
19,156811,193327,158091,195156,164969,203240,165289,203625,Team A,Team B,10,9,2,3,22100,19650,23150,24850,21850,18350,full,full,125640,8,Team B,3,0,d98db98f2d8cae08
20,165289,203625,166569,205365,169209,208508,169529,208928,Team A,Team B,10,10,2,3,10450,19350,4900,27200,2400,16200,eco,full,61888,8,Team B,3,0,d98db98f2d8cae08
21,169529,208928,170809,210797,178169,219622,178489,220010,Team A,Team B,10,11,2,3,20350,21000,20950,27600,19950,8900,full,full,135539,12,Team B,3,0,d98db98f2d8cae08
22,178489,220010,179769,221828,183686,226547,184006,226940,Team A,Team B,10,12,2,3,12300,30150,9650,30150,5250,11200,semi,full,82852,8,Team B,3,0,d98db98f2d8cae08
23,186184,229773,187464,231590,195624,241271,195944,241644,Team A,Team B,11,12,2,3,24650,36500,25050,30050,24050,16450,full,full,145729,1,Team A,2,0,d98db98f2d8cae08
24,197996,244300,199276,246169,205874,254128,205874,254128,Team A,Team B,11,13,2,3,22100,19600,27450,30400,12900,25800,full,full,124563,8,Team B,3,0,d98db98f2d8cae08
