steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198136488014,cptkurtka023,3,800,650,850,pistol,1,105e3d346cf2883f
76561198074017668,lux,2,800,650,850,pistol,1,105e3d346cf2883f
76561198350342505,nqz,2,800,650,1250,pistol,1,105e3d346cf2883f
76561198305036904,npl,3,800,650,850,pistol,1,105e3d346cf2883f
76561198304115519,alex666,3,800,650,950,pistol,1,105e3d346cf2883f
76561198377335846,snow,2,800,650,850,pistol,1,105e3d346cf2883f
76561198359519930,headtr1ck,3,800,650,850,pistol,1,105e3d346cf2883f
76561198385657675,kauez,2,800,650,850,pistol,1,105e3d346cf2883f
76561199149812353,esenthial,3,800,700,600,pistol,1,105e3d346cf2883f
76561198015308884,biguzera,2,800,700,500,pistol,1,105e3d346cf2883f
76561198359519930,headtr1ck,3,2050,2000,2200,force-buy,2,105e3d346cf2883f
76561198385657675,kauez,2,3700,3600,3800,semi,2,105e3d346cf2883f
76561198350342505,nqz,2,4000,3950,5000,full,2,105e3d346cf2883f
76561198305036904,npl,3,2050,1900,2100,force-buy,2,105e3d346cf2883f
76561198304115519,alex666,3,2350,2200,2600,force-buy,2,105e3d346cf2883f
76561198015308884,biguzera,2,3350,3150,3350,semi,2,105e3d346cf2883f
76561198136488014,cptkurtka023,3,2050,2000,2000,force-buy,2,105e3d346cf2883f
76561199149812353,esenthial,3,2600,2550,2750,force-buy,2,105e3d346cf2883f
76561198377335846,snow,2,4000,3900,4100,full,2,105e3d346cf2883f
76561198074017668,lux,2,3700,3700,3900,semi,2,105e3d346cf2883f
76561198350342505,nqz,2,3550,1100,5000,full,3,105e3d346cf2883f
76561198305036904,npl,3,2550,300,2400,semi,3,105e3d346cf2883f
76561198304115519,alex666,3,2550,500,2900,semi,3,105e3d346cf2883f
76561199149812353,esenthial,3,2450,0,2750,semi,3,105e3d346cf2883f
76561198015308884,biguzera,2,3700,1100,3350,semi,3,105e3d346cf2883f
76561198359519930,headtr1ck,3,2450,300,2300,semi,3,105e3d346cf2883f
76561198385657675,kauez,2,3600,1000,4200,full,3,105e3d346cf2883f
76561198136488014,cptkurtka023,3,2450,0,1500,semi,3,105e3d346cf2883f
76561198377335846,snow,2,3900,1650,4200,full,3,105e3d346cf2883f
76561198074017668,lux,2,3500,1850,4200,full,3,105e3d346cf2883f
76561198385657675,kauez,2,4000,4000,4500,full,4,105e3d346cf2883f
76561198350342505,nqz,2,3850,3700,3900,force-buy,4,105e3d346cf2883f
76561198305036904,npl,3,6700,6650,4600,full,4,105e3d346cf2883f
76561198304115519,alex666,3,5300,5200,5400,full,4,105e3d346cf2883f
76561199149812353,esenthial,3,5700,5700,5900,full,4,105e3d346cf2883f
76561198015308884,biguzera,2,5200,5100,5000,full,4,105e3d346cf2883f
76561198377335846,snow,2,3950,3900,4100,full,4,105e3d346cf2883f
76561198074017668,lux,2,3350,3300,3500,force-buy,4,105e3d346cf2883f
76561198359519930,headtr1ck,3,5400,2300,7250,full,4,105e3d346cf2883f
76561198136488014,cptkurtka023,3,6600,5700,5900,full,4,105e3d346cf2883f
76561198359519930,headtr1ck,3,5000,3550,3750,semi,5,105e3d346cf2883f
76561198385657675,kauez,2,3550,3400,4000,full,5,105e3d346cf2883f
76561198350342505,nqz,2,4000,3800,7050,full,5,105e3d346cf2883f
76561198305036904,npl,3,2250,300,300,eco,5,105e3d346cf2883f
76561198074017668,lux,2,3900,3800,5100,full,5,105e3d346cf2883f
76561198304115519,alex666,3,2000,200,400,eco,5,105e3d346cf2883f
76561199149812353,esenthial,3,2200,0,200,eco,5,105e3d346cf2883f
76561198015308884,biguzera,2,3350,2200,5100,full,5,105e3d346cf2883f
76561198136488014,cptkurtka023,3,3100,1150,1150,semi,5,105e3d346cf2883f
76561198377335846,snow,2,3700,2100,5000,full,5,105e3d346cf2883f
76561198015308884,biguzera,2,5300,3900,5100,full,6,105e3d346cf2883f
76561198074017668,lux,2,3350,2200,5100,full,6,105e3d346cf2883f
76561198359519930,headtr1ck,3,4150,4150,4350,force-buy,6,105e3d346cf2883f
76561198385657675,kauez,2,4000,3700,5100,full,6,105e3d346cf2883f
76561198350342505,nqz,2,3450,2100,7050,full,6,105e3d346cf2883f
