frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
2648,2033,1,esenthial,76561199149812353,3,Team A,lux,76561198074017668,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-2192.754150,704.215332,-101.791443,0,0,-1231.468384,749.918213,-79.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.556150,10196e75e41a9814
3027,2355,1,alex666,76561198304115519,3,Team A,snow,76561198377335846,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1426.706909,115.987465,-163.960571,0,0,-1839.266602,711.294434,-47.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.619343,10196e75e41a9814
3159,2472,1,alex666,76561198304115519,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1446.753662,118.379189,-166.596497,0,0,-1797.949829,720.598694,-47.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.041756,10196e75e41a9814
3237,2537,1,alex666,76561198304115519,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1448.438843,117.019791,-166.643311,0,0,-1843.989746,695.794006,-47.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.993904,10196e75e41a9814
3350,2640,1,headtr1ck,76561198359519930,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1799.973267,-90.730103,-167.787476,0,0,-1577.845459,797.770203,-47.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.463554,10196e75e41a9814
7988,6413,2,npl,76561198305036904,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-933.555054,-751.891357,-261.946777,0,0,-1047.932739,475.972321,-367.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,31.435913,10196e75e41a9814
12408,10311,2,npl,76561198305036904,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-521.150391,-1326.799805,-159.968750,0,0,-1207.021484,-1416.156982,-162.502930,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,17.604469,10196e75e41a9814
12558,10441,2,npl,76561198305036904,3,Team A,lux,76561198074017668,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-496.038391,-1368.296387,-134.122864,0,0,-1056.371338,-1407.946411,-166.139893,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,14.285938,10196e75e41a9814
12639,10517,2,snow,76561198377335846,2,Team B,npl,76561198305036904,3,Team A,lux,76561198074017668,2,Team B,Glock-18,pistol,0,0,0,0,0,0,-1224.236816,-1350.551147,-167.179443,0,0,-496.351196,-1363.937622,-137.609863,0,0,0,-1056.371338,-1407.946411,-166.139893,1,1,0,0,18.500513,10196e75e41a9814
12786,10644,2,alex666,76561198304115519,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,USP-S,pistol,0,0,0,0,0,0,-594.482727,-449.227844,-167.954285,0,0,-904.541870,-766.479187,-241.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.376863,10196e75e41a9814
12794,10652,2,cptkurtka023,76561198136488014,3,Team A,snow,76561198377335846,2,Team B,npl,76561198305036904,3,Team A,MP9,smg,1,0,0,0,0,0,-428.013428,-1790.334595,-173.140259,0,0,-1027.627075,-1463.456177,-165.506836,0,0,0,-496.351196,-1363.937622,-137.609863,1,0,0,0,17.266464,10196e75e41a9814
17235,13994,3,npl,76561198305036904,3,Team A,lux,76561198074017668,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-830.684631,-699.689758,-265.555603,0,0,436.086426,-478.041321,-159.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.782669,10196e75e41a9814
17321,14060,3,kauez,76561198385657675,2,Team B,esenthial,76561199149812353,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-2011.264893,710.893127,-47.968750,0,0,-2150.254150,4.534470,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,18.486546,10196e75e41a9814
17331,14070,3,alex666,76561198304115519,3,Team A,nqz,76561198350342505,2,Team B,esenthial,76561199149812353,3,Team A,M4A1,rifle,0,0,0,0,0,0,-766.282227,103.942383,-170.033691,0,0,-1979.901001,645.189575,-43.968750,0,0,0,-2151.444092,4.854447,-167.968750,0,0,0,0,33.927017,10196e75e41a9814
17468,14182,3,alex666,76561198304115519,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-781.246094,72.531494,-165.968750,0,0,-2059.914307,659.071228,-43.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,35.865646,10196e75e41a9814
17652,14334,3,headtr1ck,76561198359519930,3,Team A,snow,76561198377335846,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-2023.982056,-213.482056,-164.258911,0,0,-2001.387085,676.185425,-45.014160,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.806767,10196e75e41a9814
18090,14701,3,biguzera,76561198015308884,2,Team B,alex666,76561198304115519,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1855.510376,687.100525,-47.968750,0,0,-1032.992920,166.790421,-172.297241,0,0,0,0.000000,0.000000,0.000000,0,1,1,0,24.923573,10196e75e41a9814
18399,14962,3,headtr1ck,76561198359519930,3,Team A,biguzera,76561198015308884,2,Team B,alex666,76561198304115519,3,Team A,M4A1,rifle,0,1,0,0,0,0,-2190.765381,738.720154,-127.968750,0,0,-1842.749756,716.956177,-47.968750,0,0,0,-1032.992920,166.790421,-172.297241,1,0,0,0,9.125563,10196e75e41a9814
24219,19474,4,cptkurtka023,76561198136488014,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,AK-47,rifle,1,1,0,0,0,0,-12.585571,-2161.765869,-167.968750,0,0,-67.119873,-1599.572144,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.455953,10196e75e41a9814
24277,19523,4,cptkurtka023,76561198136488014,3,Team A,snow,76561198377335846,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,-29.198547,-2156.221680,-167.968750,0,0,-33.382385,-1476.106934,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.274647,10196e75e41a9814
24292,19535,4,headtr1ck,76561198359519930,3,Team A,lux,76561198074017668,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,-765.283508,-2093.490479,-179.968750,0,0,145.159363,-1428.918335,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,28.680079,10196e75e41a9814
24724,19905,4,headtr1ck,76561198359519930,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,-774.719971,-1782.100220,-179.968750,0,0,-32.813965,-1668.030151,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.120375,10196e75e41a9814
25686,20717,4,headtr1ck,76561198359519930,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,455.386353,-1692.554932,-239.658203,0,0,867.255859,-1056.205811,-260.747803,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.258301,10196e75e41a9814
29048,23223,5,alex666,76561198304115519,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,M4A1,rifle,1,1,0,0,0,0,-1744.766968,837.091248,-47.968750,0,0,-421.040283,402.446899,-109.989258,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,35.464417,10196e75e41a9814
29772,23821,5,npl,76561198305036904,3,Team A,lux,76561198074017668,2,Team B,cptkurtka023,76561198136488014,3,Team A,M4A1,rifle,0,0,0,0,0,0,-849.407471,265.771515,-169.106628,0,0,-705.354675,-322.944519,-159.968750,0,0,0,-674.968079,-1323.500366,-167.968750,0,0,0,0,15.410772,10196e75e41a9814
33781,27203,5,npl,76561198305036904,3,Team A,snow,76561198377335846,2,Team B,alex666,76561198304115519,3,Team A,M4A1,rifle,0,0,0,0,0,0,-1914.916138,422.333191,-89.941528,0,0,-1671.091919,-206.592224,-167.969116,0,0,0,-1865.248657,-636.275757,-167.968750,0,0,0,0,17.245678,10196e75e41a9814
33891,27293,5,nqz,76561198350342505,2,Team B,esenthial,76561199149812353,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,-909.727600,83.252304,-165.968750,0,0,-2270.889160,348.998901,-165.690063,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,35.226234,10196e75e41a9814
33992,27385,5,npl,76561198305036904,3,Team A,kauez,76561198385657675,2,Team B,alex666,76561198304115519,3,Team A,M4A1,rifle,1,0,0,0,0,0,-1984.790161,530.865356,-165.718750,0,0,-1318.511597,507.340424,-163.267334,0,0,0,-2313.701172,-343.102722,-167.968750,0,0,0,0,16.934052,10196e75e41a9814
34122,27496,5,npl,76561198305036904,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-2019.781128,344.781921,-159.968750,0,0,-1242.547607,201.111282,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,20.083519,10196e75e41a9814
44808,36049,6,cptkurtka023,76561198136488014,3,Team A,snow,76561198377335846,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,-330.596924,-1753.097290,-167.968750,0,0,373.286804,-1537.634155,-198.607422,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,18.795647,10196e75e41a9814
44881,36114,6,lux,76561198074017668,2,Team B,cptkurtka023,76561198136488014,3,Team A,snow,76561198377335846,2,Team B,Tec-9,pistol,1,0,0,0,0,0,-734.535767,-1760.828125,-179.968750,0,0,-300.436157,-1837.348999,-167.968750,0,0,0,373.286804,-1537.634155,-198.607422,1,1,0,0,11.118936,10196e75e41a9814
44955,36177,6,lux,76561198074017668,2,Team B,npl,76561198305036904,3,Team A,,0,0,,Tec-9,pistol,0,0,0,0,0,0,-679.052917,-1887.365967,-179.968750,0,0,-805.774902,-2231.675293,-179.114136,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,9.301200,10196e75e41a9814
45096,36298,6,headtr1ck,76561198359519930,3,Team A,lux,76561198074017668,2,Team B,,0,0,,AK-47,rifle,0,0,0,0,0,0,-509.717957,-2350.483887,-167.968750,0,0,-783.968628,-2112.933838,-179.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,9.247827,10196e75e41a9814
45180,36372,6,kauez,76561198385657675,2,Team B,headtr1ck,76561198359519930,3,Team A,lux,76561198074017668,2,Team B,Desert Eagle,pistol,1,0,0,0,0,0,38.346931,-2026.050903,-39.968750,0,0,-539.519897,-2348.448975,-168.351807,0,0,0,-783.968628,-2112.933838,-179.968750,1,0,0,0,17.151215,10196e75e41a9814
45251,36430,6,alex666,76561198304115519,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-651.547302,-365.770874,-162.850464,0,0,-758.841187,-2130.743652,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,44.829128,10196e75e41a9814
46568,37589,6,nqz,76561198350342505,2,Team B,esenthial,76561199149812353,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-179.747559,-2183.912109,-167.968750,0,0,-712.411865,-2415.993164,-170.031982,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.759009,10196e75e41a9814
47019,37993,6,alex666,76561198304115519,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-737.027832,-2062.087891,-179.968750,0,0,208.379852,-1484.661499,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.116665,10196e75e41a9814
47278,38225,6,alex666,76561198304115519,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-386.571106,-1740.611938,-167.968750,0,0,-150.781982,-2118.923584,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.310800,10196e75e41a9814
51603,41424,7,alex666,76561198304115519,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,AK-47,rifle,0,0,0,0,0,0,-848.803223,-186.315063,-167.909851,0,1,-715.094971,-349.723755,-162.957031,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,5.422200,10196e75e41a9814
52399,42094,7,alex666,76561198304115519,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,AK-47,rifle,0,0,0,0,0,0,-797.652283,-460.321838,-166.110962,0,0,503.016357,-454.800049,-160.000488,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,33.043232,10196e75e41a9814
56688,45765,7,cptkurtka023,76561198136488014,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,M4A4,rifle,0,0,0,0,0,0,-617.901062,-1350.174561,-167.968750,0,0,-711.588440,-863.719299,-252.105408,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.797421,10196e75e41a9814
56703,45779,7,lux,76561198074017668,2,Team B,npl,76561198305036904,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-603.765747,-745.373108,-261.968750,0,0,-730.530090,-1326.229248,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.298931,10196e75e41a9814
56732,45806,7,cptkurtka023,76561198136488014,3,Team A,lux,76561198074017668,2,Team B,,0,0,,M4A4,rifle,0,0,0,0,0,0,-618.015137,-1350.070068,-167.968750,0,0,-590.328064,-748.202454,-261.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,15.450218,10196e75e41a9814
57499,46467,7,esenthial,76561199149812353,3,Team A,snow,76561198377335846,2,Team B,alex666,76561198304115519,3,Team A,AK-47,rifle,0,0,0,0,0,0,-526.084717,-1767.107666,-179.968750,0,0,-727.562073,-1206.253052,-167.968750,0,0,0,-697.009033,-242.047119,-157.968750,0,0,0,0,15.147711,10196e75e41a9814
65246,52509,8,npl,76561198305036904,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,151.968384,-1972.915894,-7.968750,0,0,87.676636,-2106.304443,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.854495,10196e75e41a9814
65881,53048,8,npl,76561198305036904,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,45.149269,-2033.872803,-167.968750,0,0,-927.822449,-1411.782837,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.329086,10196e75e41a9814
66202,53331,8,cptkurtka023,76561198136488014,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,M4A4,rifle,1,0,0,0,0,0,-577.702087,-2166.176025,-179.968750,0,0,61.471645,-1418.031372,-175.715759,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.021435,10196e75e41a9814
66313,53425,8,cptkurtka023,76561198136488014,3,Team A,snow,76561198377335846,2,Team B,,0,0,,M4A4,rifle,1,0,0,0,0,0,-574.145508,-2183.860107,-179.968750,0,0,171.605652,-1636.828735,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.502817,10196e75e41a9814
70025,56611,8,headtr1ck,76561198359519930,3,Team A,lux,76561198074017668,2,Team B,alex666,76561198304115519,3,Team A,AWP,sniper,0,1,0,0,0,0,103.012032,-1618.487549,-169.319824,0,0,634.793823,-1542.245361,-263.965637,0,0,0,1382.517700,-161.821045,-160.706177,0,0,0,0,13.870910,10196e75e41a9814
74579,59971,9,alex666,76561198304115519,3,Team A,lux,76561198074017668,2,Team B,,0,0,,AK-47,rifle,0,0,0,0,0,0,-936.786438,-649.734680,-263.968750,0,0,-124.652954,-567.071960,-217.959595,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.791836,10196e75e41a9814
74797,60151,9,cptkurtka023,76561198136488014,3,Team A,biguzera,76561198015308884,2,Team B,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1491.546997,-2009.806519,-258.212524,0,0,-1317.104980,-2410.158447,-203.245178,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,11.241320,10196e75e41a9814
74834,60181,9,snow,76561198377335846,2,Team B,cptkurtka023,76561198136488014,3,Team A,biguzera,76561198015308884,2,Team B,Tec-9,pistol,0,0,0,0,0,0,-1311.490356,-2444.810547,-199.812134,0,0,-1492.160645,-2002.506714,-258.906799,0,0,0,-1317.104980,-2410.158447,-203.245178,1,0,0,0,12.184737,10196e75e41a9814
76359,61471,9,snow,76561198377335846,2,Team B,esenthial,76561199149812353,3,Team A,kauez,76561198385657675,2,Team B,Tec-9,pistol,0,0,0,0,0,0,-432.156677,-1899.557251,-178.362854,0,0,-971.004578,-1419.113037,-167.249390,0,0,0,169.230515,-2312.844727,-39.968750,0,1,0,0,18.334574,10196e75e41a9814
76516,61615,9,npl,76561198305036904,3,Team A,snow,76561198377335846,2,Team B,cptkurtka023,76561198136488014,3,Team A,AK-47,rifle,1,0,0,0,0,0,-922.390686,-2497.450684,-97.968750,0,0,-506.342773,-1994.370850,-109.968750,0,0,0,-1491.281616,-2000.781860,-259.246338,1,0,0,0,16.603598,10196e75e41a9814
76803,61864,9,npl,76561198305036904,3,Team A,nqz,76561198350342505,2,Team B,cptkurtka023,76561198136488014,3,Team A,AK-47,rifle,0,0,0,0,0,0,-663.757935,-2441.668701,-167.968750,0,0,-848.349304,-1361.144043,-167.968750,0,0,0,-1491.281616,-2000.781860,-259.246338,0,0,0,0,27.851015,10196e75e41a9814
