name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
headtr1ck,76561198359519930,26,Team B,7,3,13,4,57,0.538462,68.750000,51.687500,0.437500,0.812500,9.875000,1,-1,0,0,0,3,1,0,827,169,158,6,7,5,9,10,2,0,0,0,0,4,7,5,9,10,0,1,4,2,0,0,5,1,0,0,0,0.692568,0.555131,CSGO-r9Bfj-r2Sxh-7XkvR-sCpBb-OnMHA,1,0,b122b20cb1e25e7e
alex666,76561198304115519,8,Team B,2,0,13,2,100,0.153846,31.250000,29.562500,0.125000,0.812500,2.625000,0,-1,0,0,0,1,0,0,473,52,42,5,6,4,8,9,2,0,0,0,0,3,6,4,8,9,0,3,2,1,0,1,2,0,0,0,0,0.059234,0.257784,CSGO-ZsHQM-DfKAp-DZTFR-V3aAJ-pBtdA,4,0,b122b20cb1e25e7e
esenthial,76561199149812353,20,Team B,9,2,14,4,44,0.642857,56.250000,51.562500,0.562500,0.875000,2.500000,0,-1,0,0,0,0,0,0,825,127,40,3,4,2,6,7,2,0,0,0,0,1,4,2,6,7,0,1,3,4,0,0,3,3,0,0,0,0.669428,0.680960,CSGO-DzrXb-QXuir-mvA6s-6bAtd-OnMHA,4,0,b122b20cb1e25e7e
ewjerkz,76561198262460262,25,Team A,10,4,7,5,50,1.428571,81.250000,71.687500,0.625000,0.437500,3.250000,0,-1,0,0,0,1,0,0,1147,176,52,3,4,2,6,7,3,1,1,1,1,0,3,1,5,6,2,0,3,1,0,0,4,3,0,0,0,1.215945,1.090989,CSGO-pKtAN-JEaM9-5NxE5-oi3Fn-7FwzF,3,0,b122b20cb1e25e7e
cptkurtka023,76561198136488014,22,Team B,9,3,13,8,88,0.692308,68.750000,72.125000,0.562500,0.812500,2.750000,0,-1,0,0,0,0,0,0,1154,214,44,5,6,4,8,9,2,0,0,0,0,3,6,4,8,9,1,4,0,5,0,2,4,1,1,0,0,0.866010,0.768330,CSGO-NHzbj-qcWOe-L7RQu-qGZcK-PLzMM,0,0,b122b20cb1e25e7e
ag1l,76561198186878873,27,Team A,9,3,7,6,66,1.285714,68.750000,65.187500,0.562500,0.437500,1.562500,2,-1,0,0,0,1,2,0,1043,172,25,4,5,3,7,8,3,1,1,1,1,1,4,2,6,7,0,1,1,1,0,0,7,1,0,0,0,1.043648,0.966262,CSGO-JpJZE-SpTFJ-OEZXD-J9YsZ-PXYwP,0,0,b122b20cb1e25e7e
MUTiRiS,76561197997981170,45,Team A,18,4,8,9,50,2.250000,81.250000,102.500000,1.125000,0.500000,3.687500,6,-1,0,0,0,1,1,0,1640,328,59,3,4,2,6,7,2,0,0,0,0,1,4,2,6,7,4,1,1,5,0,0,1,7,1,0,0,1.713407,1.711399,CSGO-Bd7ys-qT9Ti-9a24R-DZ5Dh-Y2hWA,1,0,b122b20cb1e25e7e
story,76561198065448360,34,Team A,15,3,6,5,33,2.500000,87.500000,100.875000,0.937500,0.375000,17.375000,3,-1,0,0,0,0,0,0,1614,116,278,3,4,2,6,7,2,0,0,0,0,1,4,2,6,7,2,1,4,1,0,0,8,2,1,0,0,1.652155,1.475705,CSGO-48t9o-M6Xk9-8N5fs-p9uyu-FZQ3A,2,0,b122b20cb1e25e7e
roman ,76561197994395491,28,Team A,13,2,9,8,61,1.444444,87.500000,87.625000,0.812500,0.562500,4.812500,2,-1,0,0,0,0,0,0,1402,217,77,2,3,1,5,6,2,0,0,0,0,0,3,1,5,6,5,0,1,2,0,0,8,1,1,0,0,1.395568,1.181667,CSGO-d3Ywf-WCxVa-5HeRt-uRM9f-dAHnK,4,0,b122b20cb1e25e7e
npl,76561198305036904,27,Team B,10,5,12,6,60,0.833333,62.500000,77.687500,0.625000,0.750000,2.687500,2,-1,0,0,0,0,0,0,1243,161,43,3,4,2,6,7,2,0,0,0,0,1,4,2,6,7,2,4,3,2,0,1,4,1,0,1,0,0.937966,0.980426,CSGO-9n8F3-OtAC3-E6R5t-Me7Ws-Ed7iL,2,0,b122b20cb1e25e7e
