steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198031890115,Lucky,3,800,650,850,pistol,1,bfc6f2825a0867f9
76561198045739761,Maka,3,800,650,850,pistol,1,bfc6f2825a0867f9
76561197987212623,INS,2,800,650,950,pistol,1,bfc6f2825a0867f9
76561198052888143,Vexite,2,800,650,1250,pistol,1,bfc6f2825a0867f9
76561198072321716,Liazz,2,800,800,700,pistol,1,bfc6f2825a0867f9
76561198098463229,regali,2,800,650,1250,pistol,1,bfc6f2825a0867f9
76561198061801241,dexter,2,800,700,500,pistol,1,bfc6f2825a0867f9
76561198168198200,Ex3rcice,3,800,650,850,pistol,1,bfc6f2825a0867f9
76561198179538505,Graviti,3,800,800,1000,pistol,1,bfc6f2825a0867f9
76561198047876970,Djoko,3,800,650,850,pistol,1,bfc6f2825a0867f9
76561197987212623,INS,2,4550,4400,4600,full,2,bfc6f2825a0867f9
76561198052888143,Vexite,2,3650,3450,3450,semi,2,bfc6f2825a0867f9
76561198179538505,Graviti,3,2200,2200,2400,force-buy,2,bfc6f2825a0867f9
76561198045739761,Maka,3,2050,1650,1650,force-buy,2,bfc6f2825a0867f9
76561198072321716,Liazz,2,3500,3500,3900,semi,2,bfc6f2825a0867f9
76561198098463229,regali,2,3950,3900,4100,full,2,bfc6f2825a0867f9
76561198061801241,dexter,2,3900,3900,4100,full,2,bfc6f2825a0867f9
76561198168198200,Ex3rcice,3,2350,2200,2400,force-buy,2,bfc6f2825a0867f9
76561198047876970,Djoko,3,2050,2000,2000,force-buy,2,bfc6f2825a0867f9
76561198031890115,Lucky,3,2950,2900,3750,force-buy,2,bfc6f2825a0867f9
76561198179538505,Graviti,3,3250,2500,3750,semi,3,bfc6f2825a0867f9
76561198072321716,Liazz,2,1400,1350,1350,force-buy,3,bfc6f2825a0867f9
76561198098463229,regali,2,1450,1450,1450,force-buy,3,bfc6f2825a0867f9
76561198061801241,dexter,2,1700,1650,1650,force-buy,3,bfc6f2825a0867f9
76561198047876970,Djoko,3,3600,2950,6300,full,3,bfc6f2825a0867f9
76561198031890115,Lucky,3,3900,2500,5600,full,3,bfc6f2825a0867f9
76561198045739761,Maka,3,3650,2300,5700,full,3,bfc6f2825a0867f9
76561197987212623,INS,2,1850,1800,2000,force-buy,3,bfc6f2825a0867f9
76561198052888143,Vexite,2,1600,1500,1500,force-buy,3,bfc6f2825a0867f9
76561198168198200,Ex3rcice,3,4600,4600,5000,full,3,bfc6f2825a0867f9
76561198168198200,Ex3rcice,3,3550,800,5800,full,4,bfc6f2825a0867f9
76561198047876970,Djoko,3,3900,200,6300,full,4,bfc6f2825a0867f9
76561198031890115,Lucky,3,4950,800,5600,full,4,bfc6f2825a0867f9
76561198179538505,Graviti,3,4600,1100,5700,full,4,bfc6f2825a0867f9
76561198052888143,Vexite,2,2000,0,200,eco,4,bfc6f2825a0867f9
76561198072321716,Liazz,2,1950,0,200,eco,4,bfc6f2825a0867f9
76561198098463229,regali,2,1900,0,200,eco,4,bfc6f2825a0867f9
76561198061801241,dexter,2,1950,0,200,eco,4,bfc6f2825a0867f9
76561198045739761,Maka,3,5200,1000,3850,semi,4,bfc6f2825a0867f9
76561197987212623,INS,2,1950,0,200,eco,4,bfc6f2825a0867f9
76561198098463229,regali,2,4300,4200,4600,full,5,bfc6f2825a0867f9
76561198168198200,Ex3rcice,3,6000,300,5800,full,5,bfc6f2825a0867f9
76561198179538505,Graviti,3,7350,300,3850,semi,5,bfc6f2825a0867f9
76561198045739761,Maka,3,7450,800,5700,full,5,bfc6f2825a0867f9
76561197987212623,INS,2,4350,4200,4100,full,5,bfc6f2825a0867f9
76561198061801241,dexter,2,4350,4000,4200,full,5,bfc6f2825a0867f9
76561198047876970,Djoko,3,7850,1000,6300,full,5,bfc6f2825a0867f9
76561198031890115,Lucky,3,7400,1300,5600,full,5,bfc6f2825a0867f9
76561198052888143,Vexite,2,4400,4400,4900,full,5,bfc6f2825a0867f9
76561198072321716,Liazz,2,4350,4200,4200,full,5,bfc6f2825a0867f9
76561198052888143,Vexite,2,2900,1000,1000,eco,6,bfc6f2825a0867f9
76561198072321716,Liazz,2,3350,700,700,eco,6,bfc6f2825a0867f9
76561198098463229,regali,2,3300,0,200,eco,6,bfc6f2825a0867f9
