steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198061423730,insani,3,800,700,400,pistol,1,27ff2724d14966de
76561198010496342,exit,3,800,650,1150,pistol,1,27ff2724d14966de
76561197987713664,dev1ce,2,800,650,850,pistol,1,27ff2724d14966de
76561198157388473,Lucaozy,3,800,650,850,pistol,1,27ff2724d14966de
76561197985565685,saffee,3,800,650,1050,pistol,1,27ff2724d14966de
76561198022365638,stavn,2,800,800,800,pistol,1,27ff2724d14966de
76561198388056582,drop,3,800,650,850,pistol,1,27ff2724d14966de
76561198120557348,jabbi,2,800,650,850,pistol,1,27ff2724d14966de
76561198005107817,Staehr,2,800,650,850,pistol,1,27ff2724d14966de
76561198004115516,cadiaN,2,800,650,850,pistol,1,27ff2724d14966de
76561198157388473,Lucaozy,3,2050,0,200,eco,2,27ff2724d14966de
76561198388056582,drop,3,2350,200,400,eco,2,27ff2724d14966de
76561198120557348,jabbi,2,3700,2950,3150,semi,2,27ff2724d14966de
76561197987713664,dev1ce,2,4000,3750,4700,full,2,27ff2724d14966de
76561198022365638,stavn,2,3550,3500,3700,semi,2,27ff2724d14966de
76561198010496342,exit,3,2050,0,200,eco,2,27ff2724d14966de
76561198004115516,cadiaN,2,3700,3150,3350,semi,2,27ff2724d14966de
76561197985565685,saffee,3,2050,0,200,eco,2,27ff2724d14966de
76561198005107817,Staehr,2,3700,3650,4500,full,2,27ff2724d14966de
76561198061423730,insani,3,2000,0,200,eco,2,27ff2724d14966de
76561198061423730,insani,3,4400,4350,4550,full,3,27ff2724d14966de
76561198005107817,Staehr,2,3850,600,5100,full,3,27ff2724d14966de
76561198022365638,stavn,2,3550,700,3450,semi,3,27ff2724d14966de
76561198157388473,Lucaozy,3,4450,4400,5400,full,3,27ff2724d14966de
76561198120557348,jabbi,2,4250,900,4100,full,3,27ff2724d14966de
76561198004115516,cadiaN,2,4050,1000,3450,semi,3,27ff2724d14966de
76561197985565685,saffee,3,4450,4350,4550,full,3,27ff2724d14966de
76561197987713664,dev1ce,2,4350,1100,5100,full,3,27ff2724d14966de
76561198388056582,drop,3,4550,4350,4750,full,3,27ff2724d14966de
76561198010496342,exit,3,4450,4350,4750,full,3,27ff2724d14966de
76561198061423730,insani,3,2950,1450,1450,semi,4,27ff2724d14966de
76561197985565685,saffee,3,3000,0,400,eco,4,27ff2724d14966de
76561198157388473,Lucaozy,3,3550,2200,2400,semi,4,27ff2724d14966de
76561198010496342,exit,3,3000,1000,1000,eco,4,27ff2724d14966de
76561198120557348,jabbi,2,6900,5100,5000,full,4,27ff2724d14966de
76561198022365638,stavn,2,7900,3900,5100,full,4,27ff2724d14966de
76561198388056582,drop,3,3700,3550,3750,force-buy,4,27ff2724d14966de
76561198005107817,Staehr,2,6500,4900,5100,full,4,27ff2724d14966de
76561198004115516,cadiaN,2,6900,4800,5000,full,4,27ff2724d14966de
76561198061423730,insani,3,5350,2050,5900,full,5,27ff2724d14966de
76561198022365638,stavn,2,6000,5100,5100,full,5,27ff2724d14966de
76561198157388473,Lucaozy,3,5200,2300,5200,full,5,27ff2724d14966de
76561198120557348,jabbi,2,3200,3100,3300,force-buy,5,27ff2724d14966de
76561198005107817,Staehr,2,3000,2900,2900,force-buy,5,27ff2724d14966de
76561198010496342,exit,3,5250,5200,5400,full,5,27ff2724d14966de
76561197987713664,dev1ce,2,6100,6050,6450,full,5,27ff2724d14966de
76561198388056582,drop,3,3400,2050,5600,full,5,27ff2724d14966de
