number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1267,1714,7818,9317,8138,9717,Team A,Team B,0,1,3,2,4000,4000,4300,4200,3300,3400,pistol,pistol,115528,9,Team B,2,0,27ff2724d14966de
2,8138,9717,9418,11655,13555,16740,13875,17111,Team A,Team B,0,2,3,2,10500,18650,1200,19400,200,17000,eco,semi,87092,1,Team B,2,0,27ff2724d14966de
3,13875,17111,32178,40873,40224,50383,40544,50783,Team A,Team B,0,3,3,2,22300,20050,24000,21200,21800,4300,full,full,412607,9,Team B,2,0,27ff2724d14966de
4,61230,76917,62510,78700,69288,86820,69608,87226,Team A,Team B,1,3,3,2,16200,28200,9000,25200,8200,20800,semi,full,122807,8,Team A,3,0,27ff2724d14966de
5,69608,87226,70888,89134,77906,97506,78226,97893,Team A,Team B,1,4,3,2,26050,21800,29100,21650,18400,20650,full,full,127482,9,Team B,2,0,27ff2724d14966de
6,78226,97893,79506,99759,86206,107744,86526,108131,Team A,Team B,1,5,3,2,20850,19000,20800,21200,19800,17000,force-buy,full,122162,1,Team B,2,0,27ff2724d14966de
7,86526,108131,97299,121875,100525,125863,100845,126252,Team A,Team B,2,5,3,2,13150,21000,13100,25200,6150,17000,semi,full,219895,8,Team A,3,0,27ff2724d14966de
8,100845,126252,102125,128268,104010,130672,104330,131082,Team A,Team B,3,5,3,2,27950,12200,28450,12750,24250,11950,full,force-buy,54812,8,Team A,3,0,27ff2724d14966de
9,104330,131082,105610,133072,112007,140581,112327,141016,Team A,Team B,4,5,3,2,21450,10050,30650,1500,10200,700,full,eco,117797,8,Team A,3,0,27ff2724d14966de
10,114920,144574,116200,146402,123254,154805,123574,155209,Team A,Team B,4,6,3,2,29000,21650,30800,22000,8650,21100,full,full,126875,9,Team B,2,0,27ff2724d14966de
11,123574,155209,124854,157178,0,0,0,0,Team A,Team B,4,7,3,2,27750,18600,25500,26850,24500,12700,full,full,-1924755,0,,0,0,27ff2724d14966de
