frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
20229,7950,1,2,3,0,76561198120557348,jabbi,1,0,dd7f4fbf9530e544
43870,17031,2,2,2,0,76561197985565685,saffee,1,0,dd7f4fbf9530e544
66768,25069,3,3,2,0,76561198010496342,exit,0,2,dd7f4fbf9530e544
69032,26199,3,1,3,1,76561198022365638,stavn,1,1,dd7f4fbf9530e544
131029,49050,5,3,3,0,76561198120557348,jabbi,0,0,dd7f4fbf9530e544
145335,54362,6,4,3,0,76561198022365638,stavn,0,1,dd7f4fbf9530e544
169309,63461,7,4,2,0,76561197985565685,saffee,1,1,dd7f4fbf9530e544
220912,82674,9,2,3,1,76561198004115516,cadiaN,1,1,dd7f4fbf9530e544
220971,82712,9,1,2,0,76561197985565685,saffee,1,0,dd7f4fbf9530e544
235743,87728,10,3,3,0,76561198120557348,jabbi,0,0,dd7f4fbf9530e544
252902,93828,11,5,3,0,76561197987713664,dev1ce,0,0,dd7f4fbf9530e544
274018,101316,12,2,2,0,76561198157388473,Lucaozy,0,1,dd7f4fbf9530e544
274769,101689,12,1,3,1,76561198005107817,Staehr,1,1,dd7f4fbf9530e544
302343,112051,13,4,3,0,76561198004115516,cadiaN,0,0,dd7f4fbf9530e544
320481,117625,14,5,3,0,76561197987713664,dev1ce,0,3,dd7f4fbf9530e544
443991,162592,15,3,3,0,76561197987713664,dev1ce,0,0,dd7f4fbf9530e544
466667,171319,16,4,2,0,76561198004115516,cadiaN,0,0,dd7f4fbf9530e544
