frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
13425,4584,1,saffee,76561197985565685,2,MIBR,dev1ce,76561197987713664,3,Astralis,drop,76561198388056582,2,MIBR,Glock-18,pistol,1,0,1,0,0,0,174.323090,-1663.619507,-167.968750,0,0,-66.307495,-1717.148315,-167.968750,0,1,0,539.066101,-1580.834473,-263.968750,0,0,0,0,6.075467,dd7f4fbf9530e544
13592,4646,1,insani,76561198061423730,2,MIBR,Staehr,76561198005107817,3,Astralis,drop,76561198388056582,2,MIBR,Glock-18,pistol,0,0,1,0,0,0,83.264885,-2082.802490,-39.968750,0,0,-1051.274902,-2387.844238,-167.968750,0,1,0,329.926483,-1599.472900,-176.928284,0,0,0,0,30.015768,dd7f4fbf9530e544
14892,5288,1,exit,76561198010496342,2,MIBR,stavn,76561198022365638,3,Astralis,,0,0,,Glock-18,pistol,0,0,0,0,0,0,85.026672,-2292.860596,-39.968750,0,0,-504.861816,-1477.360962,-46.871216,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,25.600147,dd7f4fbf9530e544
17124,6372,1,jabbi,76561198120557348,3,Astralis,insani,76561198061423730,2,MIBR,stavn,76561198022365638,3,Astralis,Dual Berettas,pistol,1,0,0,0,0,0,-1258.107910,-1103.306763,-167.968750,0,0,-1310.042847,-962.891968,-167.968750,0,0,0,-504.861816,-1477.360962,-46.871216,0,0,0,0,3.836356,dd7f4fbf9530e544
19844,7761,1,cadiaN,76561198004115516,3,Astralis,exit,76561198010496342,2,MIBR,,0,0,,USP-S,pistol,1,0,0,0,0,0,1240.141846,264.402130,-199.968750,0,0,1307.794189,-1407.401855,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,42.567287,dd7f4fbf9530e544
20195,7923,1,World,0,0,,drop,76561198388056582,2,MIBR,,0,0,,C4,equipment,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,-284.216797,-2401.817871,-163.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,dd7f4fbf9530e544
20229,7950,1,saffee,76561197985565685,2,MIBR,cadiaN,76561198004115516,3,Astralis,exit,76561198010496342,2,MIBR,Glock-18,pistol,0,0,0,0,0,0,1226.580444,-656.310547,-210.990967,0,0,1334.261108,188.105209,-173.365906,0,0,0,1307.748535,-1407.457397,-167.968750,1,0,0,0,21.621666,dd7f4fbf9530e544
39342,14891,2,saffee,76561197985565685,2,MIBR,dev1ce,76561197987713664,3,Astralis,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1590.599243,697.328064,-47.968750,0,0,-1894.242920,-116.823303,-167.201721,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.354639,dd7f4fbf9530e544
39386,14900,2,jabbi,76561198120557348,3,Astralis,drop,76561198388056582,2,MIBR,Staehr,76561198005107817,3,Astralis,Desert Eagle,pistol,1,0,1,0,0,0,-932.098389,284.299652,-168.168030,0,0,-795.515686,-62.619629,-167.271423,0,1,0,-2134.440918,674.504395,-138.307312,0,0,0,0,9.470720,dd7f4fbf9530e544
39586,14988,2,Staehr,76561198005107817,3,Astralis,exit,76561198010496342,2,MIBR,,0,0,,Desert Eagle,pistol,0,0,0,0,0,0,-2166.742920,778.568542,-127.968750,0,0,-2089.741943,829.042053,-43.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.160915,dd7f4fbf9530e544
39732,15057,2,jabbi,76561198120557348,3,Astralis,insani,76561198061423730,2,MIBR,cadiaN,76561198004115516,3,Astralis,Desert Eagle,pistol,1,0,1,0,0,0,-1121.494385,104.540985,-168.909912,0,0,-1810.423950,358.498260,-167.968750,0,1,0,-1611.434082,-1068.568237,-222.609863,0,0,0,0,18.719845,dd7f4fbf9530e544
41772,15997,2,Lucaozy,76561198157388473,2,MIBR,jabbi,76561198120557348,3,Astralis,drop,76561198388056582,2,MIBR,Galil AR,rifle,0,0,0,0,0,0,-736.233154,-349.066772,-166.319519,0,0,-754.674194,49.824802,-166.200317,0,0,0,-795.839722,-62.729248,-167.282349,0,0,0,0,10.034465,dd7f4fbf9530e544
43756,16959,2,Lucaozy,76561198157388473,2,MIBR,cadiaN,76561198004115516,3,Astralis,saffee,76561197985565685,2,MIBR,Galil AR,rifle,0,0,0,0,0,0,-1097.090942,-121.884644,-167.968750,0,0,-840.308960,-152.321655,-143.109375,1,0,0,379.599548,674.769897,-171.234375,0,1,0,0,6.629864,dd7f4fbf9530e544
43870,17031,2,stavn,76561198022365638,3,Astralis,Lucaozy,76561198157388473,2,MIBR,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-765.343750,-9.364563,-163.710266,0,0,-1087.369263,-85.291931,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,8.413382,dd7f4fbf9530e544
