frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
932,156,1,76561198005107817,3,Staehr,Dual Berettas,pistol,01JM6EHTG0G1Q3ZEGB0CCNF210,0,dd7f4fbf9530e544
977,187,1,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM6EHTG0G1Q3ZEGB0D7VPMWW,0,dd7f4fbf9530e544
1022,197,1,76561198005107817,3,Staehr,Flashbang,grenade,01JM6EHTG1AEPC68HSTC9ESFAC,0,dd7f4fbf9530e544
1381,304,1,76561198120557348,3,jabbi,Kevlar Vest,equipment,01JM6EHTG5B58EFXT2JNKV6HKK,0,dd7f4fbf9530e544
2448,720,1,76561198157388473,2,Lucaozy,Kevlar Vest,equipment,01JM6EHTGK4YWWBDTHQG0RWK8J,0,dd7f4fbf9530e544
2573,761,1,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM6EHTGMG9K69BCV2ME5TR6K,0,dd7f4fbf9530e544
3018,835,1,76561198022365638,3,stavn,Kevlar Vest,equipment,01JM6EHTGS3NGY8D4JP3XCQTH1,0,dd7f4fbf9530e544
3043,839,1,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6EHTGS3NGY8D4JP45J95PJ,0,dd7f4fbf9530e544
3054,850,1,76561198388056582,2,drop,Flashbang,grenade,01JM6EHTGTAMYNMPKPFMQNXQGT,0,dd7f4fbf9530e544
3249,884,1,76561197985565685,2,saffee,Kevlar Vest,equipment,01JM6EHTGX0QC84WKWRM77BSWS,0,dd7f4fbf9530e544
3624,979,1,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6EHTH1VF441GSV0EDFAYBM,0,dd7f4fbf9530e544
3678,998,1,76561198010496342,2,exit,Molotov,grenade,01JM6EHTH2C4QZZ66XC5XWPF99,0,dd7f4fbf9530e544
4056,1089,1,76561198004115516,3,cadiaN,Dual Berettas,pistol,01JM6EHTH6QGWJKYPRZRVHN9WM,0,dd7f4fbf9530e544
4166,1122,1,76561198004115516,3,cadiaN,Incendiary Grenade,grenade,01JM6EHTH8DVMRXV6S2JDJMGS0,0,dd7f4fbf9530e544
21481,8357,2,76561198005107817,3,Staehr,Kevlar + Helmet,equipment,01JM6EHTYAG95FM3Q27XV6E1T9,0,dd7f4fbf9530e544
21497,8366,2,76561198157388473,2,Lucaozy,Kevlar + Helmet,equipment,01JM6EHTYAG95FM3Q27YHRS0RB,0,dd7f4fbf9530e544
22163,8528,2,76561198388056582,2,drop,Kevlar + Helmet,equipment,01JM6EHTYK7T17C41NTZ5YV3YX,0,dd7f4fbf9530e544
22229,8545,2,76561198010496342,2,exit,Galil AR,rifle,01JM6EHTYMYBQBCFA4W4W8NMJ7,0,dd7f4fbf9530e544
22331,8570,2,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6EHTYN2F80PEY65G5MP8MY,0,dd7f4fbf9530e544
22454,8602,2,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6EHTYQPNCGZ09CDYJSV2Z1,0,dd7f4fbf9530e544
22454,8602,2,76561197985565685,2,saffee,Kevlar + Helmet,equipment,01JM6EHTYQPNCGZ09CE0NXQDSC,0,dd7f4fbf9530e544
22509,8615,2,76561198010496342,2,exit,Flashbang,grenade,01JM6EHTYRGQ343NSDAG39ZJV6,0,dd7f4fbf9530e544
22575,8618,2,76561197985565685,2,saffee,AK-47,rifle,01JM6EHTYRGQ343NSDAHHSZSZV,0,dd7f4fbf9530e544
22601,8630,2,76561197985565685,2,saffee,Smoke Grenade,grenade,01JM6EHTYSN04BE7H79ZW6A8ZT,0,dd7f4fbf9530e544
22679,8645,2,76561198157388473,2,Lucaozy,Galil AR,rifle,01JM6EHTYTTKSJDMT97PYDJGX6,0,dd7f4fbf9530e544
22679,8645,2,76561198010496342,2,exit,Molotov,grenade,01JM6EHTYTTKSJDMT97R3806YX,0,dd7f4fbf9530e544
22756,8659,2,76561198005107817,3,Staehr,Kevlar + Helmet,equipment,01JM6EHTYVMA3J79GNPWYRHV7P,0,dd7f4fbf9530e544
22825,8665,2,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6EHTYW2MT8WNBVPWKMD4DF,0,dd7f4fbf9530e544
22902,8679,2,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6EHTYXAEBCV758AH6G9SSW,0,dd7f4fbf9530e544
23407,8771,2,76561197985565685,2,saffee,Flashbang,grenade,01JM6EHTZ30KCX34RRZGEZX34V,0,dd7f4fbf9530e544
23504,8798,2,76561198005107817,3,Staehr,Kevlar Vest,equipment,01JM6EHTZ41AJYX7R7ZA21J1FJ,0,dd7f4fbf9530e544
23663,8852,2,76561198388056582,2,drop,Galil AR,rifle,01JM6EHTZ7WZ0VHZKDK0MRWDE7,0,dd7f4fbf9530e544
23827,8897,2,76561198388056582,2,drop,Molotov,grenade,01JM6EHTZ8P9CD32QQ9JMX8D1G,0,dd7f4fbf9530e544
23842,8912,2,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6EHTZ93EHQPJ5K1JDRV1F6,0,dd7f4fbf9530e544
23859,8915,2,76561198004115516,3,cadiaN,SSG 08,sniper,01JM6EHTZ93EHQPJ5K1KN2QPBE,0,dd7f4fbf9530e544
23874,8923,2,76561198388056582,2,drop,Flashbang,grenade,01JM6EHTZ93EHQPJ5K1NGBFACE,0,dd7f4fbf9530e544
23938,8938,2,76561198004115516,3,cadiaN,Smoke Grenade,grenade,01JM6EHTZA97S1QXV0SXZCSZ2S,0,dd7f4fbf9530e544
24030,8960,2,76561198004115516,3,cadiaN,Flashbang,grenade,01JM6EHTZBJ16P66SB5V3JN1ZQ,0,dd7f4fbf9530e544
24230,8992,2,76561198005107817,3,Staehr,Kevlar + Helmet,equipment,01JM6EHTZEQS9G989R9SY7XCBM,0,dd7f4fbf9530e544
24321,9006,2,76561198005107817,3,Staehr,Desert Eagle,pistol,01JM6EHTZFMH937PHTT7V5DE69,0,dd7f4fbf9530e544
24434,9021,2,76561198120557348,3,jabbi,SSG 08,sniper,01JM6EHTZG681AFG0H5GFME38D,0,dd7f4fbf9530e544
24742,9070,2,76561198005107817,3,Staehr,Flashbang,grenade,01JM6EHTZMKJXRJ386MVQPNGCG,0,dd7f4fbf9530e544
24859,9103,2,76561198061423730,2,insani,Kevlar + Helmet,equipment,01JM6EHTZPZAX9B7NWJ1BP293B,0,dd7f4fbf9530e544
24860,9104,2,76561198022365638,3,stavn,Kevlar Vest,equipment,01JM6EHTZPZAX9B7NWJ1K7AS5X,0,dd7f4fbf9530e544
24906,9115,2,76561198061423730,2,insani,Galil AR,rifle,01JM6EHTZPZAX9B7NWJ45ZAV79,0,dd7f4fbf9530e544
24928,9116,2,76561197987713664,3,dev1ce,Desert Eagle,pistol,01JM6EHTZQ1Q1FN5T2DVT7453X,0,dd7f4fbf9530e544
24988,9134,2,76561198022365638,3,stavn,Desert Eagle,pistol,01JM6EHTZQ1Q1FN5T2DX2YY41F,0,dd7f4fbf9530e544
25673,9266,2,76561198061423730,2,insani,Molotov,grenade,01JM6EHV00MH09FW7QJ840A7HG,0,dd7f4fbf9530e544
25724,9275,2,76561198061423730,2,insani,Smoke Grenade,grenade,01JM6EHV01MNJEDR7G1SVV0SF9,0,dd7f4fbf9530e544
25739,9283,2,76561198061423730,2,insani,HE Grenade,grenade,01JM6EHV01MNJEDR7G1XRXZRWX,1,dd7f4fbf9530e544
25870,9330,2,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM6EHV03FB6CM68B3KSGSB3T,0,dd7f4fbf9530e544
25887,9333,2,76561198120557348,3,jabbi,Smoke Grenade,grenade,01JM6EHV03FB6CM68B3NY25HRZ,0,dd7f4fbf9530e544
25960,9357,2,76561197987713664,3,dev1ce,Smoke Grenade,grenade,01JM6EHV041QZ5VX9PF7FAZTG2,0,dd7f4fbf9530e544
26092,9384,2,76561198061423730,2,insani,Flashbang,grenade,01JM6EHV06R9807NATW0X2MM7Q,0,dd7f4fbf9530e544
26176,9398,2,76561198120557348,3,jabbi,HE Grenade,grenade,01JM6EHV07SQ8TQ9G52GM0WP9G,0,dd7f4fbf9530e544
26610,9475,2,76561198022365638,3,stavn,Smoke Grenade,grenade,01JM6EHV0CQ84Z0XCCJM1EWSKM,0,dd7f4fbf9530e544
26657,9487,2,76561198022365638,3,stavn,HE Grenade,grenade,01JM6EHV0DHTZBR0WPSNY3VNY6,0,dd7f4fbf9530e544
44636,17296,3,76561198061423730,2,insani,Kevlar Vest,equipment,01JM6EHVGAN6C5GFGTR9GE5PZR,0,dd7f4fbf9530e544
44747,17337,3,76561198061423730,2,insani,Desert Eagle,pistol,01JM6EHVGBPANGK1289XH2ECBP,0,dd7f4fbf9530e544
45329,17499,3,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM6EHVGKMJJMZGWE0QGAYQ61,0,dd7f4fbf9530e544
45350,17506,3,76561198005107817,3,Staehr,HE Grenade,grenade,01JM6EHVGM14JA0AG2QWV0QGES,0,dd7f4fbf9530e544
46516,17790,3,76561197987713664,3,dev1ce,Kevlar + Helmet,equipment,01JM6EHVH2PCXQM1WN5JZCV1RJ,0,dd7f4fbf9530e544
46565,17804,3,76561198388056582,2,drop,Kevlar Vest,equipment,01JM6EHVH3FWR3H5A40P8V3ZCP,0,dd7f4fbf9530e544
46631,17821,3,76561197987713664,3,dev1ce,Smoke Grenade,grenade,01JM6EHVH3FWR3H5A40PFR668Z,0,dd7f4fbf9530e544
46663,17832,3,76561197987713664,3,dev1ce,HE Grenade,grenade,01JM6EHVH4CGM65XWA8ZMMKHCN,0,dd7f4fbf9530e544
46689,17844,3,76561197987713664,3,dev1ce,Incendiary Grenade,grenade,01JM6EHTH8DVMRXV6S2JDJMGS0,0,dd7f4fbf9530e544
46714,17848,3,76561198388056582,2,drop,Tec-9,pistol,01JM6EHTG0G1Q3ZEGB0CCNF210,1,dd7f4fbf9530e544
46740,17860,3,76561197987713664,3,dev1ce,Flashbang,grenade,01JM6EHTFNK4DBDM911FT0E3CG,0,dd7f4fbf9530e544
73035,27879,4,76561198010496342,2,exit,AK-47,rifle,01JM6EHVG40H694GD2FJ3ZVWH1,1,dd7f4fbf9530e544
74180,28177,4,76561198010496342,2,exit,Kevlar Vest,equipment,01JM6EHW2T8KV4K1XV2DW51S8E,0,dd7f4fbf9530e544
74319,28197,4,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6EHTZ7WZ0VHZKDK0MRWDE7,1,dd7f4fbf9530e544
74441,28214,4,76561197987713664,3,dev1ce,AWP,sniper,01JM6EHTYTTKSJDMT97PYDJGX6,0,dd7f4fbf9530e544
74697,28260,4,76561198061423730,2,insani,Kevlar Vest,equipment,01JM6EHW317VQ0RMAV1ACT06A4,0,dd7f4fbf9530e544
75461,28485,4,76561198120557348,3,jabbi,Kevlar + Helmet,equipment,01JM6EHW3A2QJKSGMHJDKQZAR7,0,dd7f4fbf9530e544
75574,28500,4,76561198120557348,3,jabbi,Smoke Grenade,grenade,01JM6EHTF77K5JN4WG1F8EPA58,0,dd7f4fbf9530e544
75598,28503,4,76561198120557348,3,jabbi,HE Grenade,grenade,01JM6EHTFE3W6J50G205PM307Y,0,dd7f4fbf9530e544
75602,28507,4,76561198120557348,3,jabbi,Incendiary Grenade,grenade,01JM6EHW3CCCK8TZQR9KQK32PA,0,dd7f4fbf9530e544
75643,28513,4,76561198120557348,3,jabbi,Flashbang,grenade,01JM6EHW3CCCK8TZQR9PBXDSTF,0,dd7f4fbf9530e544
75824,28547,4,76561198022365638,3,stavn,Kevlar + Helmet,equipment,01JM6EHW3FNX55XH9MB992AMPV,0,dd7f4fbf9530e544
75970,28567,4,76561198022365638,3,stavn,M4A1,rifle,01JM6EHW3HW4ES30JBJHKM7P5W,0,dd7f4fbf9530e544
77175,28974,4,76561198061423730,2,insani,Kevlar Vest,equipment,01JM6EHW438R1KJ2S07JGC1QVF,0,dd7f4fbf9530e544
81783,30411,4,76561198388056582,2,drop,Tec-9,pistol,01JM6EHW5WYNFQ7EJGMPVKXPQZ,0,dd7f4fbf9530e544
82062,30494,4,76561198120557348,3,jabbi,Defuse Kit,equipment,01JM6EHW602RK0BZ92G154BX4S,0,dd7f4fbf9530e544
82121,30511,4,76561197985565685,2,saffee,Kevlar Vest,equipment,01JM6EHW602RK0BZ92G4CWSR43,0,dd7f4fbf9530e544
82495,30626,4,76561197985565685,2,saffee,SSG 08,sniper,01JM6EHW65C6XGX627Z6BAZV4J,0,dd7f4fbf9530e544
82558,30640,4,76561197985565685,2,saffee,Smoke Grenade,grenade,01JM6EHW65C6XGX627Z7GJ74X7,0,dd7f4fbf9530e544
82657,30662,4,76561197985565685,2,saffee,Flashbang,grenade,01JM6EHW67BJE16D11QNH30FKQ,0,dd7f4fbf9530e544
83276,30811,4,76561198157388473,2,Lucaozy,Galil AR,rifle,01JM6EHW6E4S4JQ1HG777TR1T6,0,dd7f4fbf9530e544
83667,30880,4,76561198061423730,2,insani,Flashbang,grenade,01JM6EHW6KF64HM81YQDV4PAVE,0,dd7f4fbf9530e544
84628,31141,4,76561198388056582,2,drop,Flashbang,grenade,01JM6EHW6YDYG1RGJKEPN77SS9,0,dd7f4fbf9530e544
108204,40710,5,76561197987713664,3,dev1ce,Kevlar + Helmet,equipment,01JM6EHWV542N2YA5M8Q7MSCDR,0,dd7f4fbf9530e544
108276,40740,5,76561197987713664,3,dev1ce,Smoke Grenade,grenade,01JM6EHW57GHAMBGE8ESPJBNDR,0,dd7f4fbf9530e544
108316,40752,5,76561197987713664,3,dev1ce,Flashbang,grenade,01JM6EHWV6PYP3XXKVXY9YR3PZ,0,dd7f4fbf9530e544
108472,40789,5,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6EHWV97HYSJV90QJZVDHG6,0,dd7f4fbf9530e544
108839,40862,5,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6EHWVD1DEFGADKXQMQTKW2,0,dd7f4fbf9530e544
108895,40876,5,76561198010496342,2,exit,HE Grenade,grenade,01JM6EHWVE5GWE35E811EWV6AR,0,dd7f4fbf9530e544
108907,40888,5,76561198010496342,2,exit,Molotov,grenade,01JM6EHVM2SK1QH62933QFVAHM,0,dd7f4fbf9530e544
108923,40890,5,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM6EHVK7951GPMP605JYKDPJ,0,dd7f4fbf9530e544
108953,40899,5,76561198005107817,3,Staehr,Incendiary Grenade,grenade,01JM6EHTFPKFDVXK840X2CA31J,0,dd7f4fbf9530e544
109018,40908,5,76561198005107817,3,Staehr,Flashbang,grenade,01JM6EHVGBPANGK1289XH2ECBP,0,dd7f4fbf9530e544
109196,40939,5,76561198157388473,2,Lucaozy,Kevlar + Helmet,equipment,01JM6EHWVHH9ENR93QZEM8XT1D,0,dd7f4fbf9530e544
109386,40975,5,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6EHVG5ZMWFTKAQ1ZG9BQ8T,0,dd7f4fbf9530e544
109423,40984,5,76561198157388473,2,Lucaozy,HE Grenade,grenade,01JM6EHVG40H694GD2G1YW3RFE,0,dd7f4fbf9530e544
109469,40995,5,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6EHV5WS0W3KJP5H0A4BSKR,0,dd7f4fbf9530e544
109486,41005,5,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6EHVE4WCGN16D0GS6ETDDS,0,dd7f4fbf9530e544
109535,41019,5,76561198388056582,2,drop,Kevlar + Helmet,equipment,01JM6EHWVP5EKVZ9VNP6KFDPGH,0,dd7f4fbf9530e544
109633,41061,5,76561198388056582,2,drop,HE Grenade,grenade,01JM6EHWVQVSB93G6M2KE4C7G7,0,dd7f4fbf9530e544
109686,41072,5,76561198388056582,2,drop,Molotov,grenade,01JM6EHWVQVSB93G6M2N460RC1,0,dd7f4fbf9530e544
